subject	session	stem	size_mb
sub-029	ses-02	sub-029_ses-02_task-movie_run-07_bold	305.547471
sub-029	ses-02	sub-029_ses-02_task-rest_run-01_bold	465.773164
sub-030	ses-01	sub-030_ses-01_task-fmri_run-03_bold	310.655326
sub-030	ses-01	sub-030_ses-01_task-fmri_run-07_bold	310.652915
sub-030	ses-01	sub-030_ses-01_task-movie_run-03_bold	288.940318
sub-030	ses-01	sub-030_ses-01_task-movie_run-05_bold	288.76799
sub-030	ses-01	sub-030_ses-01_task-movie_run-07_bold	288.870499
sub-030	ses-01	sub-030_ses-01_task-rest_run-01_bold	440.823755
sub-030	ses-02	sub-030_ses-02_task-fmri_run-01_bold	317.337274
sub-030	ses-02	sub-030_ses-02_task-fmri_run-03_bold	317.564238
sub-030	ses-02	sub-030_ses-02_task-fmri_run-07_bold	316.994435
sub-030	ses-02	sub-030_ses-02_task-movie_run-01_bold	295.494564
sub-033	ses-01	sub-033_ses-01_task-fmri_run-05_bold	336.187739
sub-033	ses-01	sub-033_ses-01_task-fmri_run-07_bold	336.158962
sub-033	ses-01	sub-033_ses-01_task-movie_run-01_bold	312.972016
sub-033	ses-01	sub-033_ses-01_task-movie_run-03_bold	312.742785
sub-033	ses-01	sub-033_ses-01_task-movie_run-07_bold	313.224251
sub-034	ses-02	sub-034_ses-02_task-fmri_run-01_bold	319.594099
sub-034	ses-02	sub-034_ses-02_task-movie_run-03_bold	297.120079
sub-034	ses-02	sub-034_ses-02_task-movie_run-07_bold	296.360876
sub-034	ses-02	sub-034_ses-02_task-rest_run-01_bold	451.251224
sub-039	ses-02	sub-039_ses-02_task-control_run-01_bold	28.958459
sub-039	ses-02	sub-039_ses-02_task-fmri_run-01_bold	327.365996
sub-039	ses-02	sub-039_ses-02_task-fmri_run-05_bold	327.835806
sub-039	ses-02	sub-039_ses-02_task-fmri_run-07_bold	327.689713
sub-039	ses-02	sub-039_ses-02_task-movie_run-05_bold	304.617712
sub-043	ses-02	sub-043_ses-02_task-fmri_run-11_bold	174.019548
sub-043	ses-02	sub-043_ses-02_task-movie_run-01_bold	312.43883
sub-043	ses-02	sub-043_ses-02_task-movie_run-05_bold	312.541319
sub-054	ses-01	sub-054_ses-01_task-fmri_run-03_bold	328.432175
sub-054	ses-01	sub-054_ses-01_task-fmri_run-05_bold	327.915721
sub-054	ses-02	sub-054_ses-02_task-fmri_run-01_bold	334.16047
sub-054	ses-02	sub-054_ses-02_task-fmri_run-07_bold	335.315095
sub-060	ses-01	sub-060_ses-01_task-fmri_run-03_bold	327.077938
sub-060	ses-01	sub-060_ses-01_task-movie_run-01_bold	304.184096
sub-060	ses-01	sub-060_ses-01_task-movie_run-03_bold	304.107633
sub-066	ses-01	sub-066_ses-01_task-control_run-03_bold	28.59503
sub-066	ses-01	sub-066_ses-01_task-fmri_run-03_bold	321.963332
sub-066	ses-01	sub-066_ses-01_task-fmri_run-05_bold	319.8404
sub-066	ses-01	sub-066_ses-01_task-fmri_run-07_bold	320.76905
sub-066	ses-01	sub-066_ses-01_task-movie_run-01_bold	299.183723
sub-066	ses-01	sub-066_ses-01_task-movie_run-07_bold	298.908291
sub-078	ses-01	sub-078_ses-01_task-fmri_run-07_bold	322.830921
sub-078	ses-01	sub-078_ses-01_task-movie_run-07_bold	301.238728
