subject	session	changed_voxel_percentage	changed_voxel_count	mean_difference	max_difference
sub-001	ses-01	19.17687800480769	3829239.0	63.658978091719106	4095.0
sub-001	ses-01	19.242327724358976	3842308.0	45.72134495696774	4095.0
sub-001	ses-01	21.864246186755953	2106356.0	2.25253160377757	272.0
sub-001	ses-02	27.314388020833334	5454137.0	146.77873021712546	4095.0
sub-001	ses-02	27.25966045673077	5443209.0	145.34380466160874	4095.0
sub-001	ses-02	22.63338257666348	2180453.0	2.492138210200417	304.0
sub-002	ses-01	29.4689453125	5884359.0	74.88268598419266	4095.0
sub-002	ses-01	29.61209935897436	5912944.0	73.22580459963568	4095.0
sub-002	ses-01	25.59898532166773	2466153.0	2.6094470176741016	241.0
sub-002	ses-02	37.861508413461536	7560186.0	245.373358253124	4095.0
sub-002	ses-02	37.75074118589744	7538068.0	260.1258076630157	4095.0
sub-002	ses-02	31.10138769863414	2996243.0	4.368735674555395	821.0
sub-003	ses-01	29.69267327724359	5929033.0	73.98310735750948	4095.0
sub-003	ses-01	28.777063301282052	5746204.0	68.5723948875573	4095.0
sub-003	ses-01	22.001658329347364	2119594.0	2.3392672555423473	267.0
sub-003	ses-02	36.084304887820515	7205314.0	88.5861642758947	4095.0
sub-003	ses-02	35.575510817307695	7103718.0	85.99208939259724	4095.0
sub-003	ses-02	24.23584607182717	2334831.0	2.632724236834467	248.0
sub-004	ses-01	23.92461939102564	4777268.0	111.5938107663711	4095.0
sub-004	ses-01	23.903250200320514	4773001.0	106.36944352385703	4095.0
sub-004	ses-01	18.100307750053148	1743746.0	1.86643620581712	217.0
sub-004	ses-02	26.44715044070513	5280967.0	130.75445714253703	4095.0
sub-004	ses-02	26.48826121794872	5289176.0	135.6698401670151	4095.0
sub-004	ses-02	18.63837209688563	1795582.0	2.2377005795796467	285.0
sub-005	ses-01	31.647110376602566	6319295.0	82.04455394367172	4095.0
sub-005	ses-01	31.44629407051282	6279196.0	86.58403135488163	4095.0
sub-005	ses-01	28.40941552402211	2736904.0	2.9224379811663104	331.0
sub-005	ses-02	33.949158653846155	6778968.0	84.78294390541683	4095.0
sub-005	ses-02	33.75844350961538	6740886.0	91.24500667015994	4095.0
sub-005	ses-02	28.046796111022534	2701970.0	2.959069380522352	298.0
sub-006	ses-01	14.430343549679487	2881451.0	60.58165024889065	4095.0
sub-006	ses-01	11.840459735576923	2364303.0	36.9614933319045	4095.0
sub-006	ses-01	14.416234022906037	1388830.0	1.7215321785027677	247.0
sub-006	ses-02	21.055799278846155	4204422.0	133.24742033466325	4095.0
sub-006	ses-02	19.719861778846155	3937662.0	105.42713700442619	4095.0
sub-006	ses-02	17.984392853821216	1732579.0	2.4202571883043773	309.0
sub-007	ses-01	29.499293870192307	5890419.0	192.68718975016034	4095.0
sub-007	ses-01	29.52227063301282	5895007.0	196.3394503661652	4095.0
sub-007	ses-01	27.950489277742346	2692692.0	3.6209412178980345	546.0
sub-007	ses-02	30.116646634615385	6013692.0	176.54132011408058	4095.0
sub-007	ses-02	30.19022936698718	6028385.0	180.31589513737015	4095.0
sub-007	ses-02	27.747017996651785	2673090.0	3.6354392425196163	1013.0
sub-008	ses-01	29.43993890224359	5878567.0	103.22721878497374	4095.0
sub-008	ses-01	29.690459735576923	5928591.0	99.70766505812682	4095.0
sub-008	ses-01	18.61028346885629	1792876.0	2.03848657292893	289.0
sub-008	ses-02	30.55906450320513	6102034.0	109.0819912448288	4095.0
sub-008	ses-02	30.909830729166668	6172075.0	109.66999848279305	4095.0
sub-008	ses-02	19.724673316592263	1900234.0	2.2800347162168855	368.0
sub-009	ses-01	21.98132512019231	4389231.0	85.62148641416836	4095.0
sub-009	ses-01	21.960496794871794	4385072.0	71.75413812977835	4095.0
sub-009	ses-01	18.742754670227466	1805638.0	2.1927844385854365	390.0
sub-009	ses-02	23.35849358974359	4664224.0	84.74909893472689	4095.0
sub-009	ses-02	23.319275841346155	4656393.0	71.95949100922826	4095.0
sub-009	ses-02	20.883396693638392	2011863.0	2.3757708119433336	388.0
sub-010	ses-01	28.996849959935897	5790091.0	205.03754510378235	4095.0
sub-010	ses-01	28.504121594551282	5691703.0	193.13874018071405	4095.0
sub-010	ses-01	21.424305195711096	2063973.0	3.171653478991397	464.0
sub-011	ses-01	18.10732672275641	3615671.0	50.859900183935814	4095.0
sub-011	ses-01	17.961368189102565	3586526.0	37.18531879674744	4095.0
sub-011	ses-01	21.056090893388607	2028500.0	2.32031143102927	276.0
sub-011	ses-02	22.40545873397436	4473922.0	67.23578397323917	4095.0
sub-011	ses-02	22.091571514423077	4411245.0	54.29816892785326	4095.0
sub-011	ses-02	23.3935090149341	2253682.0	2.578501532681711	355.0
sub-012	ses-01	23.000555889423076	4592751.0	55.55196659556585	4095.0
sub-012	ses-01	23.115089142628204	4615621.0	50.253111510469935	4095.0
sub-012	ses-01	17.58307632134885	1693917.0	1.6492687976323332	225.0
sub-012	ses-02	27.101016626602565	5411531.0	90.83217253399411	4095.0
sub-012	ses-02	27.09094050480769	5409519.0	93.72853693450519	4095.0
sub-012	ses-02	19.88396677030187	1915580.0	2.1102880797311583	271.0
sub-013	ses-01	27.92980268429487	5577023.0	97.754300976839	4095.0
sub-013	ses-01	27.882577123397436	5567593.0	97.59957122785087	4095.0
sub-013	ses-01	14.864302654655612	1431996.0	1.7671368255905833	198.0
sub-014	ses-01	24.542337740384614	4900614.0	198.66976999568988	4095.0
sub-014	ses-01	21.954727564102566	4383920.0	191.84340239015975	4095.0
sub-014	ses-01	15.527084246784652	1495847.0	2.1531262803715743	443.0
sub-015	ses-01	28.229772636217948	5636921.0	85.52495995246767	4095.0
sub-015	ses-01	28.278670873397434	5646685.0	80.61084752025259	4095.0
sub-015	ses-01	19.058424761506163	1836049.0	2.0532277186462915	262.0
sub-015	ses-02	23.443013822115386	4681101.0	92.04978552550627	4095.0
sub-015	ses-02	23.470247395833333	4686539.0	91.99561891849163	4095.0
sub-015	ses-02	21.36120439386692	2057894.0	2.516917985288063	311.0
sub-016	ses-01	17.74835236378205	3543991.0	89.35503768030831	4095.0
sub-016	ses-01	17.82558092948718	3559412.0	73.17509806823443	4095.0
sub-016	ses-01	16.247994559151785	1565298.0	2.2081149564262965	382.0
sub-016	ses-02	19.2662109375	3847077.0	99.79607691947533	4095.0
sub-016	ses-02	19.474198717948717	3888608.0	96.2840238255378	4095.0
sub-016	ses-02	17.99928833838223	1734014.0	2.162891653404156	355.0
sub-017	ses-01	24.85078125	4962204.0	98.32117587413228	4095.0
sub-017	ses-01	24.81965144230769	4955988.0	94.12576736705454	4095.0
sub-017	ses-01	13.22376484773597	1273950.0	1.6083972364499803	268.0
sub-017	ses-02	24.428936298076923	4877970.0	103.74177168887338	4095.0
sub-017	ses-02	24.40789763621795	4873769.0	98.49942099611222	4095.0
sub-017	ses-02	13.645125408561862	1314543.0	1.679805491275824	338.0
sub-018	ses-01	23.689202724358974	4730260.0	78.63868107381057	4095.0
sub-018	ses-01	23.501812900641024	4692842.0	68.76429220535692	4095.0
sub-019	ses-01	25.31476862980769	5054853.0	94.32272905116882	4095.0
sub-019	ses-01	25.32383814102564	5056664.0	93.74548735483482	4095.0
sub-019	ses-01	15.403986301551871	1483988.0	1.702623441420337	264.0
sub-019	ses-02	22.92189002403846	4577043.0	96.53250043102936	4095.0
sub-019	ses-02	23.1302734375	4618653.0	90.8097091963636	4095.0
sub-019	ses-02	15.845131387515943	1526487.0	1.9559280490635989	311.0
sub-020	ses-01	28.354622395833335	5661851.0	107.93173703993646	4095.0
sub-020	ses-01	28.44267327724359	5679433.0	111.65993602216454	4095.0
sub-020	ses-01	24.182118526121386	2329655.0	2.8612003980064227	394.0
sub-021	ses-01	25.30613982371795	5053130.0	96.34461166893504	4095.0
sub-021	ses-01	24.941461338141025	4980311.0	95.86684405609888	4095.0
sub-021	ses-01	18.428382095025512	1775352.0	2.0221698928500653	386.0
sub-021	ses-02	33.34101061698718	6657533.0	188.09124480831622	4095.0
sub-021	ses-02	33.23897736378205	6637159.0	188.06434957600231	4095.0
sub-021	ses-02	26.187175309576954	2522818.0	3.203782296724537	432.0
sub-022	ses-01	29.730613982371796	5936609.0	149.41111049825253	4095.0
sub-022	ses-01	29.81280548878205	5953021.0	156.5176873461487	4095.0
sub-022	ses-02	29.252388822115385	5841117.0	183.0370285913418	4095.0
sub-022	ses-02	29.38018830128205	5866636.0	183.14689082465924	4095.0
sub-022	ses-02	30.29217363214817	2918285.0	3.500604320612763	581.0
sub-023	ses-01	24.404026442307693	4872996.0	121.60460041835269	4095.0
sub-023	ses-01	24.520668068910258	4896287.0	113.76924245255039	4095.0
sub-023	ses-01	26.693870907738095	2571632.0	4.053646830637623	809.0
sub-023	ses-02	23.43339342948718	4679180.0	88.10937154884465	4095.0
sub-023	ses-02	23.01573016826923	4595781.0	64.72824833086128	4095.0
sub-023	ses-02	24.927276818930697	2401442.0	3.920690989836569	461.0
sub-024	ses-01	24.167042267628204	4825675.0	68.14949175683252	4095.0
sub-024	ses-02	25.912650240384615	5174238.0	74.85110105376438	4095.0
sub-024	ses-02	25.764212740384615	5144598.0	74.08862444613698	4095.0
sub-024	ses-02	32.15069413996067	3097331.0	3.345731869145771	375.0
sub-025	ses-01	33.72171975160256	6733553.0	91.19124412165773	4095.0
