file	ProtocolName	SeriesNumber	Channels	has_EXT_or_trigger	interpretation
sub-033/ses-01/func/sub-033_ses-01_task-movie_run-03_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-033/ses-01/func/sub-033_ses-01_task-movie_run-05_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-033/ses-01/func/sub-033_ses-01_task-movie_run-05_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-033/ses-01/func/sub-033_ses-01_task-movie_run-05_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-033/ses-01/func/sub-033_ses-01_task-movie_run-07_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-033/ses-01/func/sub-033_ses-01_task-movie_run-07_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-033/ses-01/func/sub-033_ses-01_task-movie_run-07_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-034/ses-01/func/sub-034_ses-01_task-movie_run-01_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-034/ses-01/func/sub-034_ses-01_task-movie_run-01_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-034/ses-01/func/sub-034_ses-01_task-movie_run-01_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-034/ses-01/func/sub-034_ses-01_task-movie_run-03_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-034/ses-01/func/sub-034_ses-01_task-movie_run-03_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
sub-034/ses-01/func/sub-034_ses-01_task-movie_run-03_recording-trigger_physio.json	movie		trigger	YES	scanner trigger source possible but stimulus onset unavailable
sub-034/ses-01/func/sub-034_ses-01_task-movie_run-05_recording-pulse_physio.json	movie		cardiac	NO	physiology only
sub-034/ses-01/func/sub-034_ses-01_task-movie_run-05_recording-respiratory_physio.json	movie		respiratory	NO	physiology only
