scan_id	subject	session	run	protocol_id	status	review_class	mean_length	axis_flipped	axis_permutations	axis_basis
sub-009_ses-02_run-02_dwi	sub-009	ses-02	run-02	Protocol A	REVIEW	axis_swap	23.35	none	(2,0,1)	scanner
sub-009_ses-02_run-05_dwi	sub-009	ses-02	run-05	Protocol B	PASS	none	44.62	none	(0,1,2)	image
sub-010_ses-01_run-01_dwi	sub-010	ses-01	run-01	Protocol A	PASS	none	38.83	none	(0,1,2)	image
sub-010_ses-01_run-02_dwi	sub-010	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	63.75	1	(2,0,1)	image
sub-010_ses-01_run-05_dwi	sub-010	ses-01	run-05	Protocol B	PASS	none	39.24	none	(0,1,2)	scanner
sub-011_ses-01_run-01_dwi	sub-011	ses-01	run-01	Protocol A	PASS	none	49.17	none	(0,1,2)	scanner
sub-011_ses-01_run-02_dwi	sub-011	ses-01	run-02	Protocol A	REVIEW	axis_swap	37.72	none	(2,1,0)	scanner
sub-011_ses-01_run-07_dwi	sub-011	ses-01	run-07	Protocol B	PASS	none	45.25	none	(0,1,2)	image
sub-011_ses-02_run-01_dwi	sub-011	ses-02	run-01	Protocol A	PASS	none	39.81	none	(0,1,2)	image
sub-011_ses-02_run-02_dwi	sub-011	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	27.06	2	(1,0,2)	scanner
sub-011_ses-02_run-05_dwi	sub-011	ses-02	run-05	Protocol B	PASS	none	43.58	none	(0,1,2)	image
sub-012_ses-01_run-01_dwi	sub-012	ses-01	run-01	Protocol A	PASS	none	45.85	none	(0,1,2)	image
sub-012_ses-01_run-02_dwi	sub-012	ses-01	run-02	Protocol A	REVIEW	axis_swap	22.18	none	(1,0,2)	image
sub-012_ses-01_run-05_dwi	sub-012	ses-01	run-05	Protocol B	PASS	none	34.30	none	(0,1,2)	image
sub-012_ses-02_run-01_dwi	sub-012	ses-02	run-01	Protocol A	PASS	none	37.46	none	(0,1,2)	scanner
sub-012_ses-02_run-02_dwi	sub-012	ses-02	run-02	Protocol A	REVIEW	axis_swap	65.73	0	(1,0,2)	scanner
sub-012_ses-02_run-05_dwi	sub-012	ses-02	run-05	Protocol B	PASS	none	29.45	none	(0,1,2)	scanner
sub-013_ses-01_run-01_dwi	sub-013	ses-01	run-01	Protocol A	PASS	none	46.45	none	(0,1,2)	image
sub-013_ses-01_run-02_dwi	sub-013	ses-01	run-02	Protocol A	REVIEW	axis_flip	65.82	2	(0,1,2)	image
sub-013_ses-01_run-05_dwi	sub-013	ses-01	run-05	Protocol B	PASS	none	43.65	none	(0,1,2)	scanner
sub-014_ses-01_run-01_dwi	sub-014	ses-01	run-01	Protocol A	PASS	none	41.76	none	(0,1,2)	scanner
sub-014_ses-01_run-02_dwi	sub-014	ses-01	run-02	Protocol A	PASS	none	19.19	none	(0,1,2)	scanner
sub-014_ses-01_run-05_dwi	sub-014	ses-01	run-05	Protocol B	PASS	none	42.31	none	(0,1,2)	scanner
sub-015_ses-01_run-01_dwi	sub-015	ses-01	run-01	Protocol A	PASS	none	47.76	none	(0,1,2)	scanner
sub-015_ses-01_run-02_dwi	sub-015	ses-01	run-02	Protocol A	PASS	none	29.04	0	(0,1,2)	scanner
sub-015_ses-01_run-05_dwi	sub-015	ses-01	run-05	Protocol B	PASS	none	39.06	none	(0,1,2)	scanner
sub-015_ses-02_run-01_dwi	sub-015	ses-02	run-01	Protocol A	PASS	none	36.64	none	(0,1,2)	image
sub-015_ses-02_run-02_dwi	sub-015	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	76.96	2	(2,1,0)	image
sub-015_ses-02_run-05_dwi	sub-015	ses-02	run-05	Protocol B	PASS	none	32.78	none	(0,1,2)	image
sub-016_ses-01_run-01_dwi	sub-016	ses-01	run-01	Protocol A	PASS	none	36.73	none	(0,1,2)	image
sub-016_ses-01_run-02_dwi	sub-016	ses-01	run-02	Protocol A	REVIEW	axis_swap	34.69	none	(1,0,2)	image
sub-016_ses-01_run-05_dwi	sub-016	ses-01	run-05	Protocol B	PASS	none	42.11	none	(0,1,2)	image
sub-016_ses-02_run-01_dwi	sub-016	ses-02	run-01	Protocol A	PASS	none	44.78	none	(0,1,2)	image
sub-016_ses-02_run-02_dwi	sub-016	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	76.28	1	(1,2,0)	scanner
sub-016_ses-02_run-05_dwi	sub-016	ses-02	run-05	Protocol B	PASS	none	44.74	none	(0,1,2)	image
sub-017_ses-01_run-01_dwi	sub-017	ses-01	run-01	Protocol A	PASS	none	41.21	none	(0,1,2)	image
