scan_id	subject	session	run	nifti	voxel_size_x	voxel_size_y	voxel_size_z	voxel_size_str	matrix_i	matrix_j	matrix_k	matrix_str	fov_x_mm	fov_y_mm	fov_z_mm	slice_thickness_mm	TR_s	TE_s	PhaseEncodingDirection	TotalReadoutTime	n_volumes	unique_bvals	n_b0	n_diffusion_directions	max_bvalue	orientation	protocol_id	protocol_label
sub-002_ses-02_run-05_dwi	sub-002	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-002_ses-02_run-01_dwi	sub-002	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-003_ses-01_run-05_dwi	sub-003	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-05_dwi.nii.gz	1.375	1.375	1.8199999332427976	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-003_ses-01_run-01_dwi	sub-003	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-003_ses-02_run-05_dwi	sub-003	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-05_dwi.nii.gz	1.375	1.375	1.8199999332427976	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-003_ses-01_run-02_dwi	sub-003	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-003_ses-02_run-02_dwi	sub-003	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-004_ses-02_run-02_dwi	sub-004	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-004_ses-01_run-05_dwi	sub-004	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-004_ses-01_run-01_dwi	sub-004	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-003_ses-02_run-01_dwi	sub-003	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-004_ses-02_run-05_dwi	sub-004	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-004_ses-01_run-02_dwi	sub-004	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-005_ses-02_run-02_dwi	sub-005	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-005/ses-02/dwi/sub-005_ses-02_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-004_ses-02_run-01_dwi	sub-004	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-005_ses-01_run-02_dwi	sub-005	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-005/ses-01/dwi/sub-005_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-005_ses-02_run-01_dwi	sub-005	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-005/ses-02/dwi/sub-005_ses-02_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-005_ses-01_run-05_dwi	sub-005	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-005/ses-01/dwi/sub-005_ses-01_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-006_ses-01_run-05_dwi	sub-006	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-006/ses-01/dwi/sub-006_ses-01_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-005_ses-02_run-05_dwi	sub-005	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-005/ses-02/dwi/sub-005_ses-02_run-05_dwi.nii.gz	1.375	1.375	1.8199999332427976	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-005_ses-01_run-01_dwi	sub-005	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-005/ses-01/dwi/sub-005_ses-01_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-006_ses-01_run-02_dwi	sub-006	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-006/ses-01/dwi/sub-006_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-006_ses-01_run-01_dwi	sub-006	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-006/ses-01/dwi/sub-006_ses-01_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-006_ses-02_run-01_dwi	sub-006	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	290	0,1000,2000	20	270	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 270 dir; 1×1×5 mm; n=232
sub-006_ses-02_run-02_dwi	sub-006	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	290	0,1000,2000	20	270	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 270 dir; 1×1×5 mm; n=232
sub-007_ses-01_run-05_dwi	sub-007	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-006_ses-02_run-05_dwi	sub-006	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-007_ses-02_run-01_dwi	sub-007	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-007_ses-01_run-01_dwi	sub-007	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-007_ses-02_run-02_dwi	sub-007	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-007_ses-01_run-02_dwi	sub-007	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-008_ses-01_run-01_dwi	sub-008	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-008_ses-02_run-03_dwi	sub-008	ses-02	run-03	/lustre07/scratch/alexrees/bids/sub-008/ses-02/dwi/sub-008_ses-02_run-03_dwi.nii.gz	1.375	1.375	1.8199999332427976	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-007_ses-02_run-05_dwi	sub-007	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-05_dwi.nii.gz	1.375	1.375	1.8199999332427976	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-008_ses-01_run-02_dwi	sub-008	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-009_ses-02_run-01_dwi	sub-009	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-009_ses-01_run-01_dwi	sub-009	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-008_ses-01_run-05_dwi	sub-008	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-009_ses-01_run-02_dwi	sub-009	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-009_ses-01_run-05_dwi	sub-009	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-009_ses-02_run-02_dwi	sub-009	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-011_ses-01_run-01_dwi	sub-011	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-011/ses-01/dwi/sub-011_ses-01_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-010_ses-01_run-02_dwi	sub-010	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-009_ses-02_run-05_dwi	sub-009	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-05_dwi.nii.gz	1.375	1.375	1.8199999332427976	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-010_ses-01_run-01_dwi	sub-010	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-011_ses-02_run-01_dwi	sub-011	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-011/ses-02/dwi/sub-011_ses-02_run-01_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-010_ses-01_run-05_dwi	sub-010	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-05_dwi.nii.gz	1.375	1.375	1.8200000524520876	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-011_ses-01_run-02_dwi	sub-011	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-011/ses-01/dwi/sub-011_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-011_ses-02_run-02_dwi	sub-011	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-011/ses-02/dwi/sub-011_ses-02_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-012_ses-01_run-02_dwi	sub-012	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-012/ses-01/dwi/sub-012_ses-01_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
sub-011_ses-01_run-07_dwi	sub-011	ses-01	run-07	/lustre07/scratch/alexrees/bids/sub-011/ses-01/dwi/sub-011_ses-01_run-07_dwi.nii.gz	1.375	1.375	1.8199999332427976	1.38×1.38×1.82	160	160	32	160×160×32	220.0	220.0	58.24	1.4	4.14	0.051	j-	0.0160989	15	0,1000	4	11	1000.0	LAS	Protocol B	Protocol B: b=0,1000; 11 dir; 1.38×1.38×1.82 mm; n=121
sub-012_ses-02_run-02_dwi	sub-012	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-012/ses-02/dwi/sub-012_ses-02_run-02_dwi.nii.gz	1.0	1.0	5.0	1×1×5	220	220	30	220×220×30	220.0	220.0	150.0	5.0	3.5	0.075	j-	0.0678889	385	0,1000,2000	20	365	2000.0	LAS	Protocol A	Protocol A: b=0,1000,2000; 365 dir; 1×1×5 mm; n=232
