scan_id	subject	session	run	protocol_id	mask_file_present	mask_voxels	voxel_volume_mm3	brain_volume_mm3	brain_fraction
sub-009_ses-01_run-02_dwi	sub-009	ses-01	run-02	Protocol A	False	422324.0	5.0	2111620.0	0.2908567493112948
sub-009_ses-01_run-05_dwi	sub-009	ses-01	run-05	Protocol B	False	202836.0	3.440937599167228	697946.0188646839	0.2476025390625
sub-009_ses-02_run-01_dwi	sub-009	ses-02	run-01	Protocol A	False	252426.0	5.0	1262130.0	0.1738471074380165
sub-009_ses-02_run-02_dwi	sub-009	ses-02	run-02	Protocol A	False	1224561.0	5.0	6122805.0	0.8433615702479339
sub-009_ses-02_run-05_dwi	sub-009	ses-02	run-05	Protocol B	False	194259.0	3.4409373737871642	668433.0532945207	0.237132568359375
sub-010_ses-01_run-01_dwi	sub-010	ses-01	run-01	Protocol A	False	265466.0	5.0	1327330.0	0.18282782369146
sub-010_ses-01_run-02_dwi	sub-010	ses-01	run-02	Protocol A	False	291483.0	5.0	1457415.0	0.200745867768595
sub-010_ses-01_run-05_dwi	sub-010	ses-01	run-05	Protocol B	False	198738.0	3.440937599167228	683845.0565832966	0.24260009765625
sub-011_ses-01_run-01_dwi	sub-011	ses-01	run-01	Protocol A	False	297652.0	5.0	1488260.0	0.2049944903581267
sub-011_ses-01_run-02_dwi	sub-011	ses-01	run-02	Protocol A	False	520097.0	5.0	2600485.0	0.3581935261707989
sub-011_ses-01_run-07_dwi	sub-011	ses-01	run-07	Protocol B	False	165302.0	3.4409373737871642	568793.8297617658	0.20178466796875
sub-011_ses-02_run-01_dwi	sub-011	ses-02	run-01	Protocol A	False	289010.0	5.0	1445050.0	0.1990426997245179
sub-011_ses-02_run-02_dwi	sub-011	ses-02	run-02	Protocol A	False	1181947.0	5.0	5909735.0	0.814013085399449
sub-011_ses-02_run-05_dwi	sub-011	ses-02	run-05	Protocol B	False	214802.0	3.440937599167228	739120.278176319	0.26220947265625
sub-012_ses-01_run-01_dwi	sub-012	ses-01	run-01	Protocol A	False	286973.0	5.0	1434865.0	0.1976398071625344
sub-012_ses-01_run-02_dwi	sub-012	ses-01	run-02	Protocol A	False	1226573.0	5.0	6132865.0	0.8447472451790634
sub-012_ses-01_run-05_dwi	sub-012	ses-01	run-05	Protocol B	False	144123.0	3.4409373737871642	495918.2171223275	0.175931396484375
sub-012_ses-02_run-01_dwi	sub-012	ses-02	run-01	Protocol A	False	271916.0	5.0	1359580.0	0.1872699724517906
sub-012_ses-02_run-02_dwi	sub-012	ses-02	run-02	Protocol A	False	351689.0	5.0	1758445.0	0.2422100550964187
sub-012_ses-02_run-05_dwi	sub-012	ses-02	run-05	Protocol B	False	173315.0	3.440937599167228	596366.0999996682	0.211566162109375
sub-013_ses-01_run-01_dwi	sub-013	ses-01	run-01	Protocol A	False	274894.0	5.0	1374470.0	0.1893209366391184
sub-013_ses-01_run-02_dwi	sub-013	ses-01	run-02	Protocol A	False	490650.0	5.0	2453250.0	0.3379132231404959
sub-013_ses-01_run-05_dwi	sub-013	ses-01	run-05	Protocol B	False	167007.0	3.440937599167228	574660.6656241213	0.203865966796875
sub-014_ses-01_run-01_dwi	sub-014	ses-01	run-01	Protocol A	False	264673.0	5.0	1323365.0	0.1822816804407713
sub-014_ses-01_run-02_dwi	sub-014	ses-01	run-02	Protocol A	False	1118571.0	5.0	5592855.0	0.7703657024793389
sub-014_ses-01_run-05_dwi	sub-014	ses-01	run-05	Protocol B	False	213424.0	3.4409373737871642	734378.6180631517	0.26052734375
sub-015_ses-01_run-01_dwi	sub-015	ses-01	run-01	Protocol A	False	267050.0	5.0	1335250.0	0.1839187327823691
sub-015_ses-01_run-02_dwi	sub-015	ses-01	run-02	Protocol A	False	483181.0	5.0	2415905.0	0.3327692837465564
sub-015_ses-01_run-05_dwi	sub-015	ses-01	run-05	Protocol B	False	156261.0	3.4409373737871642	537684.314965356	0.190748291015625
sub-015_ses-02_run-01_dwi	sub-015	ses-02	run-01	Protocol A	False	270736.0	5.0	1353680.0	0.1864573002754821
sub-015_ses-02_run-02_dwi	sub-015	ses-02	run-02	Protocol A	False	214123.0	5.0	1070615.0	0.1474676308539945
sub-015_ses-02_run-05_dwi	sub-015	ses-02	run-05	Protocol B	False	157959.0	3.440937599167228	543527.0622268562	0.192821044921875
sub-016_ses-01_run-01_dwi	sub-016	ses-01	run-01	Protocol A	False	265256.0	5.0	1326280.0	0.1826831955922865
sub-016_ses-01_run-02_dwi	sub-016	ses-01	run-02	Protocol A	False	426191.0	5.0	2130955.0	0.2935199724517906
sub-016_ses-01_run-05_dwi	sub-016	ses-01	run-05	Protocol B	False	194753.0	3.440937599167228	670132.9202506152	0.237735595703125
sub-016_ses-02_run-01_dwi	sub-016	ses-02	run-01	Protocol A	False	264634.0	5.0	1323170.0	0.1822548209366391
sub-016_ses-02_run-02_dwi	sub-016	ses-02	run-02	Protocol A	False	364291.0	5.0	1821455.0	0.2508891184573003
