subject	session	run	nifti	status	median_b0	median_diffusion	p05_b0	p95_b0	p05_diffusion	p95_diffusion	cv_b0	cv_diffusion	n_mask_voxels	brain_fraction	error
sub-006	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-006	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-007	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-007	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-007	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-007	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-007	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-007	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-008	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-008	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-008	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-008	ses-02	run-03	/lustre07/scratch/alexrees/bids/sub-008/ses-02/dwi/sub-008_ses-02_run-03_dwi.nii.gz	NO_MASK											
sub-009	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-009	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-009	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-009/ses-01/dwi/sub-009_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-009	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-009	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-009	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-009/ses-02/dwi/sub-009_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-010	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-010	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-010	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-010/ses-01/dwi/sub-010_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-011	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-011/ses-01/dwi/sub-011_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-011	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-011/ses-01/dwi/sub-011_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-011	ses-01	run-07	/lustre07/scratch/alexrees/bids/sub-011/ses-01/dwi/sub-011_ses-01_run-07_dwi.nii.gz	NO_MASK											
sub-011	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-011/ses-02/dwi/sub-011_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-011	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-011/ses-02/dwi/sub-011_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-011	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-011/ses-02/dwi/sub-011_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-012	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-012/ses-01/dwi/sub-012_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-012	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-012/ses-01/dwi/sub-012_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-012	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-012/ses-01/dwi/sub-012_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-012	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-012/ses-02/dwi/sub-012_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-012	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-012/ses-02/dwi/sub-012_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-012	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-012/ses-02/dwi/sub-012_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-013	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-013/ses-01/dwi/sub-013_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-013	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-013/ses-01/dwi/sub-013_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-013	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-013/ses-01/dwi/sub-013_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-014	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-014/ses-01/dwi/sub-014_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-014	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-014/ses-01/dwi/sub-014_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-014	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-014/ses-01/dwi/sub-014_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-015	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-015/ses-01/dwi/sub-015_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-015	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-015/ses-01/dwi/sub-015_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-015	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-015/ses-01/dwi/sub-015_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-015	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-015/ses-02/dwi/sub-015_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-015	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-015/ses-02/dwi/sub-015_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-015	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-015/ses-02/dwi/sub-015_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-016	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-016/ses-01/dwi/sub-016_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-016	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-016/ses-01/dwi/sub-016_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-016	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-016/ses-01/dwi/sub-016_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-016	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-016/ses-02/dwi/sub-016_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-016	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-016/ses-02/dwi/sub-016_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-016	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-016/ses-02/dwi/sub-016_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-017	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-017/ses-01/dwi/sub-017_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-017	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-017/ses-01/dwi/sub-017_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-017	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-017/ses-01/dwi/sub-017_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-017	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-017/ses-02/dwi/sub-017_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-017	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-017/ses-02/dwi/sub-017_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-017	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-017/ses-02/dwi/sub-017_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-018	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-018	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-018	ses-01	run-03	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-03_dwi.nii.gz	NO_MASK											
sub-018	ses-01	run-12	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-12_dwi.nii.gz	NO_MASK											
sub-018	ses-01	run-13	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-13_dwi.nii.gz	NO_MASK											
sub-019	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-019/ses-01/dwi/sub-019_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-019	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-019/ses-01/dwi/sub-019_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-019	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-019/ses-01/dwi/sub-019_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-019	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-019/ses-02/dwi/sub-019_ses-02_run-01_dwi.nii.gz	NO_MASK											
sub-019	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-019/ses-02/dwi/sub-019_ses-02_run-02_dwi.nii.gz	NO_MASK											
sub-019	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-019/ses-02/dwi/sub-019_ses-02_run-05_dwi.nii.gz	NO_MASK											
sub-020	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-020/ses-01/dwi/sub-020_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-020	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-020/ses-01/dwi/sub-020_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-020	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-020/ses-01/dwi/sub-020_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-021	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-021/ses-01/dwi/sub-021_ses-01_run-01_dwi.nii.gz	NO_MASK											
sub-021	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-021/ses-01/dwi/sub-021_ses-01_run-02_dwi.nii.gz	NO_MASK											
sub-021	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-021/ses-01/dwi/sub-021_ses-01_run-05_dwi.nii.gz	NO_MASK											
sub-021	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-021/ses-02/dwi/sub-021_ses-02_run-01_dwi.nii.gz	NO_MASK											
