subject	session	unique_bvals	n_b0	n_diffusion	max_bvalue
sub-057	ses-01	0,1000	4.0	11.0	1000.0
sub-058	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-058	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-058	ses-01	0,1000	4.0	11.0	1000.0
sub-059	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-059	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-059	ses-01	0,1000	4.0	11.0	1000.0
sub-060	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-060	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-060	ses-01	0,1000	4.0	11.0	1000.0
sub-061	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-061	ses-01	0,1000	4.0	11.0	1000.0
sub-061	ses-01	0,1000	4.0	11.0	1000.0
sub-062	ses-01	0,1000	4.0	11.0	1000.0
sub-062	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-063	ses-01	0,1000	4.0	11.0	1000.0
sub-063	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-064	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-064	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-064	ses-01	0,1000	4.0	11.0	1000.0
sub-065	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-065	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-065	ses-01	0,1000	4.0	11.0	1000.0
sub-066	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-066	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-066	ses-01	0,1000	4.0	11.0	1000.0
sub-067	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-067	ses-01	0,1000	4.0	11.0	1000.0
sub-068	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-068	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-068	ses-01	0,1000	4.0	11.0	1000.0
sub-069	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-069	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-069	ses-01	0,1000	4.0	11.0	1000.0
sub-071	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-071	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-071	ses-01	0,1000	4.0	11.0	1000.0
sub-072	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-072	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-072	ses-01	0,1000	4.0	11.0	1000.0
sub-073	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-073	ses-01	0,1000,2000	20.0	365.0	2000.0
sub-073	ses-01	0,1000	4.0	11.0	1000.0
