subject	session	mean_signal	median_signal	std_signal	mean_b0_signal	mean_diffusion_signal
sub-001	ses-01	110.27234649658205	99.0	85.6637954711914	327.3695983886719	98.3766098022461
sub-001	ses-01	0.0145856942981481	10.0	2503.460205078125	-96.2734375	5.290642738342285
sub-001	ses-01	365.4069213867188	317.0	209.915267944336	639.4331665039062	265.760986328125
sub-001	ses-02	109.14332580566406	92.0	83.99274444580078	327.81304931640625	97.16143798828124
sub-001	ses-02	659.9749755859375	1340.0	2413.26171875	1794.472412109375	597.8107299804688
sub-001	ses-02	388.5992431640625	340.0	223.2749786376953	678.2368774414062	283.2764892578125
sub-002	ses-01	97.98210144042967	82.0	76.94770050048828	303.08673095703125	86.74347686767578
sub-002	ses-01	78.62552642822266	168.0	2329.634521484375	229.05262756347656	70.3829345703125
sub-002	ses-01	427.9607849121094	362.0	265.932861328125	781.50927734375	299.397705078125
sub-002	ses-02	103.49698638916016	88.0	79.45872497558594	317.0839538574219	91.79359436035156
sub-002	ses-02	-81.13059997558594	-136.0	2421.099609375	-374.2914123535156	-65.06700134277344
sub-002	ses-02	253.69483947753903	215.0	156.47569274902344	460.5234680175781	178.4844512939453
sub-003	ses-01	113.8512725830078	102.0	94.35376739501952	361.28900146484375	100.29302978515624
sub-003	ses-01	614.5179443359375	1848.0	2865.02392578125	2470.410888671875	512.8251342773438
sub-003	ses-01	394.1827087402344	342.0	249.1610870361328	721.69970703125	275.08563232421875
sub-003	ses-02	115.33838653564452	95.0	94.78691864013672	363.4502868652344	101.7432098388672
sub-003	ses-02	795.0150756835938	1546.0	2455.6953125	1903.3682861328125	734.2833251953125
sub-003	ses-02	372.99029541015625	323.0	232.5530700683593	677.27197265625	262.3424377441406
sub-004	ses-01	113.35839080810548	95.0	88.44011688232422	339.3392639160156	100.97588348388672
sub-004	ses-01	826.442138671875	1506.0	2393.00439453125	1932.926025390625	765.8128662109375
sub-004	ses-01	384.3243408203125	334.0	230.7137908935547	684.8588256835938	275.03912353515625
sub-004	ses-02	117.31155395507812	98.0	95.00923919677734	360.4634704589844	103.9881591796875
sub-004	ses-02	388.0729370117188	1412.0	2935.048583984375	1575.021240234375	323.03466796875
sub-004	ses-02	378.6983337402344	328.0	227.1375732421875	673.6926879882812	271.4276428222656
sub-005	ses-01	117.07057189941406	98.0	90.23709106445312	350.1041564941406	104.30160522460938
sub-005	ses-01	557.4221801757812	1284.0	2549.441162109375	2043.0927734375	476.0155334472656
sub-005	ses-01	417.8917846679688	361.0	258.78582763671875	755.5201416015625	295.1178283691406
sub-005	ses-02	115.7325210571289	104.0	90.81075286865234	351.0237121582031	102.83984375
sub-005	ses-02	-30.947677612304688	-66.0	2471.56201171875	-120.8639144897461	-26.0207576751709
sub-005	ses-02	362.2848510742188	313.0	227.9202880859375	658.5695190429688	254.54495239257807
sub-006	ses-01	107.70806884765624	89.0	87.47483825683594	335.8029479980469	95.20973205566406
sub-006	ses-01	-50.79376983642578	-78.0	2421.505126953125	-293.4289855957031	-37.49868774414063
