subject	session	run	nifti	n_diffusion	unique_bvals	top_mean_length	top_axis_flipped	top_axis_permutation	top_axis_basis	suggestion_class	identity_mean_length	identity_rank	delta_best_minus_identity	n_table_rows_parsed
sub-017	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-017/ses-01/dwi/sub-017_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	62.58	1	(2, 1, 0)	scanner	axis_flip_and_swap	40.91	29	21.67	48
sub-018	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-01_dwi.nii.gz	239	0,1000,2000	36.84	none	(0, 2, 1)	image	axis_swap	33.87	1	2.970000000000006	48
sub-018	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-018/ses-01/dwi/sub-018_ses-01_run-02_dwi.nii.gz	239	0,1000,2000	18.67	1	(0, 1, 2)	image	axis_flip	11.75	16	6.920000000000002	48
sub-019	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-019/ses-01/dwi/sub-019_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	72.44	1	(1, 0, 2)	scanner	axis_flip_and_swap	56.19	20	16.25	48
sub-019	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-019/ses-02/dwi/sub-019_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	15.88	2	(0, 1, 2)	image	axis_flip	12.29	16	3.5900000000000016	48
sub-020	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-020/ses-01/dwi/sub-020_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	23.79	none	(1, 0, 2)	scanner	axis_swap	16.4	20	7.390000000000001	48
sub-021	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-021/ses-01/dwi/sub-021_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	35.14	1	(0, 1, 2)	scanner	axis_flip	24.88	22	10.260000000000002	48
sub-021	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-021/ses-02/dwi/sub-021_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	16.61	0	(2, 1, 0)	scanner	axis_flip_and_swap	11.97	20	4.639999999999999	48
sub-022	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-022/ses-01/dwi/sub-022_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	33.39	2	(1, 0, 2)	scanner	axis_flip_and_swap	26.45	20	6.940000000000001	48
sub-022	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-022/ses-02/dwi/sub-022_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	85.33	none	(1, 2, 0)	scanner	axis_swap	55.83	46	29.5	48
sub-023	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-023/ses-01/dwi/sub-023_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	66.44	2	(1, 0, 2)	scanner	axis_flip_and_swap	62.0	5	4.439999999999998	48
sub-023	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-023/ses-02/dwi/sub-023_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	22.45	2	(1, 2, 0)	scanner	axis_flip_and_swap	20.34	3	2.1099999999999994	48
sub-024	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-024/ses-02/dwi/sub-024_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	19.65	1	(2, 1, 0)	image	axis_flip_and_swap	13.28	24	6.369999999999999	48
sub-025	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-02_dwi.nii.gz	144	0,1000,2000	14.06	2	(0, 1, 2)	image	axis_flip	11.02	26	3.040000000000001	48
sub-025	ses-01	run-04	/lustre07/scratch/alexrees/bids/sub-025/ses-01/dwi/sub-025_ses-01_run-04_dwi.nii.gz	365	0,1000,2000	15.82	1	(1, 0, 2)	image	axis_flip_and_swap	14.39	4	1.4299999999999997	48
sub-025	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-025/ses-02/dwi/sub-025_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	50.83	2	(0, 1, 2)	scanner	axis_flip	35.34	41	15.489999999999995	48
sub-026	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-026/ses-01/dwi/sub-026_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	56.06	2	(0, 2, 1)	image	axis_flip_and_swap	49.08	14	6.980000000000004	48
sub-026	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-026/ses-02/dwi/sub-026_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	21.47	0	(0, 2, 1)	scanner	axis_flip_and_swap	19.79	4	1.6799999999999997	48
sub-027	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-027/ses-01/dwi/sub-027_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	17.83	2	(1, 0, 2)	image	axis_flip_and_swap	14.58	11	3.2499999999999982	48
sub-027	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-027/ses-02/dwi/sub-027_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	30.54	1	(1, 0, 2)	scanner	axis_flip_and_swap	29.13	3	1.4100000000000001	48
sub-028	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-028/ses-01/dwi/sub-028_ses-01_run-02_dwi.nii.gz	287	0,1000,2000	19.32	none	(1, 2, 0)	image	axis_swap	16.46	5	2.8599999999999994	48
sub-028	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-028/ses-02/dwi/sub-028_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	17.77	1	(2, 0, 1)	scanner	axis_flip_and_swap	14.75	11	3.0199999999999996	48
sub-029	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-029/ses-01/dwi/sub-029_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	63.94	1	(1, 0, 2)	scanner	axis_flip_and_swap	58.85	6	5.089999999999996	48
sub-030	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-030/ses-01/dwi/sub-030_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	75.44	none	(0, 2, 1)	scanner	axis_swap	68.86	5	6.579999999999998	48
sub-030	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-030/ses-02/dwi/sub-030_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	16.89	2	(1, 2, 0)	image	axis_flip_and_swap	12.63	24	4.26	48
sub-031	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-031/ses-01/dwi/sub-031_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	19.53	none	(1, 2, 0)	scanner	axis_swap	13.73	30	5.800000000000001	48
sub-031	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-031/ses-02/dwi/sub-031_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	65.81	0	(0, 2, 1)	scanner	axis_flip_and_swap	58.02	12	7.789999999999999	48
sub-032	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-032/ses-01/dwi/sub-032_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	36.58	none	(2, 1, 0)	image	axis_swap	22.8	29	13.779999999999998	48
sub-033	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-033/ses-01/dwi/sub-033_ses-01_run-01_dwi.nii.gz	7	0,1000,2000	86.2	none	(2, 0, 1)	scanner	axis_swap	68.02	20	18.180000000000007	48
sub-033	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-033/ses-01/dwi/sub-033_ses-01_run-02_dwi.nii.gz	7	0,1000,2000	135.16	0	(2, 0, 1)	scanner	axis_flip_and_swap	72.39	14	62.769999999999996	48
sub-034	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-034/ses-01/dwi/sub-034_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	70.12	2	(1, 0, 2)	scanner	axis_flip_and_swap	63.17	3	6.950000000000003	48
sub-034	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-034/ses-02/dwi/sub-034_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	21.73	none	(1, 2, 0)	scanner	axis_swap	18.23	4	3.5	48
sub-035	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-035/ses-01/dwi/sub-035_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	24.13	1	(1, 0, 2)	image	axis_flip_and_swap	23.01	2	1.1199999999999974	48
sub-035	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-035/ses-02/dwi/sub-035_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	59.93	none	(1, 0, 2)	image	axis_swap	56.49	5	3.4399999999999977	48
sub-036	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-036/ses-01/dwi/sub-036_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	20.3	1	(0, 1, 2)	scanner	axis_flip	18.84	5	1.4600000000000009	48
sub-036	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-036/ses-02/dwi/sub-036_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	60.07	1	(1, 0, 2)	scanner	axis_flip_and_swap	45.49	18	14.579999999999998	48
sub-037	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-037/ses-01/dwi/sub-037_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	33.49	none	(2, 0, 1)	scanner	axis_swap	28.83	16	4.660000000000004	48
sub-038	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-038/ses-01/dwi/sub-038_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	22.49	none	(0, 2, 1)	scanner	axis_swap	14.03	40	8.459999999999999	48
sub-038	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-038/ses-02/dwi/sub-038_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	16.48	2	(1, 2, 0)	image	axis_flip_and_swap	15.28	2	1.200000000000001	48
sub-039	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-039/ses-01/dwi/sub-039_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	26.92	1	(0, 2, 1)	scanner	axis_flip_and_swap	20.96	26	5.960000000000001	48
sub-039	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-039/ses-02/dwi/sub-039_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	32.68	1	(1, 0, 2)	image	axis_flip_and_swap	24.99	11	7.690000000000001	48
sub-039	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-039/ses-02/dwi/sub-039_ses-02_run-05_dwi.nii.gz	11	0,1000	34.41	2	(0, 1, 2)	scanner	axis_flip	34.37	1	0.03999999999999915	48
sub-040	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-040/ses-01/dwi/sub-040_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	49.87	0	(1, 0, 2)	scanner	axis_flip_and_swap	46.43	4	3.4399999999999977	48
sub-040	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-040/ses-02/dwi/sub-040_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	39.64	2	(0, 1, 2)	scanner	axis_flip	30.78	21	8.86	48
sub-041	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-041/ses-01/dwi/sub-041_ses-01_run-02_dwi.nii.gz	365	0,1000,2000	17.2	2	(1, 0, 2)	image	axis_flip_and_swap	12.55	22	4.649999999999999	48
sub-041	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-041/ses-02/dwi/sub-041_ses-02_run-02_dwi.nii.gz	365	0,1000,2000	69.08	2	(2, 1, 0)	scanner	axis_flip_and_swap	53.18	16	15.899999999999999	48
