metric	roc_auc	ci95_low	ci95_high	accuracy	balanced_accuracy	precision	recall	f1	mcc
AUC_global	0.9475570647047726	0.9201729935671056	0.9702403113847715	0.875	0.8569137898509716	0.8920454545454546	0.9181286549707602	0.9048991354466859	0.7233278435214257
AUC_run01	0.9677197802197802	0.9374937825221916	0.9903854599169594	0.9242424242424242	0.8736263736263736	0.9433962264150944	0.9615384615384616	0.9523809523809523	0.7681103181319378
AUC_run02	0.9375430539609644	0.8960921456117821	0.9710153252877237	0.8409090909090909	0.8405281285878301	0.8285714285714286	0.8656716417910447	0.8467153284671532	0.6822321825241469
AUC_cross12	0.9079219288174512	0.8456840110741061	0.9604874278753905	0.8712121212121212	0.8706084959816303	0.8472222222222222	0.9104477611940298	0.8776978417266187	0.7442135499194157
AUC_cross21	0.9835164835164836	0.961904675513166	0.9975524645119757	0.946969696969697	0.9141483516483516	0.9619047619047619	0.9711538461538461	0.9665071770334929	0.839469818479585
