model	term	beta	odds_ratio	or_ci95_low	or_ci95_high	p_value	pseudo_r2_mcfadden	aic	bic	nobs
QC ~ run	C(run)[T.02]	-1.28188103947084	0.2775147928994082	0.16187621018106188	0.47576144877532756	3.1477782514380657e-06	0.06773482609712866	323.3834994495646	330.53539765585725	264
QC ~ run + session	C(run)[T.02]	-1.2926544341205257	0.2745410638550206	0.1596893057385733	0.4719965146948476	2.9313435567351605e-06	0.07395657290555213	323.25199939572855	333.9798467051675	264
