dimension	lr_coefficient	abs_lr_coefficient	permutation_importance_mean	permutation_importance_std
79	-1.1428413548656815	1.1428413548656815	0.004263298890164565	0.0026104756676873617
75	-0.6186539017953994	0.6186539017953994	0.0014313050133945681	0.0019616000508962906
16	-0.6820996520028737	0.6820996520028737	0.000681209337925733	0.000953196598579214
97	-0.6984214262656614	0.6984214262656614	0.0005434366628396507	0.0006641393832234293
107	-0.6575144479960194	0.6575144479960194	0.0004515882127822279	0.0004834177627137568
95	-0.6900620442154252	0.6900620442154252	0.00029850746268655546	0.0005139616368679417
121	0.5799536833848709	0.5799536833848709	0.0002449292001530693	0.0006015119082858914
26	-0.5505035872053	0.5505035872053	0.00022196708763871548	0.00033790646849818704
86	-0.49430763205014794	0.49430763205014794	0.00021431305013395186	0.00029004661800991844
76	0.6736298399434958	0.6736298399434958	0.00021431305013392595	0.00037465712209780943
101	-0.6668240150556215	0.6668240150556215	0.00019900497512437648	0.00039207802448881025
71	0.6069110018660119	0.6069110018660119	0.0001530807500956725	0.0002244604408513767
40	0.486360491083665	0.486360491083665	0.00013011863758131126	0.0003230148923996646
96	-0.6316949147372392	0.6316949147372392	0.00012246460007653281	0.000203084564277411
105	-0.43215921759319503	0.43215921759319503	0.00011481056257174697	0.0003008533334410127
126	-0.4110840056682532	0.4110840056682532	6.88863375430615e-05	0.00020665901262918452
90	0.24743554999948253	0.24743554999948253	6.123230003826826e-05	0.0002900466180098929
62	-0.43958569438273964	0.43958569438273964	6.123230003825715e-05	0.00010154228213868179
20	-0.35021730733608075	0.35021730733608075	4.5924225028703966e-05	0.00024730952041950217
19	-0.3506419356509151	0.3506419356509151	4.5924225028700266e-05	0.00020877430841156541
110	-0.5545720645257617	0.5545720645257617	3.8270187523918124e-05	0.00013367201834346703
78	-0.3819441121586356	0.3819441121586356	3.8270187523910724e-05	8.557474081512873e-05
111	-0.36447825235361125	0.36447825235361125	3.0616150019132275e-05	9.801950612219737e-05
116	0.3540844872860769	0.3540844872860769	3.0616150019128575e-05	7.805617318931037e-05
99	0.4219809419172216	0.4219809419172216	2.2962112514346433e-05	9.088665967880127e-05
39	-0.4052536500283454	0.4052536500283454	2.2962112514346433e-05	6.88863375430393e-05
74	-0.3847048261445666	0.3847048261445666	1.530807500956799e-05	8.243650680650072e-05
123	-0.3210307929473009	0.3210307929473009	1.530807500956799e-05	8.243650680650072e-05
91	-0.46889113830181123	0.46889113830181123	1.5308075009564288e-05	5.727757193682579e-05
100	0.35206022813457427	0.35206022813457427	1.5308075009564288e-05	5.727757193682579e-05
9	-0.32947567374263437	0.32947567374263437	7.654037504782144e-06	4.1218253403240405e-05
33	0.22145312047315646	0.22145312047315646	7.654037504782144e-06	4.1218253403240405e-05
51	-0.23295997899998705	0.23295997899998705	7.654037504782144e-06	4.1218253403240405e-05
94	0.48905074113238345	0.48905074113238345	7.654037504782144e-06	4.12182534032404e-05
115	0.18573333248033752	0.18573333248033752	7.654037504782144e-06	4.1218253403240405e-05
84	-0.025532145018261853	0.025532145018261853	0.0	0.0
72	0.0	0.0	0.0	0.0
88	-0.15300904191509063	0.15300904191509063	0.0	0.0
87	-0.02826121590066246	0.02826121590066246	0.0	0.0
73	-0.06459647116994977	0.06459647116994977	0.0	0.0
77	-0.2701331560595293	0.2701331560595293	0.0	0.0
85	-0.12912330498830943	0.12912330498830943	0.0	0.0
89	0.23453524983462443	0.23453524983462443	0.0	0.0
81	-0.13501383741587714	0.13501383741587714	0.0	0.0
82	-0.18642170471450345	0.18642170471450345	0.0	0.0
83	-0.22102015587448526	0.22102015587448526	0.0	0.0
80	-0.07076754777125369	0.07076754777125369	0.0	0.0
0	0.09408280060483465	0.09408280060483465	0.0	0.0
92	0.04407649218199851	0.04407649218199851	0.0	0.0
113	0.1405154963982404	0.1405154963982404	0.0	0.0
125	0.18609899558181653	0.18609899558181653	0.0	0.0
124	-0.05450581867439045	0.05450581867439045	0.0	0.0
122	-0.2608181823049332	0.2608181823049332	0.0	0.0
120	-0.08470232101447074	0.08470232101447074	0.0	0.0
119	-0.12358917882285345	0.12358917882285345	0.0	0.0
118	-0.010907246273888775	0.010907246273888775	0.0	0.0
117	-0.07335572225404002	0.07335572225404002	0.0	0.0
114	-0.002740783243118025	0.002740783243118025	0.0	0.0
112	0.09158745324966203	0.09158745324966203	0.0	0.0
93	0.010653667385954278	0.010653667385954278	0.0	0.0
109	0.0	0.0	0.0	0.0
108	-0.1925965394589691	0.1925965394589691	0.0	0.0
106	-0.12390535729380445	0.12390535729380445	0.0	0.0
104	0.2695566995373689	0.2695566995373689	0.0	0.0
103	0.1140485258532773	0.1140485258532773	0.0	0.0
102	-0.1486187753530806	0.1486187753530806	0.0	0.0
69	0.09518247074560887	0.09518247074560887	0.0	0.0
98	0.016974609271223844	0.016974609271223844	0.0	0.0
70	0.30497626548865764	0.30497626548865764	0.0	0.0
64	-0.22021581314188765	0.22021581314188765	0.0	0.0
68	0.24171219178294745	0.24171219178294745	0.0	0.0
17	-0.17162405378788767	0.17162405378788767	0.0	0.0
32	-0.07862360967479214	0.07862360967479214	0.0	0.0
31	0.02146290873268291	0.02146290873268291	0.0	0.0
30	0.0	0.0	0.0	0.0
29	0.1051853190646215	0.1051853190646215	0.0	0.0
28	-0.015204667629796555	0.015204667629796555	0.0	0.0
27	0.09640190504849869	0.09640190504849869	0.0	0.0
25	-0.15675765800195673	0.15675765800195673	0.0	0.0
24	0.0038810997833051636	0.0038810997833051636	0.0	0.0
23	0.11088690716018428	0.11088690716018428	0.0	0.0
22	0.05049156183094853	0.05049156183094853	0.0	0.0
21	0.02844231155606408	0.02844231155606408	0.0	0.0
18	-0.018312173408910677	0.018312173408910677	0.0	0.0
15	-0.2499196271941473	0.2499196271941473	0.0	0.0
67	-0.04564225347402479	0.04564225347402479	0.0	0.0
14	0.08259717986930895	0.08259717986930895	0.0	0.0
13	0.0	0.0	0.0	0.0
12	-0.3289482193809102	0.3289482193809102	0.0	0.0
11	-0.16976655523610207	0.16976655523610207	0.0	0.0
10	0.002956083412253926	0.002956083412253926	0.0	0.0
8	-0.03748152567441519	0.03748152567441519	0.0	0.0
7	-0.09747138790610045	0.09747138790610045	0.0	0.0
6	0.22898641134349934	0.22898641134349934	0.0	0.0
5	-0.08994586874722675	0.08994586874722675	0.0	0.0
4	0.043552347239794856	0.043552347239794856	0.0	0.0
3	0.11157525318299122	0.11157525318299122	0.0	0.0
2	-0.38001938781650685	0.38001938781650685	0.0	0.0
34	0.09990108983580558	0.09990108983580558	0.0	0.0
35	0.44834252355512066	0.44834252355512066	0.0	0.0
