participant_label	session_id	n_t1w	n_flair	n_tb1tfl	n_anat_target
sub-057	02	3	1	2	6
sub-064	02	2	1	2	5
sub-066	02	3	1	2	6
sub-067	02	3	1	2	6
sub-068	02	3	1	2	6
sub-069	02	3	1	2	6
sub-072	02	3	1	2	6
sub-073	02	3	1	2	6
sub-074	02	3	1	2	6
sub-081	02	3	2	4	9
