fmri_number	mat_file	sha256	trigger_count	duration_seconds	matlab_timestamp	selected_run_is
3	/lustre06/project/6001995/raw_original/Control/SUBC44_Session02_2025FEB19/SUBC44_Session02_2025FEB19_matlab/2-Grating/Results/February-19-2025_ 2-40-19_PM__scan_info_for_subject_SUBC44_Session02_2025FEB19__selected_run_is_2__fmri_number_is3.mat	2721b07525e7947c5acd7cafb16c3d67e910a8e9cf2a20c764b5b6f96fe026ef	226	210.833549		2
4	/lustre06/project/6001995/raw_original/Control/SUBC44_Session02_2025FEB19/SUBC44_Session02_2025FEB19_matlab/2-Grating/Results/February-19-2025_ 2-44-31_PM__scan_info_for_subject_SUBC44_Session02_2025FEB19__selected_run_is_5__fmri_number_is4.mat	d628382daa1ca4e28d8d96301622b904eeaa3c12133541db40feb34f3be417ab	226	210.832809		5
