onset	duration	trial_type
0.000000	9.369792	baseline
9.369792	7.495930	stim-03
16.865722	9.370994	baseline
26.236716	7.496076	stim-01
33.732792	9.369884	baseline
43.102676	7.497035	stim-07
50.599711	9.370123	baseline
59.969833	7.495923	stim-08
67.465757	9.371030	baseline
76.836786	7.495959	stim-09
84.332746	9.369954	baseline
93.702700	7.497109	stim-04
101.199809	9.369957	baseline
110.569766	7.496125	stim-12
118.065892	9.370936	baseline
127.436828	7.495956	stim-11
134.932784	9.370016	baseline
144.302800	7.497027	stim-06
151.799826	9.369963	baseline
161.169790	7.495978	stim-02
168.665767	9.371019	baseline
178.036787	7.496019	stim-10
185.532805	9.370019	baseline
194.902824	7.496996	stim-05
202.399820	9.363468	baseline
