onset	duration	trial_type
0.000000	9.369871	baseline
9.369871	7.495872	stim-03
16.865744	9.371283	baseline
26.237026	7.495811	stim-01
33.732838	9.370953	baseline
43.103790	7.496026	stim-07
50.599816	9.369995	baseline
59.969811	7.496877	stim-08
67.466688	9.370040	baseline
76.836727	7.496096	stim-09
84.332823	9.370961	baseline
93.703784	7.496051	stim-04
101.199835	9.369999	baseline
110.569834	7.496984	stim-12
118.066818	9.370007	baseline
127.436825	7.495876	stim-11
134.932701	9.371140	baseline
144.303841	7.495988	stim-06
151.799829	9.369993	baseline
161.169821	7.496950	stim-02
168.666771	9.370038	baseline
178.036809	7.496069	stim-10
185.532879	9.370921	baseline
194.903800	7.495878	stim-05
202.399678	9.362548	baseline
