onset	duration	trial_type
0.000000	9.369620	baseline
9.369620	7.496049	stim-03
16.865669	9.370979	baseline
26.236648	7.496021	stim-01
33.732669	9.371041	baseline
43.103709	7.495916	stim-07
50.599626	9.370064	baseline
59.969689	7.497075	stim-08
67.466764	9.369904	baseline
76.836668	7.495965	stim-09
84.332633	9.370989	baseline
93.703622	7.496139	stim-04
101.199761	9.369958	baseline
110.569719	7.496998	stim-12
118.066717	9.370088	baseline
127.436806	7.496009	stim-11
134.932815	9.370834	baseline
144.303649	7.496062	stim-06
151.799712	9.370034	baseline
161.169745	7.497002	stim-02
168.666747	9.370017	baseline
178.036764	7.495999	stim-10
185.532763	9.371108	baseline
194.903871	7.495976	stim-05
202.399847	9.363012	baseline
