participant_id	session_id	fmri_number	bids_run	ProtocolName	SeriesNumber	SeriesTime	source_mat	sha256	n_triggers	trigger_duration	protocol_expected	nifti_path	json_path	gates_passed	decision	already_has_events_in_bids	recommendation	events_stem	precomputed_events_tsv
sub-002	ses-01	4	05	fMRI4_AP	23		/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-23-57_PM__scan_info_for_subject_C02__selected_run_is_5__fmri_number_is4.mat	01920deac85ac80d	226	210.833537	fMRI4	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-05_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-002_ses-01_task-fmri_run-05_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-01_task-fmri_run-05_events.tsv
sub-002	ses-02	1	05	fMRI1_AP	3		/lustre06/project/6001995/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUB-C02-SESSION02-Matlab-Code/2-Grating/Results/November-20-2023_ 3-02-22_PM__scan_info_for_subject_subC02-session2__selected_run_is_1__fmri_number_is1.mat	631a7a18da85545e	226	210.833046	fMRI1	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-05_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-002_ses-02_task-fmri_run-05_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-02_task-fmri_run-05_events.tsv
sub-002	ses-02	2	07	fMRI2_AP	7		/lustre06/project/6001995/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUB-C02-SESSION02-Matlab-Code/2-Grating/Results/November-20-2023_ 3-06-44_PM__scan_info_for_subject_subC02-session2__selected_run_is_4__fmri_number_is2.mat	1cd583d44dd4d147	226	210.832247	fMRI2	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-07_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-002_ses-02_task-fmri_run-07_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-02_task-fmri_run-07_events.tsv
sub-002	ses-02	3	01	fMRI3_AP	11		/lustre06/project/6001995/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUB-C02-SESSION02-Matlab-Code/2-Grating/Results/November-20-2023_ 3-11-59_PM__scan_info_for_subject_subC02-session2__selected_run_is_2__fmri_number_is3.mat	a8463811b13d2a4a	226	210.832486	fMRI3	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-01_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-002_ses-02_task-fmri_run-01_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-02_task-fmri_run-01_events.tsv
sub-002	ses-02	4	03	fMRI4_AP	19		/lustre06/project/6001995/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUB-C02-SESSION02-Matlab-Code/2-Grating/Results/November-20-2023_ 3-18-43_PM__scan_info_for_subject_subC02-session2__selected_run_is_5__fmri_number_is4.mat	1a5fcce80253952a	226	210.833269	fMRI4	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-03_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-002_ses-02_task-fmri_run-03_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-02_task-fmri_run-03_events.tsv
sub-003	ses-01	1	05	fMRI1_AP	3		/lustre06/project/6001995/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_MATLAB/2-Grating/Results/May-19-2023_ 1-29-16_PM__scan_info_for_subject_C03__selected_run_is_1__fmri_number_is1.mat	6374f16d35a12f39	226	210.832628	fMRI1	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-05_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-003_ses-01_task-fmri_run-05_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-003_ses-01_task-fmri_run-05_events.tsv
sub-003	ses-01	2	07	fMRI2_AP	7		/lustre06/project/6001995/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_MATLAB/2-Grating/Results/May-19-2023_ 1-33-40_PM__scan_info_for_subject_C03__selected_run_is_4__fmri_number_is2.mat	541e928df3d561ce	226	210.832913	fMRI2	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-07_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-003_ses-01_task-fmri_run-07_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-003_ses-01_task-fmri_run-07_events.tsv
sub-003	ses-01	3	01	fMRI3_AP	15		/lustre06/project/6001995/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_MATLAB/2-Grating/Results/May-19-2023_ 1-38-30_PM__scan_info_for_subject_C03__selected_run_is_2__fmri_number_is3.mat	1722afda9b1de40d	226	210.833749	fMRI3	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-01_bold.nii.gz	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-01_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-003_ses-01_task-fmri_run-01_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-003_ses-01_task-fmri_run-01_events.tsv
sub-003	ses-01	4	03	fMRI4_AP	19		/lustre06/project/6001995/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_MATLAB/2-Grating/Results/May-19-2023_ 1-42-46_PM__scan_info_for_subject_C03__selected_run_is_5__fmri_number_is4.mat	555a5aa2e48dac05	226	210.83364	fMRI4	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-03_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-003_ses-01_task-fmri_run-03_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-003_ses-01_task-fmri_run-03_events.tsv
sub-003	ses-02	1	05	fMRI1_AP	3		/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/2-Grating/Results/November-10-2023_ 3-36-30_PM__scan_info_for_subject_SUBC03_SESSION2__selected_run_is_1__fmri_number_is1.mat	c5eaeba2c9f21d47	226	210.833972	fMRI1	/home/alexrees/scratch/bids/sub-003/ses-02/func/sub-003_ses-02_task-fmri_run-05_bold.nii.gz	/home/alexrees/scratch/bids/sub-003/ses-02/func/sub-003_ses-02_task-fmri_run-05_bold.json	G1,G2,G3,G4,G5_UNIQUE,G6	AUTO_ACCEPT	True	KEEP_EXISTING	sub-003_ses-02_task-fmri_run-05_events	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-003_ses-02_task-fmri_run-05_events.tsv
