bids_root	relative_bold	n_volumes	TR	scan_duration_s	mp4_duration_s	events_duration_s	duration_capped_to_scan	tsv_rewritten
/lustre07/scratch/alexrees/bids	sub-009/ses-02/func/sub-009_ses-02_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-009/ses-02/func/sub-009_ses-02_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-009/ses-02/func/sub-009_ses-02_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-009/ses-02/func/sub-009_ses-02_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-010/ses-01/func/sub-010_ses-01_task-movie_run-01_bold.nii.gz	53	0.937	49.661	196.821333	49.661	True	True
/lustre07/scratch/alexrees/bids	sub-010/ses-01/func/sub-010_ses-01_task-movie_run-03_bold.nii.gz	35	0.937	32.795	196.821333	32.795	True	True
/lustre07/scratch/alexrees/bids	sub-011/ses-01/func/sub-011_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-011/ses-01/func/sub-011_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-011/ses-01/func/sub-011_ses-01_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-011/ses-01/func/sub-011_ses-01_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-011/ses-02/func/sub-011_ses-02_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-011/ses-02/func/sub-011_ses-02_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-011/ses-02/func/sub-011_ses-02_task-movie_run-05_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-011/ses-02/func/sub-011_ses-02_task-movie_run-07_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-012/ses-01/func/sub-012_ses-01_task-movie_run-01_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
/lustre07/scratch/alexrees/bids	sub-012/ses-01/func/sub-012_ses-01_task-movie_run-03_bold.nii.gz	210	0.937	196.77	196.821333	196.77	True	True
