subset	n	mean_P	median_P	frac_P_ge90	frac_P_ge50	frac_uncertain_50
all_scored_T1w	387	69.67441860465117	80.0	0.4289405684754522	0.7364341085271318	0.0103359173126615
drop_empty_run03	384	69.54166666666667	80.0	0.4270833333333333	0.734375	0.010416666666666666
drop_listed_wmn_run03	382	69.27748691099477	80.0	0.4214659685863874	0.7329842931937173	0.010471204188481676
drop_all_listed	366	68.79781420765028	80.0	0.41530054644808745	0.7213114754098361	0.0
run01_only	132	71.63636363636364	81.0	0.4090909090909091	0.7878787878787878	0.007575757575757576
run02_only	132	49.72727272727273	50.0	0.14393939393939395	0.5075757575757576	0.022727272727272728
run03_only	120	89.85	100.0	0.7666666666666667	0.9416666666666667	0.0
run03_drop_listed	112	89.48214285714286	100.0	0.7589285714285714	0.9375	0.0
