subject_id	session	sequence_group	run	mriqc_source_file	iqm	value	outlier_iqr	outlier_robust_z	robust_z	split
sub-024	ses-02	T1w	1	sub-024/ses-02/anat/sub-024_ses-02_run-01_T1w.json	fwhm_x	3.970537736662491	True	False	-3.1019768805020482	sequence_group=T1w
sub-043	ses-02	T1w	1	sub-043/ses-02/anat/sub-043_ses-02_run-01_T1w.json	fwhm_x	5.516712828821708	True	True	4.170018499956412	sequence_group=T1w
sub-043	ses-02	T1w	2	sub-043/ses-02/anat/sub-043_ses-02_run-02_T1w.json	fwhm_x	5.473312826234867	True	True	3.9658989148435415	sequence_group=T1w
sub-049	ses-01	T1w	1	sub-049/ses-01/anat/sub-049_ses-01_run-01_T1w.json	fwhm_x	5.601762833891084	True	True	4.5700270417501905	sequence_group=T1w
sub-052	ses-01	T1w	1	sub-052/ses-01/anat/sub-052_ses-01_run-01_T1w.json	fwhm_x	5.2135753107533045	True	False	2.744297284929831	sequence_group=T1w
sub-052	ses-02	T1w	1	sub-052/ses-02/anat/sub-052_ses-02_run-01_T1w.json	fwhm_x	5.196800309753437	True	False	2.6654008323890843	sequence_group=T1w
sub-065	ses-01	T1w	1	sub-065/ses-01/anat/sub-065_ses-01_run-01_T1w.json	fwhm_x	5.292525315459091	True	False	3.11561620761788	sequence_group=T1w
sub-072	ses-01	T1w	1	sub-072/ses-01/anat/sub-072_ses-01_run-01_T1w.json	fwhm_x	5.409175322411974	True	True	3.6642463828118146	sequence_group=T1w
sub-072	ses-02	T1w	1	sub-072/ses-02/anat/sub-072_ses-02_run-01_T1w.json	fwhm_x	5.658700337284824	True	True	4.837816416804666	sequence_group=T1w
sub-011	ses-01	WMn	3	sub-011/ses-01/anat/sub-011_ses-01_run-03_T1w.json	fwhm_x	3.22721	True	False	2.9382790191433488	sequence_group=WMn
sub-054	ses-02	WMn	2	sub-054/ses-02/anat/sub-054_ses-02_run-02_T1w.json	fwhm_x	3.48194	True	True	5.138360778538955	sequence_group=WMn
sub-062	ses-01	WMn	1	sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.json	fwhm_x	3.32702	True	True	3.8003296625904337	sequence_group=WMn
sub-071	ses-01	WMn	3	sub-071/ses-01/anat/sub-071_ses-01_run-03_T1w.json	fwhm_x	2.50619	True	False	-3.2891105704590546	sequence_group=WMn
sub-024	ses-01	T1w	1	sub-024/ses-01/anat/sub-024_ses-01_run-01_T1w.json	fwhm_y	3.939537441296317	True	False	-2.760138995855795	sequence_group=T1w
sub-049	ses-01	T1w	1	sub-049/ses-01/anat/sub-049_ses-01_run-01_T1w.json	fwhm_y	5.777449913909287	True	True	4.5141308908203985	sequence_group=T1w
sub-064	ses-02	T1w	1	sub-064/ses-02/anat/sub-064_ses-02_run-01_T1w.json	fwhm_y	5.466524918542431	True	False	3.283521509516997	sequence_group=T1w
sub-054	ses-02	WMn	2	sub-054/ses-02/anat/sub-054_ses-02_run-02_T1w.json	fwhm_y	3.66059	True	True	6.39833211436169	sequence_group=WMn
sub-062	ses-01	WMn	1	sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.json	fwhm_y	3.63806	True	True	6.196251196808498	sequence_group=WMn
sub-081	ses-02	WMn	1	sub-081/ses-02/anat/sub-081_ses-02_run-01_T1w.json	fwhm_y	3.31033	True	False	3.2567048537233987	sequence_group=WMn
sub-008	ses-01	T1w	1	sub-008/ses-01/anat/sub-008_ses-01_run-01_T1w.json	fwhm_z	5.6331499160595255	True	True	3.751465163435808	sequence_group=T1w
sub-029	ses-02	T1w	1	sub-029/ses-02/anat/sub-029_ses-02_run-01_T1w.json	fwhm_z	5.528212417623216	True	False	3.2921880525590117	sequence_group=T1w
sub-043	ses-02	T1w	1	sub-043/ses-02/anat/sub-043_ses-02_run-01_T1w.json	fwhm_z	5.929149911648781	True	True	5.046960337415853	sequence_group=T1w
sub-043	ses-02	T1w	2	sub-043/ses-02/anat/sub-043_ses-02_run-02_T1w.json	fwhm_z	5.887412412270718	True	True	4.864288952875339	sequence_group=T1w
sub-049	ses-01	T1w	1	sub-049/ses-01/anat/sub-049_ses-01_run-01_T1w.json	fwhm_z	6.165874908121304	True	True	6.083028226133513	sequence_group=T1w
sub-052	ses-01	T1w	1	sub-052/ses-01/anat/sub-052_ses-01_run-01_T1w.json	fwhm_z	5.664762415588462	True	True	3.889822735015009	sequence_group=T1w
sub-052	ses-02	T1w	1	sub-052/ses-02/anat/sub-052_ses-02_run-01_T1w.json	fwhm_z	5.657249915700407	True	True	3.856942979965939	sequence_group=T1w
sub-064	ses-02	T1w	1	sub-064/ses-02/anat/sub-064_ses-02_run-01_T1w.json	fwhm_z	5.6124624163677925	True	True	3.660922743125966	sequence_group=T1w
sub-065	ses-01	T1w	1	sub-065/ses-01/anat/sub-065_ses-01_run-01_T1w.json	fwhm_z	5.61416241634246	True	True	3.6683630870305803	sequence_group=T1w
sub-068	ses-02	T1w	1	sub-068/ses-02/anat/sub-068_ses-02_run-01_T1w.json	fwhm_z	5.472899918447436	True	False	3.050103333603703	sequence_group=T1w
sub-072	ses-02	T1w	1	sub-072/ses-02/anat/sub-072_ses-02_run-01_T1w.json	fwhm_z	5.741462414445543	True	True	4.225513545299704	sequence_group=T1w
sub-011	ses-01	WMn	3	sub-011/ses-01/anat/sub-011_ses-01_run-03_T1w.json	fwhm_z	3.27513	True	True	3.7183477410283063	sequence_group=WMn
sub-012	ses-01	WMn	3	sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.json	fwhm_z	3.23964	True	False	3.4256534205538935	sequence_group=WMn
sub-012	ses-02	WMn	3	sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.json	fwhm_z	3.2577	True	True	3.5745984593751907	sequence_group=WMn
sub-053	ses-01	WMn	3	sub-053/ses-01/anat/sub-053_ses-01_run-03_T1w.json	fwhm_z	3.34301	True	True	4.278169957816227	sequence_group=WMn
sub-054	ses-02	WMn	2	sub-054/ses-02/anat/sub-054_ses-02_run-02_T1w.json	fwhm_z	3.27331	True	True	3.7033377758757733	sequence_group=WMn
