file	field_found	value	action
sub-001/ses-02/func/sub-001_ses-02_task-control_run-02_part-phase_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-control_run-02_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-control_run-03_bold.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-control_run-03_part-phase_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-control_run-03_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-control_run-04_part-phase_bold.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-control_run-05_bold.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-control_run-06_part-phase_bold.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-01_bold.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-01_part-phase_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-01_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-02_part-phase_bold.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-02_part-phase_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-02_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-03_bold.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-03_part-phase_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-03_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-04_part-phase_bold.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-04_part-phase_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-04_sbref.json	InstitutionalDepartmentName	"""Department"""	REMOVE
sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-05_bold.json	InstitutionalDepartmentName	"""Department"""	REMOVE
