file_path	subject	session	variables	classification	potential_BIDS_destination	notes
/lustre07/scratch/alexrees/raw_original/Control/SUBC13-Session1-2023JUL17/SUBC13_Session01_2023JUL17_Matlab/SUBC13_Session01_2023JUL17_Matlab/3-Movie_Data/Results/July-17-2023_11-11-03_AM_Subject_is_subc13_selected_run_id_3.mat	SUBC013	ses-01	ans:double[1x1]; answer:char[1]; change_eye:double[1x1]; comment:char[1]; outputFile:char[1]; outputFileID:double[1x1]; resultdir:char[1]; run_id:double[1x1]; t:char[1]; x:cell[1x1]; y:cell[1x1]	task timing	sourcedata/SUBC013/ses-01/matlab/run_selection/	format=MATLAB 5.0; created_on=Mon Jul 17 11:11:03 2023; Operator run-selection log (run_id, subject id cells, optional comment); BIDS: lab intermediate; low priority vs scan_info / stim_order
/lustre07/scratch/alexrees/raw_original/Control/SUBC13-Session1-2023JUL17/SUBC13_Session01_2023JUL17_Matlab/SUBC13_Session01_2023JUL17_Matlab/3-Movie_Data/Results/July-17-2023_11-15-16_AM_Subject_is_subc13_selected_run_id_4.mat	SUBC013	ses-01	ans:double[1x1]; answer:char[1]; change_eye:double[1x1]; comment:char[1]; outputFile:char[1]; outputFileID:double[1x1]; resultdir:char[1]; run_id:double[1x1]; t:char[1]; x:cell[1x1]; y:cell[1x1]	task timing	sourcedata/SUBC013/ses-01/matlab/run_selection/	format=MATLAB 5.0; created_on=Mon Jul 17 11:15:16 2023; Operator run-selection log (run_id, subject id cells, optional comment); BIDS: lab intermediate; low priority vs scan_info / stim_order
/lustre07/scratch/alexrees/raw_original/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_Matlab/1-Check_FOV_and_EyeTracking/Results/July-11-2023_11-31-59_AM  The Right Eye is _ eye =1 .mat	SUBC014	ses-01	Black:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBC014/ses-01/eyetrack/setup/	format=MATLAB 5.0; created_on=Tue Jul 11 11:31:59 2023; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_Matlab/1-Check_FOV_and_EyeTracking/Results/July-11-2023_11-33-05_AM  The Right Eye is _ eye =1 .mat	SUBC014	ses-01	Black:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBC014/ses-01/eyetrack/setup/	format=MATLAB 5.0; created_on=Tue Jul 11 11:33:05 2023; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_Matlab/1-Check_FOV_and_EyeTracking/Results/July-12-2023_ 9-59-24_AM  The Right Eye is _ eye =0 .mat	SUBC014	ses-01	Black:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBC014/ses-01/eyetrack/setup/	format=MATLAB 5.0; created_on=Wed Jul 12 09:59:25 2023; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_Matlab/1-Check_FOV_and_EyeTracking/Results/July-12-2023_10-00-14_AM  The Right Eye is _ eye =0 .mat	SUBC014	ses-01	Black:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBC014/ses-01/eyetrack/setup/	format=MATLAB 5.0; created_on=Wed Jul 12 10:00:14 2023; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_Matlab/1-Check_FOV_and_EyeTracking/Results/July-19-2023_ 1-07-46_PM  The Right Eye is _ eye =0 .mat	SUBC014	ses-01	Black:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBC014/ses-01/eyetrack/setup/	format=MATLAB 5.0; created_on=Wed Jul 19 13:07:46 2023; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_Matlab/1-Check_FOV_and_EyeTracking/Results/July-19-2023_ 1-09-48_PM  The Right Eye is _ eye =0 .mat	SUBC014	ses-01	Black:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBC014/ses-01/eyetrack/setup/	format=MATLAB 5.0; created_on=Wed Jul 19 13:09:48 2023; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_Matlab/2-Grating/GreenLevel.mat	SUBC014	ses-01	GreenLevel:float64[3x1]	stimulus definition	sourcedata/stimuli/display_calibration/	format=MATLAB 7.3 (HDF5); created_on=Thu Oct  6 08:53:03 2022; RGB gun-level calibration for anaglyph/grating display; shared lab setting; BIDS: optional sourcedata only; not required for events.tsv
/lustre07/scratch/alexrees/raw_original/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_Matlab/2-Grating/RedLevel.mat	SUBC014	ses-01	RedLevel:float64[3x1]	stimulus definition	sourcedata/stimuli/display_calibration/	format=MATLAB 7.3 (HDF5); created_on=Thu Oct  6 08:53:11 2022; RGB gun-level calibration for anaglyph/grating display; shared lab setting; BIDS: optional sourcedata only; not required for events.tsv
