subject	session	runtime	memory	CPU hours	files processed	job_id	array_task_id	node	timestamp	status
SUBC009	ses-01	00:24:45	0.333G	0.1359	0	65933467	9	nc31009	2026-07-19T22:00:12.468586+00:00	failed
SUBC011	ses-01	00:24:43	0.332G	0.1354	0	65933469	11	nc31033	2026-07-19T22:00:12.486450+00:00	failed
SUBC016	ses-01	00:24:30	0.334G	0.1350	0	65933476	16	nc11131	2026-07-19T22:00:43.949480+00:00	failed
SUBC017	ses-01	00:24:38	0.338G	0.1339	0	65933537	17	nc11129	2026-07-19T22:02:45.656244+00:00	failed
SUBC018	ses-01	00:28:40	0.335G	0.1430	0	65934585	18	nc31013	2026-07-19T22:22:50.234175+00:00	failed
SUBC020	ses-01	00:25:09	0.367G	0.1361	0	65934673	19	nc31009	2026-07-19T22:24:55.830829+00:00	failed
SUBC023	ses-01	00:24:49	0.326G	0.1329	0	65934684	22	nc11131	2026-07-19T22:25:10.456464+00:00	failed
SUBC022	ses-01	00:25:25	0.324G	0.1350	0	65934683	21	nc11125	2026-07-19T22:25:46.922045+00:00	failed
SUBC024	ses-01	00:26:38	0.327G	0.1438	0	65934685	23	nc31002	2026-07-19T22:27:01.004991+00:00	failed
SUBC021	ses-01	00:26:38	0.364G	0.1409	0	65934682	20	nc11005	2026-07-19T22:27:01.012056+00:00	failed
SUBC026	ses-01	00:27:08	0.338G	0.1419	0	65934694	25	nc11131	2026-07-19T22:28:01.826545+00:00	failed
SUBC027	ses-01	00:26:00	0.328G	0.1398	0	65934708	26	nc11010	2026-07-19T22:28:53.996631+00:00	failed
SUBC031	ses-01	00:22:44	0.328G	0.1365	0	65935292	30	nc31009	2026-07-19T22:48:34.690678+00:00	failed
SUBC030	ses-01	00:23:23	0.325G	0.1352	0	65935229	29	nc31009	2026-07-19T22:48:38.740690+00:00	failed
SUBC029	ses-01	00:23:37	0.333G	0.1341	0	65935227	28	nc11014	2026-07-19T22:48:43.348193+00:00	failed
SUBC034	ses-01	00:20:35	0.314G	0.1238	48	65935407	33	nc31030	2026-07-19T22:48:43.355634+00:00	success
SUBC028	ses-01	00:25:46	0.366G	0.1437	0	65935212	27	nc11008	2026-07-19T22:48:43.369821+00:00	failed
SUBC032	ses-01	00:22:24	0.331G	0.1346	0	65935393	31	nc11005	2026-07-19T22:49:30.369315+00:00	failed
SUBC033	ses-01	00:22:41	0.321G	0.1354	0	65935394	32	nc31002	2026-07-19T22:49:47.738330+00:00	failed
SUBC035	ses-01	00:23:35	0.336G	0.1343	0	65935426	34	nc11001	2026-07-19T22:52:35.775519+00:00	failed
SUBC043	ses-01	00:05:38	0.241G	0.0383	0	65936049	42	nc11001	2026-07-19T22:58:18.675572+00:00	failed
SUBC041	ses-01	00:08:43	0.260G	0.0621	0	65936026	40	nc11005	2026-07-19T22:58:18.679863+00:00	failed
SUBC039	ses-01	00:09:36	0.253G	0.0612	0	65936019	38	nc31030	2026-07-19T22:58:24.355698+00:00	failed
SUBC057	ses-01	01:48:45	0.273G	1.4657	0	65932550	3	nc11116	2026-07-19T22:58:26.016611+00:00	failed
SUBC042	ses-01	00:08:33	0.249G	0.0535	0	65936033	41	nc11008	2026-07-19T22:58:28.360112+00:00	failed
SUBC036	ses-01	00:09:57	0.256G	0.0723	0	65936016	35	nc31009	2026-07-19T22:58:37.929010+00:00	failed
SUBC037	ses-01	00:09:52	0.257G	0.0712	0	65936017	36	nc31009	2026-07-19T22:58:38.067138+00:00	failed
SUBC038	ses-01	00:09:49	0.254G	0.0709	0	65936018	37	nc11014	2026-07-19T22:58:38.272602+00:00	failed
SUBC040	ses-01	00:09:56	0.258G	0.0702	0	65936020	39	nc30625	2026-07-19T22:58:46.158916+00:00	failed
SUBON08	ses-01	02:41:51	0.271G	2.3558	0	65930590	1	nc10911	2026-07-19T22:59:29.582949+00:00	failed
SUBON08	ses-01	02:44:19	0.279G	2.3832	0	65930535	7	nc30634	2026-07-19T23:01:57.886043+00:00	failed
SUBON06	ses-01	02:47:30	0.272G	1.9971	0	65930591	2	nc10912	2026-07-19T23:05:08.567978+00:00	failed
SUBON07	ses-01	03:03:06	0.285G	2.5259	0	65930597	6	nc30630	2026-07-19T23:20:43.121313+00:00	failed
SUBON06	ses-01	03:04:27	0.272G	2.7564	0	65930596	5	nc30629	2026-07-19T23:22:09.387222+00:00	failed
SUBC040	ses-01	01:09:08	0.330G	0.1333	0	65978975	5	nc30410	2026-07-20T16:19:28.914551+00:00	failed
SUBC042	ses-01	01:09:26	0.337G	0.1366	0	65978977	7	nc30413	2026-07-20T16:19:28.927828+00:00	failed
SUBC038	ses-01	01:09:32	0.334G	0.1348	0	65978973	3	nc31135	2026-07-20T16:19:28.942153+00:00	failed
SUBC039	ses-01	01:09:24	0.324G	0.1391	0	65978974	4	nc30406	2026-07-20T16:19:28.960986+00:00	failed
SUBC037	ses-01	01:09:24	0.331G	0.1461	0	65978972	2	nc31134	2026-07-20T16:19:28.968404+00:00	failed
SUBC043	ses-01	01:09:24	0.327G	0.1341	0	65978978	8	nc30415	2026-07-20T16:19:28.981975+00:00	failed
SUBC036	ses-01	01:09:11	0.341G	0.1511	0	65978971	1	nc31132	2026-07-20T16:19:29.024069+00:00	failed
SUBC041	ses-01	01:10:54	0.433G	0.1498	0	65978976	6	nc30412	2026-07-20T16:21:01.093507+00:00	failed
SUBC044	ses-01	00:00:05	0.144G	0.0006	0	65987439	9	nc31137	2026-07-20T16:23:41.538061+00:00	failed
SUBC050	ses-01	00:28:07	0.323G	0.1361	0	65987445	15	nc11008	2026-07-20T16:51:43.588653+00:00	failed
SUBC052	ses-01	00:26:10	0.331G	0.1263	0	65987704	17	nc11026	2026-07-20T16:53:57.947139+00:00	failed
SUBC049	ses-01	00:29:24	0.340G	0.1338	0	65987444	14	nc11007	2026-07-20T16:53:57.962841+00:00	failed
SUBC051	ses-01	00:30:21	0.328G	0.1358	0	65987446	16	nc11019	2026-07-20T16:53:57.973584+00:00	failed
SUBC046	ses-01	00:30:21	0.327G	0.1331	0	65987441	11	nc11003	2026-07-20T16:53:58.029601+00:00	failed
SUBC047	ses-01	00:30:21	0.345G	0.1464	0	65987442	12	nc11003	2026-07-20T16:53:58.035857+00:00	failed
SUBC045	ses-01	00:30:29	0.333G	0.1349	0	65987440	10	nc11001	2026-07-20T16:54:05.610692+00:00	failed
SUBC057	ses-01	00:00:05	0.146G	0.0005	0	65978832	22	nc10138	2026-07-20T16:54:20.407485+00:00	failed
SUBC048	ses-01	00:36:57	0.379G	0.2100	0	65987443	13	nc11003	2026-07-20T17:00:34.072471+00:00	failed
SUBC056	ses-01	00:17:52	0.289G	0.0862	27	65990436	21	nc10119	2026-07-20T17:12:07.337579+00:00	success
SUBC055	ses-01	00:26:00	0.336G	0.1387	0	65990414	20	nc11014	2026-07-20T17:20:15.586197+00:00	failed
SUBC053	ses-01	00:28:20	0.334G	0.1368	0	65990211	18	nc11108	2026-07-20T17:20:15.598531+00:00	failed
SUBC054	ses-01	00:28:04	0.339G	0.1363	0	65990413	19	nc30409	2026-07-20T17:22:17.583853+00:00	failed
SUBON01	ses-01	00:30:09	0.321G	0.1353	0	66033083	2	nc30550	2026-07-21T01:26:10.156802+00:00	failed
SUBON08	ses-01	00:21:33	0.254G	0.1946	0	66058478	4	nc10227	2026-07-21T13:59:23.197057+00:00	failed
SUBON07	ses-01	01:01:38	0.255G	0.6527	0	66058573	3	nc10224	2026-07-21T14:39:27.198002+00:00	failed
SUBON06	ses-01	01:01:38	0.270G	0.6897	0	66058572	2	nc31105	2026-07-21T14:39:27.167216+00:00	failed
