subject	session	runtime	memory	CPU hours	files processed	job_id	array_task_id	node	timestamp	status
SUBC048		00:23:10	0.214G	0.0289	0	66499518	47	nc11004	2026-07-27T16:44:21.271226+00:00	failed
SUBC054		00:23:00	0.200G	0.0076	56	66499528	53	nc10341	2026-07-27T16:44:21.453328+00:00	success
SUBC050		00:25:22	0.200G	0.0082	89	66499523	49	nc10323	2026-07-27T16:46:43.620450+00:00	success
SUBG04		00:10:30	0.201G	0.0109	118	66500443	69	nc11014	2026-07-27T16:47:29.713549+00:00	success
SUBON07		00:19:42	0.222G	0.0351	0	66499953	62	nc30611	2026-07-27T16:49:04.783177+00:00	failed
SUBON03		00:19:42	0.206G	0.0080	59	66499950	59	nc30611	2026-07-27T16:49:04.783154+00:00	success
SUBON04		00:19:42	0.201G	0.0080	62	66499951	60	nc30611	2026-07-27T16:49:04.783157+00:00	success
SUBON06		00:19:42	0.230G	0.0407	0	66499952	61	nc30611	2026-07-27T16:49:04.783092+00:00	failed
SUBG07		00:08:04	0.195G	0.0104	118	66500760	72	nc11001	2026-07-27T16:49:40.104514+00:00	success
SUBTON01		00:18:57	0.206G	0.0107	117	66500186	64	nc10324	2026-07-27T16:51:52.267452+00:00	success
SUBON08		00:18:57	0.206G	0.0383	0	66500185	63	nc10324	2026-07-27T16:51:52.267464+00:00	failed
SUBON02		00:23:18	0.196G	0.0081	59	66499937	58	nc10303	2026-07-27T16:52:35.720913+00:00	success
SUBG17		00:11:46	0.197G	0.0092	63	66501011	82	nc30545	2026-07-27T17:01:02.646894+00:00	success
SUBG03		00:25:08	0.203G	0.0130	119	66500439	68	nc11009	2026-07-27T17:02:09.996552+00:00	success
SUBG06		00:20:45	0.193G	0.0083	59	66500741	71	nc31033	2026-07-27T17:02:10.032473+00:00	success
SUBG02		00:25:09	0.211G	0.0206	0	66500438	67	nc11009	2026-07-27T17:02:10.584578+00:00	failed
SUBC057		00:36:32	0.214G	0.0819	0	66499727	56	nc31008	2026-07-27T17:02:12.178792+00:00	failed
SUBG18		00:20:51	0.201G	0.0080	64	66501012	83	nc10209	2026-07-27T17:10:06.830305+00:00	success
SUBG19		00:20:49	0.196G	0.0077	59	66496517	84	nc10209	2026-07-27T17:10:06.970233+00:00	success
SUBG14		00:23:14	0.200G	0.0079	59	66500959	79	nc30528	2026-07-27T17:10:07.014143+00:00	success
SUBON07		00:20:39	0.222G	0.0317	51	66501054	1	nc30528	2026-07-27T17:10:07.026486+00:00	success
SUBON08		00:17:05	0.203G	0.0360	30	66501175	1	nc30528	2026-07-27T17:10:07.047871+00:00	success
SUBC048		00:14:58	0.218G	0.0244	0	66501294	1	nc30528	2026-07-27T17:10:07.407496+00:00	failed
SUBG15		00:22:47	0.212G	0.0077	59	66500962	80	nc10208	2026-07-27T17:10:21.449560+00:00	success
SUBG11		00:25:42	0.204G	0.0081	59	66500927	76	nc10208	2026-07-27T17:10:21.710754+00:00	success
SUBG12		00:25:43	0.203G	0.0084	59	66500928	77	nc10208	2026-07-27T17:10:22.105099+00:00	success
SUBG13		00:25:43	0.208G	0.0086	81	66500929	78	nc10208	2026-07-27T17:10:22.365722+00:00	success
SUBG10		00:25:56	0.202G	0.0076	59	66500926	75	nc30456	2026-07-27T17:10:30.852543+00:00	success
SUBG08		00:26:26	0.200G	0.0109	118	66500859	73	nc30456	2026-07-27T17:10:31.165892+00:00	success
SUBG16		00:26:31	0.209G	0.0425	110	66501010	81	nc11018	2026-07-27T17:15:41.177311+00:00	success
SUBG09		00:31:05	0.204G	0.0117	115	66500875	74	nc11018	2026-07-27T17:15:41.603842+00:00	success
SUBG02		00:13:10	0.277G	0.0142	0	66501726	1	nc11001	2026-07-27T17:17:00.690451+00:00	failed
SUBC055		00:37:26	0.212G	0.0333	109	66500954	1	nc31036	2026-07-27T17:23:26.705453+00:00	success
SUBON06		00:35:03	0.222G	0.0367	54	66501051	1	nc10226	2026-07-27T17:24:32.413047+00:00	success
SUBC057		00:24:26	0.206G	0.0715	52	66501725	1	nc31033	2026-07-27T17:28:15.668320+00:00	success
SUBC048		00:13:20	0.220G	0.0173	120	66503487	1	nc11014	2026-07-27T17:53:00.000034+00:00	success
SUBG02		00:39:17	0.208G	0.0094	118	66503488	1	nc31026	2026-07-27T18:19:09.480555+00:00	success
