subject	session	series_uid	file_source	n_files	resolution_time_seconds	validation_performed	conversion_time_seconds
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051115564579187247406.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051116410925221392750.0.0.0	bids_plan+inventory	150	4.1061	true	9.6947
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051116423156437395324.0.0.0	bids_plan+inventory	32	1.1183	true	3.4905
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051116423156437595325.0.0.0	bids_plan+inventory	32	1.3279	true	3.6113
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051116423156437695327.0.0.0	bids_plan+inventory	32	1.0557	true	2.5507
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051116423156437795328.0.0.0	bids_plan+inventory	32	1.3004	true	7.7640
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051116423156437895329.0.0.0	bids_plan+inventory	1	0.3823	true	0.6299
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051116492392792805422.0.0.0	bids_plan+inventory	96	2.6847	true	6.2831
sub-002	ses-01	1.3.12.2.1107.5.2.43.166092.2023051117070767211631412.0.0.0	bids_plan+inventory	150	4.1624	true	16.6684
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112014431886410000008.0.0.0	bids_plan+inventory	3	0.3789	true	1.5914
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112014471119934600348.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112014513284198681169.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112014564993285161990.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112015023139133842811.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112015033790650250296.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112015084785658831117.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112015132845203406242.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112015192545007682091.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112015241710281557216.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112015293224150832341.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.202311201541471221546642.0.0.0	bids_plan+inventory	3	0.4215	true	5.4467
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112015550590974548533.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112015571612964456019.0.0.0	metadata_prefilter	0	0.0000	false	0.0000
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112016252399098400807.0.0.0	bids_plan+inventory	150	4.3395	true	10.0200
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112016285387857306557.0.0.0	bids_plan+inventory	32	1.6800	true	3.1514
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112016285387857506558.0.0.0	bids_plan+inventory	32	1.6295	true	3.3764
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112016285387857706560.0.0.0	bids_plan+inventory	32	1.5879	true	3.3809
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112016285387857706561.0.0.0	bids_plan+inventory	32	1.3552	true	2.7247
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112016285387857806562.0.0.0	bids_plan+inventory	1	0.4044	true	0.6976
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112016374748642819829.0.0.0	bids_plan+inventory	96	3.7316	true	8.5657
sub-002	ses-02	1.3.12.2.1107.5.2.43.166092.2023112016485976515336225.0.0.0	bids_plan+inventory	150	4.4609	true	10.5110
