task_id	participant	session	slurm_state	elapsed	n_html	n_t1_json	n_bold_json	expected_t1w	expected_bold	status
106	sub-066	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
107	sub-067	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
108	sub-068	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
109	sub-069	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
110	sub-070	ses-01	UNKNOWN		0	0	0	2	10	MISSING_OUTPUT
111	sub-071	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
112	sub-072	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
113	sub-073	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
114	sub-074	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
115	sub-075	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
116	sub-076	ses-01	UNKNOWN		0	0	0	2	12	MISSING_OUTPUT
117	sub-077	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
118	sub-078	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
119	sub-079	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
120	sub-080	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
121	sub-081	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
122	sub-082	ses-01	UNKNOWN		0	0	0	3	13	MISSING_OUTPUT
123	sub-083	ses-01	UNKNOWN		0	0	0	3	13	MISSING_OUTPUT
124	sub-084	ses-01	UNKNOWN		0	0	0	3	12	MISSING_OUTPUT
