filepath	tag	value_present	example_value_redacted	risk_category
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/FMRI3_AP_0012/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0012.0039.2023.12.16.13.47.11.921404.6184462.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_Data/TFL_B1MAP_1MMISO_0065/SUBC02_SESSION02_20NOV2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0065.0014.2023.11.20.16.53.54.735629.70922660.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_NII/MOVIE1_AP_0023/SUBC03_SESSION01_2023MAY19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0023.0002.2023.05.19.15.04.32.124295.128278016.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/ION2-2024JUL30_24_07_30-08_28_04-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20240730_083009_167000/GSLD_76DIR_B2000_1MMISO_AP_0061/SUBC31-SESSION2-2024JUL30.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0061.0071.2024.07.30.10.42.57.689802.127896790.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/ION2-2024JUL30_24_07_30-08_28_04-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20240730_083009_167000/MOVIE1_AP_SBREF_0026/SUBC31-SESSION2-2024JUL30.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0026.0001.2024.07.30.10.42.57.689802.127590494.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/1-Check_FOV_and_EyeTracking/main.asv	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/3-Movie_Data/main.m	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_SESSION02_2024AUG27_SUBC035_SESSION02_2024AUG27/DR_SHMUEL_FINAL_PROTOCOL_20240827_173923_635000/T1W_MPR_0049/SUBC035_SESSION02_2024AUG27.MR.DR_SHMUEL_FINAL_PROTOCOL.0049.0129.2024.08.30.09.35.12.306753.150177020.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC037_Session02_2024AUG30/SUBC037_Session02_2024AUG30_matlab/2-Grating/CheckerMoveSine.m	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/ION2-2024JUL30_24_07_30-08_28_04-DST-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20240730_083009_167000/CONTROL3_PA_SBREF_0054/SUBC31-SESSION2-2024JUL30.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0054.0001.2024.07.30.10.42.57.689802.127881356.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_NII/WMN_MPRAGE_SAGITTAL_0075/SUBC03_SESSION01_2023MAY19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0075.0056.2023.05.19.15.08.30.410924.128690280.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_NII/MOVIE2_AP_0027/SUBC03_SESSION01_2023MAY19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0027.0145.2023.05.19.15.04.32.124295.128359319.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_Matlab/0-Islominance_Red_and_Green/main.m	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_Matlab/1-Check_FOV_and_EyeTracking/main.m	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_Matlab/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie1A.mp4	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_Matlab/1-Check_FOV_and_EyeTracking/Results/May-31-2023_ 1-43-53_PM  The Right Eye is _ eye =1 .mat	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_Matlab/2-Grating/CheckerFlickerSine.m	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_Matlab/2-Grating/Results/May-31-2023_ 2-20-56_PM__Subject_is_SUBC07__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_Matlab/3-Movie_Data/Movie1A.mp4	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_Matlab/3-Movie_Data/Results/May-31-2023_ 2-40-58_PM_Subject_is_C07_selected_run_id_1.mat	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_Matlab/4-resting state/main.m	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL1_PA_0012/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0012.0001.2023.05.31.16.21.27.173387.133513574.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL1_PA_0013/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0013.0001.2023.05.31.16.21.27.173387.133517451.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL1_PA_PHYSIOLOG_0010/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0010.0001.2023.05.31.16.21.27.173387.133513318.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL1_PA_SBREF_0011/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0011.0001.2023.05.31.16.21.27.173387.133513344.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL2_PA_0055/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0055.0001.2023.05.31.16.21.27.173387.133967234.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL2_PA_0056/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0056.0001.2023.05.31.16.21.27.173387.133971111.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL2_PA_PHYSIOLOG_0053/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0053.0001.2023.05.31.16.21.27.173387.133966978.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL2_PA_SBREF_0054/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0054.0001.2023.05.31.16.21.27.173387.133967004.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL3_AP_0059/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0059.0001.2023.05.31.16.21.27.173387.133972357.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC07-Session1-2023MAY31/SUBC07_Session01_2023MAY31_NII/CONTROL3_AP_0060/SUBC07_SESSION01_2023MAY.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0060.0001.2023.05.31.16.21.27.173387.133977258.IMA	PARSE_ERROR	False		parse_error
