file	format_detected	channels	n_samples	header_detected	timestamp_present	sampling_metadata_present
/lustre06/project/6001995/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1134915	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1135120	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	5935	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1043182	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1043387	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	7391	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1298813	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1299019	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	6619	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1256955	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1257160	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	4587	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1220500	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1220705	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	18107	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1379985	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1380191	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	22339	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1262775	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1262981	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	5203	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1657470	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1657675	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	4767	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1287367	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_session02_2023DEC02_Peripheral/SUBC09_SESSION02_2023DEC02.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1287572	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	3439	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	3061169	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session02_2024Jan10_physio/SUBC11_Session02_2024JAN10.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	3061375	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	6035	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1318500	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12_Session02_2024JAN09_physio/SUBC12_Session2_2024JAN09.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	1318705	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.ecg	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	7799	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.ext	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.ext2	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	NA	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.pmu	siemens_binary_pmu_vsn	NA	NA	true	false	false
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.puls	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	3329033	true	true	false
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/SJBC15_Session01_2023AUG07_Physiological Data/SUBC15_2023AUG07.resp	siemens_ascii_pmu	ECG;PULS;RESP;EXT;EXT2	3329239	true	true	false
