file_path	subject	session	extension	file_size	creation_time	modification_time
/lustre06/project/6001995/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.pmu	sub-030	ses-02	.pmu	2296	NA	2024-07-30T13:29:40+00:00
/lustre06/project/6001995/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.puls	sub-030	ses-02	.puls	5674584	NA	2024-07-30T13:29:38+00:00
/lustre06/project/6001995/raw_original/Control/SUBC031_Session2_2024JUL30/peripheral/SUBC31-Session2-2024JUL30.resp	sub-030	ses-02	.resp	5611511	NA	2024-07-30T13:29:38+00:00
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.ecg	sub-036	ses-02	.ecg	35099	NA	2024-08-30T13:28:26+00:00
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.ext	sub-036	ses-02	.ext	2107302	NA	2024-08-30T13:28:26+00:00
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.ext2	sub-036	ses-02	.ext2	2086439	NA	2024-08-30T13:28:26+00:00
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.pmu	sub-036	ses-02	.pmu	2296	NA	2024-08-30T13:28:28+00:00
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.puls	sub-036	ses-02	.puls	5204261	NA	2024-08-30T13:28:26+00:00
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.resp	sub-036	ses-02	.resp	5100624	NA	2024-08-30T13:28:26+00:00
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ecg	sub-003	ses-02	.ecg	43483	NA	2023-11-10T20:10:08+00:00
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ext	sub-003	ses-02	.ext	2618564	NA	2023-11-10T20:10:08+00:00
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ext2	sub-003	ses-02	.ext2	2597701	NA	2023-11-10T20:10:08+00:00
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.pmu	sub-003	ses-02	.pmu	2296	NA	2023-11-10T20:10:10+00:00
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.puls	sub-003	ses-02	.puls	6494737	NA	2023-11-10T20:10:08+00:00
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.resp	sub-003	ses-02	.resp	6484786	NA	2023-11-10T20:10:08+00:00
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ecg	sub-004	ses-02	.ecg	39046	NA	2023-11-19T17:29:56+00:00
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ext	sub-004	ses-02	.ext	2534859	NA	2023-11-19T17:29:58+00:00
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ext2	sub-004	ses-02	.ext2	2513986	NA	2023-11-19T17:29:58+00:00
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.pmu	sub-004	ses-02	.pmu	2296	NA	2026-07-14T17:25:37+00:00
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.puls	sub-004	ses-02	.puls	6259778	NA	2023-11-19T17:29:58+00:00
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.resp	sub-004	ses-02	.resp	6285964	NA	2023-11-19T17:29:56+00:00
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ecg	sub-005	ses-02	.ecg	27369	NA	2023-11-25T19:32:48+00:00
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ext	sub-005	ses-02	.ext	2461942	NA	2023-11-25T19:32:50+00:00
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ext2	sub-005	ses-02	.ext2	2441079	NA	2023-11-25T19:32:50+00:00
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.pmu	sub-005	ses-02	.pmu	2296	NA	2023-11-25T19:32:50+00:00
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.puls	sub-005	ses-02	.puls	5852639	NA	2023-11-25T19:32:48+00:00
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.resp	sub-005	ses-02	.resp	6088994	NA	2023-11-25T19:32:48+00:00
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.ecg	sub-006	ses-02	.ecg	105090	NA	2023-12-14T22:24:40+00:00
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.ext	sub-006	ses-02	.ext	2760034	NA	2023-12-14T22:24:42+00:00
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.ext2	sub-006	ses-02	.ext2	2760031	NA	2023-12-14T22:24:42+00:00
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.pmu	sub-006	ses-02	.pmu	2296	NA	2023-12-14T22:24:42+00:00
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.puls	sub-006	ses-02	.puls	6836634	NA	2023-12-14T22:24:40+00:00
/lustre06/project/6001995/raw_original/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Physio/SUBC06_Session02_2023DEC14.resp	sub-006	ses-02	.resp	6691883	NA	2023-12-14T22:24:40+00:00
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.ecg	sub-007	ses-02	.ecg	129437	NA	2023-11-24T19:56:00+00:00
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.ext	sub-007	ses-02	.ext	2546503	NA	2023-11-24T19:56:02+00:00
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.ext2	sub-007	ses-02	.ext2	2525630	NA	2023-11-24T19:56:02+00:00
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.pmu	sub-007	ses-02	.pmu	2296	NA	2023-11-24T19:56:02+00:00
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.puls	sub-007	ses-02	.puls	6285878	NA	2023-11-24T19:56:00+00:00
/lustre06/project/6001995/raw_original/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-Peripheral/SUB07-Session2-2023NOV24.resp	sub-007	ses-02	.resp	6273168	NA	2023-11-24T19:56:00+00:00
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.ecg	sub-008	ses-02	.ecg	30896	NA	2023-12-11T15:24:26+00:00
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.ext	sub-008	ses-02	.ext	3315006	NA	2023-12-11T15:24:28+00:00
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.ext2	sub-008	ses-02	.ext2	3315003	NA	2023-12-11T15:24:28+00:00
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-Peripheral/SUBC08-Session2-2023DEC11.pmu	sub-008	ses-02	.pmu	2296	NA	2023-12-11T15:24:28+00:00
