bids_run	bids_ProtocolName	bids_ImagingFrequency	bids_SeriesNumber_json	matched_SeriesUID	matched_SeriesNumber	matched_SeriesTime	matched_cohort	matched_dir	matched_mag_or_phase
01	fMRI3_AP	123.257831	15	1.3.12.2.1107.5.2.43.166092.2024072517281898465199521.0.0.0	15	17:29:27.268	2024JUL25_orphan	FMRI3_AP_0015	magnitude
02	fMRI3_AP	123.257877	15	1.3.12.2.1107.5.2.43.166092.2025021914332960434830674.0.0.0	15	14:34:29.422	2025FEB19	FMRI3_AP_0015	magnitude
05	fMRI4_AP	123.257835	19	1.3.12.2.1107.5.2.43.166092.2024072517321930375880342.0.0.0	19	17:33:41.413	2024JUL25_orphan	FMRI4_AP_0019	magnitude
06	fMRI4_AP	123.257881	19	1.3.12.2.1107.5.2.43.166092.202502191437069811611495.0.0.0	19	14:38:46.273	2025FEB19	FMRI4_AP_0019	magnitude
09	fMRI1_AP	123.257867	3						
11	fMRI2_AP	123.257825	7						
12	fMRI2_AP	123.257872	7						
