file	variable_name	shape	example_values	possible_role
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-55-37_PM__scan_info_for_subject_050__selected_run_is_1__fmri_number_is1.mat	scan.ifi	scalar	dtype=float64; min=0.016586094; max=0.016586094; examples=[0.01658609400037676]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-55-37_PM__scan_info_for_subject_050__selected_run_is_1__fmri_number_is1.mat	scan.runs.triggerTimes	226	dtype=float64; min=362929.487; max=363140.321; examples=[362929.4869317, 362930.4234796, 362931.3615767, 362932.2985644, 362933.2356947]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-55-37_PM__scan_info_for_subject_050__selected_run_is_1__fmri_number_is1.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=363140.325; examples=[362929.4951961, 0.0, 1.0, 362929.5020645, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-59-58_PM__scan_info_for_subject_050__selected_run_is_4__fmri_number_is2.mat	scan.ifi	scalar	dtype=float64; min=0.016586834; max=0.016586834; examples=[0.01658683400019072]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-59-58_PM__scan_info_for_subject_050__selected_run_is_4__fmri_number_is2.mat	scan.runs.triggerTimes	226	dtype=float64; min=363190.441; max=363401.274; examples=[363190.440941, 363191.3776442, 363192.3145089, 363193.2514288, 363194.1885191]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 2-59-58_PM__scan_info_for_subject_050__selected_run_is_4__fmri_number_is2.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=363401.275; examples=[363190.4488707, 0.0, 1.0, 363190.463011, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-05-13_PM__scan_info_for_subject_050__selected_run_is_2__fmri_number_is3.mat	scan.ifi	scalar	dtype=float64; min=0.016568726; max=0.016568726; examples=[0.016568726000841708]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-05-13_PM__scan_info_for_subject_050__selected_run_is_2__fmri_number_is3.mat	scan.runs.triggerTimes	226	dtype=float64; min=363504.927; max=363715.759; examples=[363504.9266811, 363505.8634885, 363506.800526, 363507.7379704, 363508.6744672]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-05-13_PM__scan_info_for_subject_050__selected_run_is_2__fmri_number_is3.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=363715.761; examples=[363504.9332422, 0.0, 1.0, 363504.9490788, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-09-24_PM__scan_info_for_subject_050__selected_run_is_5__fmri_number_is4.mat	scan.ifi	scalar	dtype=float64; min=0.016570974; max=0.016570974; examples=[0.01657097400049679]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-09-24_PM__scan_info_for_subject_050__selected_run_is_5__fmri_number_is4.mat	scan.runs.triggerTimes	226	dtype=float64; min=363756.455; max=363967.288; examples=[363756.4547835, 363757.3913859, 363758.3294664, 363759.2664056, 363760.2034632]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/May-05-2023_ 3-09-24_PM__scan_info_for_subject_050__selected_run_is_5__fmri_number_is4.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=363967.293; examples=[363756.4600161, 0.0, 1.0, 363756.4708803, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_1.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_2.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_3.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/fMRI_4.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	currentConditionStartTime	scalar	dtype=float64; min=201.482163; max=201.482163; examples=[201.48216277399217]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	fMRI_number	scalar	dtype=int64; min=4; max=4; examples=[4]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	fps	scalar	dtype=int64; min=60; max=60; examples=[60]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	ifi	scalar	dtype=float64; min=0.016570974; max=0.016570974; examples=[0.01657097400049679]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	keyTime	scalar	dtype=float64; min=363967.294; max=363967.294; examples=[363967.2936265]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	run	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	runParadigmFinal	26x2	dtype=uint8; min=0; max=226; examples=[0, 0, 10, 1, 18]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	run_number	scalar	dtype=int64; min=5; max=5; examples=[5]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	runs	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	runs_random	2	dtype=uint8; min=3; max=6; examples=[3, 6]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	scan.ifi	scalar	dtype=float64; min=0.016570974; max=0.016570974; examples=[0.01657097400049679]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	scan.runs.triggerTimes	226	dtype=float64; min=363756.455; max=363967.288; examples=[363756.4547835, 363757.3913859, 363758.3294664, 363759.2664056, 363760.2034632]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=363967.293; examples=[363756.4600161, 0.0, 1.0, 363756.4708803, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	screenProperties.ifi	scalar	dtype=float64; min=0.016570974; max=0.016570974; examples=[0.01657097400049679]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	start_ask	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	start_ask_yes_no	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	stimRunIndices	12x3	dtype=uint8; min=1; max=12; examples=[1, 12, 12, 2, 11]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	timeProperties.t	scalar	dtype=float64; min=210.833147; max=210.833147; examples=[210.8331468999968]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	timeProperties.framecount	scalar	dtype=int64; min=12724; max=12724; examples=[12724]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	trigger	scalar	dtype=int64; min=1; max=1; examples=[1]	keyword-matched metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random.mat	vbl	12718x3	dtype=float64; min=0; max=363967.293; examples=[363756.4600161, 0.0, 1.0, 363756.4708803, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/Results/runs_random_record_050.mat	runs_random_record	6	dtype=uint8; min=1; max=6; examples=[1, 4, 2, 5, 3]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat	scan.ifi	scalar	dtype=float64; min=0.016586586; max=0.016586586; examples=[0.01658658599946648]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat	scan.runs.triggerTimes	226	dtype=float64; min=339942.747; max=340153.58; examples=[339942.7474083, 339943.6839793, 339944.6210077, 339945.5579398, 339946.4949868]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-36-00_AM__scan_info_for_subject_subc01-session2__selected_run_is_1__fmri_number_is1.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=340153.582; examples=[339942.7560151, 0.0, 1.0, 339942.7733662, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat	scan.ifi	scalar	dtype=float64; min=0.016585654; max=0.016585654; examples=[0.01658565399935469]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat	scan.runs.triggerTimes	226	dtype=float64; min=340197.878; max=340408.711; examples=[340197.8783153, 340198.815028, 340199.7522942, 340200.6893154, 340201.6263023]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-40-15_AM__scan_info_for_subject_subc01-session2__selected_run_is_4__fmri_number_is2.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=340408.713; examples=[340197.884409, 0.0, 1.0, 340197.9011437, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-45-24_AM__scan_info_for_subject_subc01-session2__selected_run_is_2__fmri_number_is3.mat	scan.ifi	scalar	dtype=float64; min=0.016584178; max=0.016584178; examples=[0.016584178000921383]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-45-24_AM__scan_info_for_subject_subc01-session2__selected_run_is_2__fmri_number_is3.mat	scan.runs.triggerTimes	226	dtype=float64; min=340506.952; max=340717.786; examples=[340506.9523137, 340507.8889542, 340508.8259747, 340509.7629713, 340510.699926]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-45-24_AM__scan_info_for_subject_subc01-session2__selected_run_is_2__fmri_number_is3.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=340717.794; examples=[340506.9595058, 0.0, 1.0, 340506.9671891, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat	scan.ifi	scalar	dtype=float64; min=0.016589214; max=0.016589214; examples=[0.016589213999686762]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat	scan.runs.triggerTimes	226	dtype=float64; min=340756.493; max=340967.326; examples=[340756.4932604, 340757.4302523, 340758.3669456, 340759.3039619, 340760.2410129]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/November-08-2023_ 9-49-34_AM__scan_info_for_subject_subc01-session2__selected_run_is_5__fmri_number_is4.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=340967.337; examples=[340756.499802, 0.0, 1.0, 340756.5224114, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/fMRI_1.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/fMRI_2.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/fMRI_3.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/fMRI_4.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	currentConditionStartTime	scalar	dtype=float64; min=201.484617; max=201.484617; examples=[201.48461711397277]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	fMRI_number	scalar	dtype=int64; min=4; max=4; examples=[4]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	fps	scalar	dtype=int64; min=60; max=60; examples=[60]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	ifi	scalar	dtype=float64; min=0.016589214; max=0.016589214; examples=[0.016589213999686762]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	keyTime	scalar	dtype=float64; min=340967.337; max=340967.337; examples=[340967.3373833]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	run	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	runParadigmFinal	26x2	dtype=uint8; min=0; max=226; examples=[0, 0, 10, 1, 18]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	run_number	scalar	dtype=int64; min=5; max=5; examples=[5]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	runs	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	runs_random	2	dtype=uint8; min=3; max=6; examples=[3, 6]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	scan.ifi	scalar	dtype=float64; min=0.016589214; max=0.016589214; examples=[0.016589213999686762]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	scan.runs.triggerTimes	226	dtype=float64; min=340756.493; max=340967.326; examples=[340756.4932604, 340757.4302523, 340758.3669456, 340759.3039619, 340760.2410129]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=340967.337; examples=[340756.499802, 0.0, 1.0, 340756.5224114, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	screenProperties.ifi	scalar	dtype=float64; min=0.016589214; max=0.016589214; examples=[0.016589213999686762]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	start_ask	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	start_ask_yes_no	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	stimRunIndices	12x3	dtype=uint8; min=1; max=12; examples=[1, 12, 12, 2, 11]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	timeProperties.t	scalar	dtype=float64; min=210.836801; max=210.836801; examples=[210.83680099999765]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	timeProperties.framecount	scalar	dtype=int64; min=12710; max=12710; examples=[12710]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	trigger	scalar	dtype=int64; min=1; max=1; examples=[1]	keyword-matched metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random.mat	vbl	12718x3	dtype=float64; min=0; max=340967.337; examples=[340756.499802, 0.0, 1.0, 340756.5224114, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/Results/runs_random_record_subc01-session2.mat	runs_random_record	6	dtype=uint8; min=1; max=6; examples=[1, 4, 2, 5, 3]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-08-48_PM__scan_info_for_subject_C02__selected_run_is_1__fmri_number_is1.mat	scan.ifi	scalar	dtype=float64; min=0.016584248; max=0.016584248; examples=[0.016584247999999205]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-08-48_PM__scan_info_for_subject_C02__selected_run_is_1__fmri_number_is1.mat	scan.runs.triggerTimes	226	dtype=float64; min=55492.2365; max=55703.0698; examples=[55492.2364732, 55493.1738009, 55494.1108871, 55495.047661, 55495.9847887]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-08-48_PM__scan_info_for_subject_C02__selected_run_is_1__fmri_number_is1.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=55703.0736; examples=[55492.2442199, 0.0, 1.0, 55492.2613584, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-13-44_PM__scan_info_for_subject_C02__selected_run_is_4__fmri_number_is2.mat	scan.ifi	scalar	dtype=float64; min=0.016570792; max=0.016570792; examples=[0.016570791999984066]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-13-44_PM__scan_info_for_subject_C02__selected_run_is_4__fmri_number_is2.mat	scan.runs.triggerTimes	226	dtype=float64; min=55788.0172; max=55998.8508; examples=[55788.0172114, 55788.9538765, 55789.8908926, 55790.8277835, 55791.7648215]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-13-44_PM__scan_info_for_subject_C02__selected_run_is_4__fmri_number_is2.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=55998.8578; examples=[55788.0234986, 0.0, 1.0, 55788.0336947, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-19-11_PM__scan_info_for_subject_C02__selected_run_is_2__fmri_number_is3.mat	scan.ifi	scalar	dtype=float64; min=0.016579014; max=0.016579014; examples=[0.016579014000017198]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-19-11_PM__scan_info_for_subject_C02__selected_run_is_2__fmri_number_is3.mat	scan.runs.triggerTimes	226	dtype=float64; min=56115.2982; max=56326.132; examples=[56115.2982236, 56116.2349588, 56117.1720414, 56118.1088466, 56119.0468984]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/2-Grating/Results/May-11-2023_ 3-19-11_PM__scan_info_for_subject_C02__selected_run_is_2__fmri_number_is3.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=56326.1435; examples=[56115.3018545, 0.0, 1.0, 56115.3144699, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
