file	variable_name	shape	example_values	possible_role
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	runs	scalar	dtype=int64; min=1; max=1; examples=[1]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	runs_random	2	dtype=uint8; min=3; max=6; examples=[3, 6]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	scan.ifi	scalar	dtype=float64; min=0.016595722; max=0.016595722; examples=[0.01659572200034745]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	scan.runs.triggerTimes	226	dtype=float64; min=248137.643; max=248348.475; examples=[248137.642664, 248138.5793798, 248139.516246, 248140.4533397, 248141.3903448]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=248348.485; examples=[248137.6491016, 0.0, 1.0, 248137.6746919, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	screenProperties.ifi	scalar	dtype=float64; min=0.016595722; max=0.016595722; examples=[0.01659572200034745]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	start_ask	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	start_ask_yes_no	scalar	dtype=<U1; example=1	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	stimRunIndices	12x3	dtype=uint8; min=1; max=12; examples=[1, 12, 12, 2, 11]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	timeProperties.t	scalar	dtype=float64; min=210.835872; max=210.835872; examples=[210.83587169999373]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	timeProperties.framecount	scalar	dtype=int64; min=12705; max=12705; examples=[12705]	clock/timing candidate; clock domain requires validation
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	trigger	scalar	dtype=int64; min=1; max=1; examples=[1]	keyword-matched metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random.mat	vbl	12717x3	dtype=float64; min=0; max=248348.485; examples=[248137.6491016, 0.0, 1.0, 248137.6746919, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/2-Grating/Results/runs_random_record_SUB031.mat	runs_random_record	6	dtype=uint8; min=1; max=6; examples=[1, 4, 2, 5, 3]	run identifier or run-level metadata
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-36-59_AM__scan_info_for_subject_SUB031__selected_run_is_1__fmri_number_is1.mat	scan.ifi	scalar	dtype=float64; min=0.016571956; max=0.016571956; examples=[0.01657195599982515]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-36-59_AM__scan_info_for_subject_SUB031__selected_run_is_1__fmri_number_is1.mat	scan.runs.triggerTimes	226	dtype=float64; min=247323.294; max=247534.127; examples=[247323.2941862, 247324.2307398, 247325.1679045, 247326.1046157, 247327.0417145]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-36-59_AM__scan_info_for_subject_SUB031__selected_run_is_1__fmri_number_is1.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=247534.135; examples=[247323.3031981, 0.0, 1.0, 247323.311468, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-41-05_AM__scan_info_for_subject_SUB031__selected_run_is_4__fmri_number_is2.mat	scan.ifi	scalar	dtype=float64; min=0.016569142; max=0.016569142; examples=[0.0165691419999348]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-41-05_AM__scan_info_for_subject_SUB031__selected_run_is_4__fmri_number_is2.mat	scan.runs.triggerTimes	226	dtype=float64; min=247569.107; max=247779.939; examples=[247569.1066875, 247570.0436367, 247570.9805469, 247571.9173634, 247572.8543538]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-41-05_AM__scan_info_for_subject_SUB031__selected_run_is_4__fmri_number_is2.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=247779.947; examples=[247569.1129864, 0.0, 1.0, 247569.1208005, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-46-30_AM__scan_info_for_subject_SUB031__selected_run_is_2__fmri_number_is3.mat	scan.ifi	scalar	dtype=float64; min=0.016594734; max=0.016594734; examples=[0.01659473399980925]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-46-30_AM__scan_info_for_subject_SUB031__selected_run_is_2__fmri_number_is3.mat	scan.runs.triggerTimes	226	dtype=float64; min=247894.164; max=248104.997; examples=[247894.1641359, 247895.1008706, 247896.0378317, 247896.9749022, 247897.9117998]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-46-30_AM__scan_info_for_subject_SUB031__selected_run_is_2__fmri_number_is3.mat	scan.runs.vbl	12718x3	dtype=float64; min=0; max=248105.011; examples=[247894.1713532, 0.0, 1.0, 247894.1834601, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-50-34_AM__scan_info_for_subject_SUB031__selected_run_is_5__fmri_number_is4.mat	scan.ifi	scalar	dtype=float64; min=0.016595722; max=0.016595722; examples=[0.01659572200034745]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-50-34_AM__scan_info_for_subject_SUB031__selected_run_is_5__fmri_number_is4.mat	scan.runs.triggerTimes	226	dtype=float64; min=248137.643; max=248348.475; examples=[248137.642664, 248138.5793798, 248139.516246, 248140.4533397, 248141.3903448]	scanner/task trigger timing candidate
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/July-30-2024_ 9-50-34_AM__scan_info_for_subject_SUB031__selected_run_is_5__fmri_number_is4.mat	scan.runs.vbl	12717x3	dtype=float64; min=0; max=248348.485; examples=[248137.6491016, 0.0, 1.0, 248137.6746919, 0.0]	display/Psychtoolbox timing; not physiology sampling frequency
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/fMRI_1.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/fMRI_2.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/fMRI_3.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/fMRI_4.mat	<no matching variables>			candidate timing file without requested variable names
/lustre07/scratch/alexrees/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/2-Grating/Results/runs_random.mat	currentConditionStartTime	scalar	dtype=float64; min=201.484977; max=201.484977; examples=[201.48497652201215]	clock/timing candidate; clock domain requires validation
