subject_id	session	run	bids_name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56
sub-001	ses-01	1	sub-001_ses-01_run-01_T1w	4.158114954	2.561932692	-0.01184732742	-0.259516695	-2.548984826	2.483879296	-2.503785301	-1.536303615	0.8500923441	-0.5872383255	-1.096656995	-0.1383817428	-0.240908386	-0.08026911575	-0.00135029122	-0.5529861499	-0.9448115483	-0.6495773011	0.009352324952	-0.004254744306	-0.3783247741	0.2958393412	-0.2048161116	0.3760883689	0.1346562864	-0.1122545256	0.04312664351	0.2039854728	0.1148666123	0.1322268945	0.002106573086	-0.138817214	0.1179311592	-0.02949842162	0.07512635613	-0.1319121663	0.005683031446	-0.05607517303	-0.02875033364	-0.03101128604	0.0519520127	-0.03666990246	-0.02044938695	0.03269919834	0.009183247187	0.02269447174	-0.00545089144	-0.01177228733	0.00251201078	0.001717574924	0.001771015698	1.130656625e-14	-1.823354632e-15	2.303873923e-15	2.355450011e-15	-7.091716667e-16
sub-001	ses-01	2	sub-001_ses-01_run-02_T1w	-4.334429696	4.462531153	-0.04485710542	-1.710724877	-1.030411862	2.184664719	0.6102513872	-1.311133459	0.515948244	0.4906605464	-1.78421785	0.9381727305	0.1979611268	-0.1579589934	-0.755275083	0.04473191525	0.07879697608	-0.1176896992	0.00929488754	-0.15811175	-0.3243556548	0.1987497743	-0.7394117946	-0.09978732221	0.6819618639	-0.03230542819	0.1899168364	0.2774044511	0.01630622461	-0.09386370605	-0.1532495972	0.05190645215	-0.108258616	0.125566594	0.1926322433	-0.006876256322	0.1844090087	-0.1055439934	-0.1315028391	-0.0624224568	-0.001094190634	-0.03777582796	-0.002606864528	0.03685597312	-0.03590519123	0.01466457717	0.04360937184	0.02348632638	-0.0009102811346	0.002292454353	-0.00074750139	1.285537897e-14	4.340356435e-15	5.310215784e-16	-1.381717133e-16	4.449188187e-17
sub-001	ses-02	1	sub-001_ses-02_run-01_T1w	7.037008596	2.086543185	1.841776205	-3.175703805	-0.8710328347	1.066957881	-0.1206249698	-2.153819045	-0.09124709713	-1.557379331	0.7470072831	0.1545497353	0.4345065753	-0.4063200159	0.8067910471	-0.1475009323	-0.07883364857	0.03651094375	0.2139053793	-0.008894469489	0.3203771452	0.3503986905	-0.245092177	0.004330835725	-0.08786740244	-0.04721173771	-0.1869131754	0.1668113399	0.2704380461	0.2786603573	0.1387761718	-0.2977460108	-0.03004637197	0.1015631977	-0.01304226423	-0.09023801251	-0.0308718947	0.002732875601	0.04097114421	-0.1117506983	0.01447257135	-0.003154767082	-0.06544457929	-0.001210219125	0.02242973769	0.007335683777	-0.01200394096	-0.004448103741	0.01090833116	0.001603920457	0.0008792891764	1.445198124e-14	5.289929024e-15	-9.141622052e-16	3.702604395e-16	-1.350175919e-15
sub-001	ses-02	2	sub-001_ses-02_run-02_T1w	-3.697318561	3.581750607	0.05034721472	-0.4652598669	-1.475265937	1.823116163	-0.08038173641	-1.414032497	-0.3500450586	-0.01316654904	-0.2922617264	-0.1042642811	-0.1673889612	-0.1337928947	-0.3334103878	-0.04677737003	1.004102232	-0.267194304	0.01514665812	-0.1675266461	0.08108172115	0.5476963036	-0.4902520868	-0.2005876259	0.457768329	0.016782312	0.1225534335	0.2293163935	-0.001961058112	0.09606345849	-0.1311286331	0.135307592	-0.1151139521	0.1080928222	0.1115071222	-0.03280093912	0.02139017168	0.02806497915	-0.002467296249	-0.002679954481	-0.05695528089	0.01872468767	-0.02077333318	-0.003809891374	-0.01790500395	-0.01509012337	0.01880076377	-0.001405062132	-0.0004218123587	0.0009591910605	8.890992917e-06	1.073546914e-14	-4.652290584e-15	-4.745757157e-16	9.514811573e-16	-8.554335463e-18
sub-002	ses-01	1	sub-002_ses-01_run-01_T1w	-0.3199146239	-4.051062961	0.1193866189	-2.836838484	-2.566975092	1.294367877	-1.073981155	2.808148264	0.4133027183	0.4252204023	0.3883942652	-0.02641662167	-1.250401033	0.57065398	-0.02077128067	0.2335617187	-0.6363120678	-0.5655651973	-0.3578375566	0.1409681119	0.3977587187	0.4486481928	0.1225081296	0.2098955517	-0.2554444787	-0.03485942356	0.5721826875	-0.08409875132	-0.04050106108	-0.1506401561	0.09398654983	0.003176073879	0.06808031099	0.107500061	-0.07482175638	0.03328967115	0.06329270904	-0.02778649347	-0.01344683748	0.08004128905	-0.01302341581	0.002162242673	-0.01072089639	-0.005720997018	-0.02462663399	-0.009101717712	-0.02553775536	1.545361273e-06	0.008243966025	-0.0001653515639	-0.0002947846011	1.140647134e-14	-2.226492646e-16	8.543147766e-16	7.041011418e-16	-3.107542956e-16
sub-002	ses-01	2	sub-002_ses-01_run-02_T1w	-5.629456411	-2.625519287	0.3643661099	-2.069233745	-2.286143132	0.6765609766	-0.7721088249	2.269212444	-0.1766135504	-1.004133685	0.1850469746	2.397273508	-0.4387738069	0.7120502665	-0.1778479181	0.6696352663	0.3426103191	-0.03042111551	0.0508225168	0.2662830354	0.1404366102	0.38510463	0.2682866618	-0.08343514159	-0.3679743235	0.1010450734	0.09293268675	-0.001250044761	-0.08665920212	-0.1170342983	0.01115126151	-0.08632504934	-0.08820954827	0.06382332781	-0.02148125023	0.04601879228	0.02519953	0.005962757651	0.04752948341	-0.01575204772	0.03107929605	-0.05575214923	-0.008661541935	0.01441010767	-0.01466895068	-0.02419867062	-0.002398837046	0.005264746701	0.006516319228	-0.0003293948042	0.0003580989033	1.377860861e-14	-3.511391302e-15	-3.577902967e-16	-1.317530533e-15	-2.445846657e-16
sub-002	ses-02	1	sub-002_ses-02_run-01_T1w	0.3491382591	-4.902725015	0.5779813039	-3.49013612	-1.728476175	1.209629457	-1.396721932	2.449072057	-0.2146145501	0.3667473929	0.3798820294	-0.7248212192	-0.9297276684	0.07540153503	0.5314281336	0.1373300983	0.3547393778	0.05137251118	-0.4228534482	-0.0072868848	0.3085874653	-0.06384432223	0.3145921262	0.2298058821	-0.1283483305	-0.08206267111	0.2660327367	0.05706108127	-0.0629142914	-0.06763399838	0.1546432912	-0.1146602521	-0.01185695975	0.01343308144	0.005125504741	0.06088002645	0.08617806841	-0.070396656	0.001947689751	0.01270687174	0.01083544614	0.01400142569	-0.02254614435	-0.02584790788	-0.004087046184	-0.006507331465	-0.01651009258	0.01292067626	-0.002569688461	0.00082722295	-0.0004117560471	1.061285965e-14	-7.020620452e-16	2.920114191e-16	5.595591461e-16	9.574329671e-16
sub-002	ses-02	2	sub-002_ses-02_run-02_T1w	-5.856115537	-3.367847738	1.619366877	-1.38561382	-0.9367242026	0.5354675149	-1.882403526	2.078746626	-1.577835613	-0.6624473151	0.01736831223	1.303947075	0.4215966665	0.8344359184	0.3762856631	-0.6168692611	1.139611844	0.3790807538	0.03596656096	0.09746726452	0.2015713334	-0.5399200348	0.3456273789	0.3357078965	-0.1423404488	0.1182647043	0.08414056905	-0.03638882911	-0.1455476834	-0.06330522701	-0.1043095883	-0.02951020801	-0.0490428138	0.03725651331	0.01784657459	0.0549086492	0.02952231953	0.002909324467	0.08397909864	-0.06706843168	0.06007086258	-0.02719800599	0.006703292103	0.01850453223	5.093872354e-05	0.0001120996349	0.005516861892	-0.001474160863	0.004306844943	-0.0005775625162	1.196736398e-05	1.115875286e-14	-4.758242499e-15	7.088990851e-17	-6.088616711e-16	1.878481699e-16
sub-003	ses-01	1	sub-003_ses-01_run-01_T1w	3.334996607	-1.601563108	-0.9952391474	0.8008395233	-2.684756361	-0.9364125749	0.02510091242	-0.3878964642	0.5682667367	0.1962857616	-0.5416065038	0.1396515581	-0.397096387	-0.3126085036	-0.7971802106	-0.09680411539	-0.641635293	-1.029609456	-0.4795606876	0.1311686108	0.3630886007	0.1413625266	0.3945036109	-0.4566005169	0.1993260926	-0.2496193723	-0.2316684965	0.1792413306	-0.1407540645	-0.05681685315	-0.008763262791	0.1160253194	-0.04464337597	0.0149258336	-0.07577250591	0.00809472005	-0.04835143434	0.05026076674	0.03779309368	0.0627510941	0.008732582134	0.0004200691875	0.0316154716	0.0175939711	-0.03449108059	0.009850542851	-0.003612582011	-4.043732736e-05	0.005779804878	-0.0007545409422	0.001000271646	5.780263408e-15	-8.628982914e-15	1.763907119e-16	1.089532765e-16	-6.622110843e-16
sub-003	ses-01	2	sub-003_ses-01_run-02_T1w	-5.418061041	-0.1337513534	-1.525936332	1.346240461	-2.348455849	-0.8614543089	1.083972333	-0.7670362825	0.8435495088	-0.04556032231	-0.1545063465	1.812808585	-0.1992678174	-0.08696430876	0.1333605967	0.5844616828	-0.5529883276	-0.2992686833	-0.346809457	-0.09624545947	0.3951517009	0.2468921362	0.1018129755	-0.1801498117	0.1057149794	-0.206438966	-0.111604826	-0.2850234898	0.111486754	0.008522695676	-0.04712314602	0.0594436414	-0.03786525716	0.02090333519	0.0146112125	0.09214417947	-0.01616440938	-0.1074993948	0.04974926199	0.02053396543	-0.005833683203	0.08257307503	-0.03289080031	0.06575062455	-0.01394180131	-0.005210683407	0.003337133647	-0.001731132475	-0.009994059082	0.002424786584	-2.15013389e-05	1.094835635e-14	4.385476019e-15	-5.929137369e-16	1.082232058e-16	5.57149637e-18
