pc	rank_abs_loading	iqm	iqm_family	family_group	loading	abs_loading	loading_squared	contribution	sign	in_top10	explained_variance_ratio	cumulative_ratio	sum_loading_squared
PC1	43	fwhm_z	smoothness	smoothness / sharpness	0.06585839739	0.06585839739	0.004337328507	0.004337328507	+	False	0.4110993108	0.4110993108	1
PC1	44	summary_csf_k	intensity_summary	intensity	0.06582176081	0.06582176081	0.004332504196	0.004332504196	+	False	0.4110993108	0.4110993108	1
PC1	45	snrd_csf	snr_dietrich	signal / SNR	-0.06551531227	0.06551531227	0.004292256142	0.004292256142	-	False	0.4110993108	0.4110993108	1
PC1	46	summary_bg_mad	intensity_summary	intensity	0.06141266237	0.06141266237	0.003771515099	0.0037715151	+	False	0.4110993108	0.4110993108	1
PC1	47	summary_bg_median	intensity_summary	intensity	0.06141266237	0.06141266237	0.003771515099	0.0037715151	+	False	0.4110993108	0.4110993108	1
PC1	48	rpve_csf	partial_volume	morphology / tissue	-0.05930516021	0.05930516021	0.003517102028	0.003517102028	-	False	0.4110993108	0.4110993108	1
PC1	49	summary_bg_k	intensity_summary	intensity	-0.04703570381	0.04703570381	0.002212357433	0.002212357433	-	False	0.4110993108	0.4110993108	1
PC1	50	summary_csf_p05	intensity_summary	intensity	0.04681050633	0.04681050633	0.002191223503	0.002191223503	+	False	0.4110993108	0.4110993108	1
PC1	51	snr_csf	snr	signal / SNR	-0.0367108476	0.0367108476	0.001347686332	0.001347686332	-	False	0.4110993108	0.4110993108	1
PC1	52	qi_2	artifact	artifact	0.0361189323	0.0361189323	0.00130457727	0.001304577271	+	False	0.4110993108	0.4110993108	1
PC1	53	fwhm_avg	smoothness	smoothness / sharpness	0.03062375052	0.03062375052	0.0009378140959	0.0009378140959	+	False	0.4110993108	0.4110993108	1
PC1	54	fwhm_x	smoothness	smoothness / sharpness	0.01344745109	0.01344745109	0.0001808339408	0.0001808339408	+	False	0.4110993108	0.4110993108	1
PC1	55	tpm_overlap_gm	template_overlap	morphology / tissue	-0.01130799184	0.01130799184	0.0001278706795	0.0001278706795	-	False	0.4110993108	0.4110993108	1
PC1	56	fwhm_y	smoothness	smoothness / sharpness	0.002822569179	0.002822569179	7.96689677e-06	7.966896771e-06	+	False	0.4110993108	0.4110993108	1
PC2	1	snr_total	snr	signal / SNR	0.2363990714	0.2363990714	0.05588452096	0.05588452096	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	2	snr_wm	snr	signal / SNR	0.2301709722	0.2301709722	0.05297867644	0.05297867645	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	3	summary_wm_p05	intensity_summary	intensity	0.2246826964	0.2246826964	0.05048231406	0.05048231407	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	4	rpve_csf	partial_volume	morphology / tissue	-0.2200433477	0.2200433477	0.04841907487	0.04841907487	-	True	0.1142286296	0.5253279404	0.9999999999
PC2	5	summary_gm_p05	intensity_summary	intensity	0.2150792388	0.2150792388	0.04625907896	0.04625907897	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	6	rpve_gm	partial_volume	morphology / tissue	-0.2112075376	0.2112075376	0.04460862394	0.04460862394	-	True	0.1142286296	0.5253279404	0.9999999999
PC2	7	summary_csf_median	intensity_summary	intensity	0.2109016406	0.2109016406	0.04447950201	0.04447950201	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	8	rpve_wm	partial_volume	morphology / tissue	-0.2108584168	0.2108584168	0.04446127194	0.04446127194	-	True	0.1142286296	0.5253279404	0.9999999999
PC2	9	summary_wm_mad	intensity_summary	intensity	-0.1954733501	0.1954733501	0.0382098306	0.0382098306	-	True	0.1142286296	0.5253279404	0.9999999999
PC2	10	summary_wm_stdv	intensity_summary	intensity	-0.1918598531	0.1918598531	0.03681020323	0.03681020323	-	True	0.1142286296	0.5253279404	0.9999999999
PC2	11	summary_csf_mean	intensity_summary	intensity	0.1875906974	0.1875906974	0.03519026975	0.03519026975	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	12	snr_gm	snr	signal / SNR	0.1854364121	0.1854364121	0.03438666293	0.03438666294	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	13	snr_csf	snr	signal / SNR	0.1803271724	0.1803271724	0.03251788911	0.03251788911	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	14	icvs_gm	tissue_fraction	morphology / tissue	0.1706364456	0.1706364456	0.02911679657	0.02911679657	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	15	fwhm_y	smoothness	smoothness / sharpness	0.1692963065	0.1692963065	0.02866123939	0.0286612394	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	16	fwhm_avg	smoothness	smoothness / sharpness	0.1546995458	0.1546995458	0.02393194947	0.02393194947	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	17	fwhm_x	smoothness	smoothness / sharpness	0.1489854337	0.1489854337	0.02219665945	0.02219665946	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	18	summary_wm_median	intensity_summary	intensity	0.1485200482	0.1485200482	0.02205820472	0.02205820472	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	19	tpm_overlap_csf	template_overlap	morphology / tissue	0.1455424307	0.1455424307	0.02118259913	0.02118259914	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	20	qi_2	artifact	artifact	0.1415618101	0.1415618101	0.02003974608	0.02003974608	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	21	efc	entropy	entropy / information	0.1316543658	0.1316543658	0.01733287203	0.01733287204	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	22	summary_gm_stdv	intensity_summary	intensity	-0.1306116054	0.1306116054	0.01705939147	0.01705939147	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	23	snrd_gm	snr_dietrich	signal / SNR	-0.1290535574	0.1290535574	0.01665482068	0.01665482068	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	24	summary_wm_mean	intensity_summary	intensity	0.1283008391	0.1283008391	0.01646110531	0.01646110532	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	25	fwhm_z	smoothness	smoothness / sharpness	0.1270853899	0.1270853899	0.01615069633	0.01615069633	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	26	snrd_wm	snr_dietrich	signal / SNR	-0.125744579	0.125744579	0.01581169915	0.01581169915	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	27	summary_csf_p95	intensity_summary	intensity	0.1242381686	0.1242381686	0.01543512254	0.01543512254	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	28	snrd_total	snr_dietrich	signal / SNR	-0.1239090826	0.1239090826	0.01535346075	0.01535346075	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	29	icvs_csf	tissue_fraction	morphology / tissue	-0.1228374399	0.1228374399	0.01508903664	0.01508903664	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	30	summary_csf_p05	intensity_summary	intensity	0.1117398764	0.1117398764	0.01248579998	0.01248579998	+	False	0.1142286296	0.5253279404	0.9999999999
PC2	31	snrd_csf	snr_dietrich	signal / SNR	-0.1080771492	0.1080771492	0.01168067018	0.01168067018	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	32	summary_bg_mad	intensity_summary	intensity	-0.1062315685	0.1062315685	0.01128514615	0.01128514615	-	False	0.1142286296	0.5253279404	0.9999999999
PC2	33	summary_bg_median	intensity_summary	intensity	-0.1062315685	0.1062315685	0.01128514615	0.01128514615	-	False	0.1142286296	0.5253279404	0.9999999999
