iqm	previous_interaction_estimate	previous_interaction_p	previous_interaction_q	session_level_interaction_estimate	session_level_interaction_p	session_level_interaction_q	delta_estimate	delta_q	previous_significant_fdr	session_level_significant_fdr	previous_glaucoma_interaction	previous_glaucoma_ci_low	previous_glaucoma_ci_high	glaucoma_interaction	session_level_glaucoma_ci_low	session_level_glaucoma_ci_high	rank_previous	rank_session_level	interaction_coefficients_prev	interaction_coefficients_new
snr_wm	1.242292598	0.742879682	0.9930506376	2.377924046	0.4977572838	0.9611864791	1.135631448	-0.03186415854	False	False	0.236845	-0.643994	1.11768	0.1258929171	-0.2617366132	0.5135224473	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-1.01446 SE=1.09082 CI=[-3.15243,1.12352] p=0.3524 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.18453 SE=1.17357 CI=[-2.11562,2.48468] p=0.8751 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.236845 SE=0.449416 CI=[-0.643994,1.11768] p=0.5982"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.677381 SE=0.508169 CI=[-1.67337,0.318612] p=0.1825 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.123973 SE=0.519321 CI=[-1.14182,0.893878] p=0.8113 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.125893 SE=0.197774 CI=[-0.261737,0.513522] p=0.5244"
snrd_csf	0.9596788188	0.8110071533	0.9930506376	4.079219045	0.2530359869	0.9446676846	3.119540227	-0.048382953	False	False	2.32846	-6.22115	10.8781	8.125049166	-1.197949159	17.44804749	6	5	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-8.257 SE=10.6705 CI=[-29.1709,12.6569] p=0.439 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.92345 SE=11.3546 CI=[-23.1781,21.3312] p=0.9352 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=2.32846 SE=4.36213 CI=[-6.22115,10.8781] p=0.5935"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-10.6317 SE=11.4356 CI=[-33.0451,11.7816] p=0.3525 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.909177 SE=12.526 CI=[-23.6414,25.4598] p=0.9421 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=8.12505 SE=4.75672 CI=[-1.19795,17.448] p=0.08761"
snrd_gm	0.9361615729	0.8166935689	0.9930506376	4.13802738	0.2469402248	0.9446676846	3.201865807	-0.048382953	False	False	4.70491	-11.7396	21.1494	15.03460675	-2.379453279	32.44866678	6	5	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-15.0011 SE=20.4585 CI=[-55.099,25.0968] p=0.4634 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-2.47122 SE=21.8548 CI=[-45.3059,40.3635] p=0.91 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=4.70491 SE=8.39022 CI=[-11.7396,21.1494] p=0.575"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-20.9887 SE=21.4295 CI=[-62.9897,21.0123] p=0.3274 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.620301 SE=23.3955 CI=[-45.234,46.4746] p=0.9788 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=15.0346 SE=8.88489 CI=[-2.37945,32.4487] p=0.09062"
snrd_total	0.9066361565	0.8238260635	0.9930506376	4.141872374	0.2465463805	0.9446676846	3.235236217	-0.048382953	False	False	4.18517	-11.3983	19.7687	13.83057892	-2.289002993	29.95016084	6	5	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-14.3818 SE=19.3831 CI=[-52.372,23.6084] p=0.4581 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-2.24561 SE=20.7115 CI=[-42.8394,38.3482] p=0.9137 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=4.18517 SE=7.9509 CI=[-11.3983,19.7687] p=0.5986"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-19.8046 SE=19.8283 CI=[-58.6673,19.0581] p=0.3179 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.800002 SE=21.655 CI=[-41.643,43.243] p=0.9705 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=13.8306 SE=8.22443 CI=[-2.289,29.9502] p=0.09264"
snrd_wm	0.8604466825	0.8349608885	0.9930506376	4.159319219	0.2447664935	0.9446676846	3.298872537	-0.048382953	False	False	5.52384	-16.3027	27.3504	18.32190295	-3.350505581	39.99431148	6	5	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-19.8889 SE=27.1135 CI=[-73.0303,33.2526] p=0.4632 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.34686 SE=29.017 CI=[-60.2191,53.5254] p=0.9082 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=5.52384 SE=11.1362 CI=[-16.3027,27.3504] p=0.6199"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-27.868 SE=26.6948 CI=[-80.1889,24.4528] p=0.2965 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.877457 SE=29.1104 CI=[-56.178,57.9329] p=0.976 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=18.3219 SE=11.0576 CI=[-3.35051,39.9943] p=0.09753"
summary_bg_k	0.1981877149	0.977881331	0.9930506376	0.414682679	0.9371929721	0.9817095475	0.2164949641	-0.01134109008	False	False	74.5225	-582.713	731.758	191.1850027	-609.8484614	992.2184668	6	53	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=332.932 SE=843.807 CI=[-1320.9,1986.76] p=0.6932 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-36.0166 SE=866.021 CI=[-1733.39,1661.35] p=0.9668 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=74.5225 SE=335.33 CI=[-582.713,731.758] p=0.8241"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=477.213 SE=1002.42 CI=[-1487.5,2441.93] p=0.634 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=76.628 SE=1073.56 CI=[-2027.52,2180.77] p=0.9431 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=191.185 SE=408.698 CI=[-609.848,992.218] p=0.6399"
summary_bg_mad	0.8095165305	0.8471894769	0.9930506376	1.69132742	0.6388636269	0.9674290517	0.88181089	-0.02562158586	False	False	0.701926	-1.49093	2.89478	1.607519664	-1.820683783	5.035723112	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-1.52117 SE=2.70994 CI=[-6.83256,3.79021] p=0.5746 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.560288 SE=2.88101 CI=[-5.08638,6.20696] p=0.8458 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.701926 SE=1.11882 CI=[-1.49093,2.89478] p=0.5304"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.47615 SE=4.34865 CI=[-11.9993,5.04705] p=0.4241 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.15748 SE=4.54056 CI=[-7.74186,10.0568] p=0.7988 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.60752 SE=1.74912 CI=[-1.82068,5.03572] p=0.3581"
summary_bg_mean	0.3031434311	0.9594362057	0.9930506376	0.5731905558	0.9025414043	0.9719676662	0.2700471247	-0.02108297143	False	False	0.755478	-4.33311	5.84407	1.501355745	-2.932955535	5.935667025	6	52	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.35599 SE=6.30257 CI=[-10.9968,13.7088] p=0.8297 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=3.04812 SE=6.76598 CI=[-10.213,16.3092] p=0.6523 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.755478 SE=2.59627 CI=[-4.33311,5.84407] p=0.7711"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.38873 SE=5.795 CI=[-10.9693,11.7467] p=0.9465 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=2.41818 SE=5.92218 CI=[-9.18908,14.0254] p=0.683 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.50136 SE=2.26245 CI=[-2.93296,5.93567] p=0.5069"
summary_bg_median	0.8095165305	0.8471894769	0.9930506376	1.69132742	0.6388636269	0.9674290517	0.88181089	-0.02562158586	False	False	0.473443	-1.00562	1.9525	1.084257159	-1.228034388	3.396548706	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-1.02602 SE=1.82783 CI=[-4.6085,2.55646] p=0.5746 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.377909 SE=1.94321 CI=[-3.43072,4.18653] p=0.8458 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.473443 SE=0.754637 CI=[-1.00562,1.9525] p=0.5304"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-2.34463 SE=2.93312 CI=[-8.09345,3.40419] p=0.4241 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.780708 SE=3.06257 CI=[-5.22181,6.78323] p=0.7988 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.08426 SE=1.17976 CI=[-1.22803,3.39655] p=0.3581"
summary_bg_p95	0.5322665956	0.9117475012	0.9930506376	1.90036406	0.5933417569	0.9674290517	1.368097465	-0.02562158586	False	False	-1.63315	-14.3889	11.1226	-6.08846462	-16.80523301	4.628303771	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=7.7689 SE=15.2891 CI=[-22.1971,37.7349] p=0.6114 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=7.17653 SE=16.8622 CI=[-25.8727,40.2258] p=0.6704 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-1.63315 SE=6.50815 CI=[-14.3889,11.1226] p=0.8019"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=4.20906 SE=13.8606 CI=[-22.9571,31.3753] p=0.7614 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=9.14973 SE=14.226 CI=[-18.7327,37.0322] p=0.5201 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-6.08846 SE=5.46784 CI=[-16.8052,4.6283] p=0.2655"
summary_bg_stdv	2.066466986	0.5587264516	0.9930506376	4.988364882	0.1726511101	0.9446676846	2.921897896	-0.048382953	False	False	14.9632	-6.01046	35.9368	25.81431792	2.974465641	48.65417019	6	5	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.07866 SE=26.6928 CI=[-55.3956,49.2383] p=0.9082 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=9.54465 SE=27.7579 CI=[-44.8598,63.9491] p=0.731 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=14.9632 SE=10.701 CI=[-6.01046,35.9368] p=0.162"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.721 SE=29.7895 CI=[-62.1074,54.6654] p=0.9006 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=6.43987 SE=30.5133 CI=[-53.3651,66.2449] p=0.8328 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=25.8143 SE=11.6532 CI=[2.97447,48.6542] p=0.02675"
summary_csf_k	1.389859544	0.7079134229	0.9930506376	0.09073897475	0.9929251364	0.9929251364	-1.299120569	-0.000125501151	False	False	-0.0555575	-0.345918	0.234803	0.02215348064	-0.1522463157	0.196553277	6	56	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.412248 SE=0.361225 CI=[-1.12024,0.29574] p=0.2538 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0284169 SE=0.385443 CI=[-0.727037,0.783871] p=0.9412 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0555575 SE=0.148146 CI=[-0.345918,0.234803] p=0.7076"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0331095 SE=0.231741 CI=[-0.487313,0.421094] p=0.8864 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0159275 SE=0.232248 CI=[-0.43927,0.471125] p=0.9453 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0221535 SE=0.0889811 CI=[-0.152246,0.196553] p=0.8034"
summary_csf_mad	0.1958552407	0.9782556141	0.9930506376	0.3665018134	0.947072092	0.9817095475	0.1706465727	-0.01134109008	False	False	0.795951	-7.65076	9.24266	0.233995807	-7.199830143	7.667821757	6	53	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.71902 SE=10.6717 CI=[-21.6351,20.197] p=0.9463 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-4.26187 SE=11.1416 CI=[-26.0991,17.5754] p=0.7021 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.795951 SE=4.30963 CI=[-7.65076,9.24266] p=0.8535"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-1.59876 SE=9.61449 CI=[-20.4428,17.2453] p=0.8679 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-5.67632 SE=9.85929 CI=[-25.0002,13.6475] p=0.5648 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.233996 SE=3.79284 CI=[-7.19983,7.66782] p=0.9508"
summary_csf_mean	0.9963885245	0.8021258273	0.9930506376	1.655524529	0.6468665453	0.9674290517	0.6591360045	-0.02562158586	False	False	-6.14971	-29.6859	17.3865	-6.808494436	-20.74944789	7.132459018	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-16.5787 SE=29.7315 CI=[-74.8514,41.694] p=0.5771 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=19.7084 SE=31.2361 CI=[-41.5131,80.93] p=0.5281 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-6.14971 SE=12.0085 CI=[-29.6859,17.3865] p=0.6086"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-9.72925 SE=18.3543 CI=[-45.7031,26.2446] p=0.5961 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=12.0181 SE=18.6101 CI=[-24.457,48.4933] p=0.5184 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-6.80849 SE=7.11286 CI=[-20.7494,7.13246] p=0.3385"
summary_csf_median	1.215756666	0.7492277461	0.9930506376	2.138296813	0.5442039939	0.9674290517	0.9225401473	-0.02562158586	False	False	-6.13733	-28.2089	15.9342	-7.084258744	-21.35168335	7.18316586	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-19.5863 SE=28.2818 CI=[-75.0177,35.845] p=0.4886 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=18.8413 SE=29.1696 CI=[-38.3301,76.0127] p=0.5183 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-6.13733 SE=11.2612 CI=[-28.2089,15.9342] p=0.5858"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-15.8934 SE=18.8318 CI=[-52.8031,21.0162] p=0.3987 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=12.9258 SE=19.0395 CI=[-24.3909,50.2425] p=0.4972 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-7.08426 SE=7.27943 CI=[-21.3517,7.18317] p=0.3305"
summary_csf_p05	16.79701223	0.0007780283194	0.02178479294	7.312913139	0.06256547598	0.8759166637	-9.484099091	0.8541318708	True	False	-0.604544	-5.41581	4.20672	-3.227753479	-10.73646494	4.280957982	2	4	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-18.2846 SE=6.27867 CI=[-30.5905,-5.97861] p=0.003589 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=17.6282 SE=6.29722 CI=[5.28584,29.9705] p=0.00512 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.604544 SE=2.45477 CI=[-5.41581,4.20672] p=0.8055"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-18.7296 SE=9.93711 CI=[-38.206,0.746722] p=0.05945 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=17.0208 SE=10.0014 CI=[-2.58166,36.6233] p=0.08879 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.22775 SE=3.83105 CI=[-10.7365,4.28096] p=0.3995"
summary_csf_p95	0.580495305	0.9008826464	0.9930506376	0.933881566	0.8172446553	0.9674290517	0.353386261	-0.02562158586	False	False	-5.53672	-49.9248	38.8514	-11.63739047	-37.81751992	14.54273899	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-9.0455 SE=53.0657 CI=[-113.052,94.9613] p=0.8646 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=40.5435 SE=59.5186 CI=[-76.1109,157.198] p=0.4958 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-5.53672 SE=22.6474 CI=[-49.9248,38.8514] p=0.8069"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.90005 SE=34.17 CI=[-65.072,68.8721] p=0.9557 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=11.9397 SE=34.9783 CI=[-56.6166,80.496] p=0.7328 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-11.6374 SE=13.3575 CI=[-37.8175,14.5427] p=0.3836"
summary_csf_stdv	0.1722270411	0.9819431356	0.9930506376	0.6665097852	0.8810514578	0.9674290517	0.4942827441	-0.02562158586	False	False	-0.313173	-14.8506	14.2243	-3.192427585	-11.86011578	5.475260605	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.441802 SE=17.5871 CI=[-34.9119,34.0283] p=0.98 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=7.90925 SE=19.4268 CI=[-30.1666,45.9851] p=0.6839 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.313173 SE=7.41721 CI=[-14.8506,14.2243] p=0.9663"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=3.71308 SE=11.2906 CI=[-18.4162,25.8423] p=0.7423 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.881855 SE=11.557 CI=[-23.5332,21.7695] p=0.9392 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.19243 SE=4.42237 CI=[-11.8601,5.47526] p=0.4704"
summary_gm_k	1.229319447	0.7459812254	0.9930506376	5.762902173	0.123732928	0.9446676846	4.533582726	-0.048382953	False	False	-0.150544	-1.87162	1.57053	0.1949490287	-1.337508912	1.727406969	6	5	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=2.10323 SE=2.02582 CI=[-1.8673,6.07376] p=0.2992 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.62589 SE=2.31993 CI=[-5.17287,3.92109] p=0.7873 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.150544 SE=0.878117 CI=[-1.87162,1.57053] p=0.8639"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=4.61916 SE=1.9917 CI=[0.715491,8.52283] p=0.02038 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.4093 SE=2.06032 CI=[-2.62885,5.44745] p=0.494 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.194949 SE=0.781881 CI=[-1.33751,1.72741] p=0.8031"
summary_gm_mad	1.810710507	0.6126069876	0.9930506376	2.062297668	0.5595777761	0.9674290517	0.2515871614	-0.02562158586	False	False	-0.761177	-4.34574	2.82339	-0.2845179575	-2.747642218	2.178606303	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.24071 SE=4.28585 CI=[-11.6408,5.15941] p=0.4496 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=4.80356 SE=4.79635 CI=[-4.59712,14.2042] p=0.3166 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.761177 SE=1.82889 CI=[-4.34574,2.82339] p=0.6773"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.850815 SE=3.16359 CI=[-5.34971,7.05134] p=0.788 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=4.52744 SE=3.29248 CI=[-1.9257,10.9806] p=0.1691 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.284518 SE=1.25672 CI=[-2.74764,2.17861] p=0.8209"
summary_gm_mean	0.4966941692	0.9196170857	0.9930506376	0.8550109358	0.8362688365	0.9674290517	0.3583167666	-0.02562158586	False	False	1.50761	-27.0771	30.0924	1.817256636	-19.63948083	23.2739941	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=13.8253 SE=32.9316 CI=[-50.7195,78.3701] p=0.6746 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=19.815 SE=37.9635 CI=[-54.5921,94.222] p=0.6017 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.50761 SE=14.5843 CI=[-27.0771,30.0924] p=0.9177"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=19.44 SE=27.3845 CI=[-34.2326,73.1126] p=0.4778 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=17.4724 SE=28.5699 CI=[-38.5235,73.4684] p=0.5408 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.81726 SE=10.9475 CI=[-19.6395,23.274] p=0.8682"
