IQM	IQM_family	cohort	acquisition_variable	coefficient_model_A	p_model_A	q_model_A	coefficient_model_C	p_model_C	q_model_C	effect_change	significance_change	classification	n_observations_A	n_observations_C	std_coefficient_model_A	std_coefficient_model_C
icvs_wm	morphology / tissue	Glaucoma	software_platform	0.004799403683	0.007310019644	0.06767133871	0.004810885896	0.007465049993	0.06379344191	1.148221271e-05	ns_to_ns	neither	133	133	0.6963464296	0.6980123861
icvs_wm	morphology / tissue	Data_ON	software_platform	0.0008141844064	0.7355942389	0.9169726886	0.000713364653	0.7812650589	0.9747701562	-0.0001008197534	ns_to_ns	neither	133	133	0.1181301765	0.1035022186
icvs_wm	morphology / tissue	Data_TON	software_platform	0.008771589234	0.03730660836	0.3129036321	0.008789219606	0.03769781095	0.316569441	1.763037162e-05	ns_to_ns	neither	133	133	1.272671617	1.275229611
rpve_csf	morphology / tissue	Glaucoma	software_platform	-0.07128436479	0.6764076364	0.9038548185	-0.07354908541	0.6662723807	0.8912416853	-0.002264720622	ns_to_ns	neither	133	133	-0.114562685	-0.1182023678
rpve_csf	morphology / tissue	Data_ON	software_platform	0.06285430629	0.7802898636	0.9169726886	0.08270036365	0.7138702703	0.9747701562	0.01984605736	ns_to_ns	neither	133	133	0.1010145509	0.1329095902
rpve_csf	morphology / tissue	Data_TON	software_platform	-0.5572126854	0.1662198703	0.4995811746	-0.5604985596	0.1630960845	0.4927518392	-0.00328587417	ns_to_ns	neither	133	133	-0.8955088756	-0.9007896769
rpve_gm	morphology / tissue	Glaucoma	software_platform	-0.08192844118	0.6329007556	0.9038548185	-0.08422134085	0.6229192353	0.8912416853	-0.00229289967	ns_to_ns	neither	133	133	-0.1312743614	-0.1349482863
rpve_gm	morphology / tissue	Data_ON	software_platform	0.04799697657	0.8320345275	0.9169726886	0.06808597634	0.7637865917	0.9747701562	0.02008899977	ns_to_ns	neither	133	133	0.07690580165	0.109094509
rpve_gm	morphology / tissue	Data_TON	software_platform	-0.558723371	0.1668809789	0.4995811746	-0.5620502654	0.1637512681	0.4927518392	-0.003326894398	ns_to_ns	neither	133	133	-0.8952453219	-0.9005760219
rpve_wm	morphology / tissue	Glaucoma	software_platform	-0.08027029234	0.6391752181	0.9038548185	-0.08266651937	0.6286833385	0.8912416853	-0.002396227027	ns_to_ns	neither	133	133	-0.1292479462	-0.1331062531
rpve_wm	morphology / tissue	Data_ON	software_platform	0.0493936932	0.8269090608	0.9169726886	0.07039429072	0.7555936361	0.9747701562	0.02100059752	ns_to_ns	neither	133	133	0.07953170736	0.1133460118
rpve_wm	morphology / tissue	Data_TON	software_platform	-0.5497943235	0.1729646987	0.4995811746	-0.5532711328	0.1695998589	0.4927518392	-0.003476809296	ns_to_ns	neither	133	133	-0.8852563639	-0.8908545803
tpm_overlap_csf	morphology / tissue	Glaucoma	software_platform	-0.0007554054284	0.8394325711	0.921729882	-0.0007542758687	0.8402184953	0.9508099542	1.129559695e-06	ns_to_ns	neither	133	133	-0.05325761885	-0.0531779826
tpm_overlap_csf	morphology / tissue	Data_ON	software_platform	0.002346550241	0.6378727854	0.9169726886	0.002351270095	0.653769167	0.9747701562	4.719853803e-06	ns_to_ns	neither	133	133	0.1654365638	0.1657693231
tpm_overlap_csf	morphology / tissue	Data_TON	software_platform	0.009788549197	0.2648847335	0.5685320945	0.00979538187	0.2658715874	0.5441650833	6.832673109e-06	ns_to_ns	neither	133	133	0.6901126239	0.6905943412
tpm_overlap_gm	morphology / tissue	Glaucoma	software_platform	-0.004318990366	0.06586807602	0.1872935428	-0.004312646978	0.06737002829	0.1985642939	6.343387836e-06	ns_to_ns	neither	133	133	-0.5238722072	-0.5231027855
tpm_overlap_gm	morphology / tissue	Data_ON	software_platform	-0.0003578546402	0.9094735155	0.9431577198	-0.0004155190942	0.900489663	0.9747701562	-5.766445392e-05	ns_to_ns	neither	133	133	-0.04340600102	-0.05040041457
tpm_overlap_gm	morphology / tissue	Data_TON	software_platform	-0.002526153869	0.6476670048	0.7635802264	-0.00251527412	0.6501428108	0.757466174	1.087974832e-05	ns_to_ns	neither	133	133	-0.3064099918	-0.3050903321
tpm_overlap_wm	morphology / tissue	Glaucoma	software_platform	-0.006506578974	0.0336757076	0.1178649766	-0.006424125543	0.03594461393	0.1258061488	8.245343132e-05	ns_to_ns	neither	133	133	-0.6115222067	-0.6037728034
tpm_overlap_wm	morphology / tissue	Data_ON	software_platform	0.00339354152	0.4041022802	0.77167998	0.002672487702	0.5232745675	0.8618639936	-0.0007210538189	ns_to_ns	neither	133	133	0.3189427205	0.2511743242
tpm_overlap_wm	morphology / tissue	Data_TON	software_platform	-0.01702106884	0.01833477129	0.3129036321	-0.01689857369	0.01910751948	0.316569441	0.0001224951511	ns_to_ns	neither	133	133	-1.599728769	-1.588216036
fwhm_avg	smoothness / sharpness	Glaucoma	software_platform	-0.03708671081	0.5295350141	0.8237211331	-0.02489758822	0.6483747309	0.8912416853	0.01218912259	ns_to_ns	neither	133	133	-0.1973264356	-0.1324720427
fwhm_avg	smoothness / sharpness	Data_ON	software_platform	-0.1134008167	0.150622342	0.4652840493	-0.2210395402	0.003885124423	0.1087834838	-0.1076387235	ns_to_ns	neither	133	133	-0.6033691979	-1.176080155
fwhm_avg	smoothness / sharpness	Data_TON	software_platform	0.1307433694	0.3464896547	0.6345650806	0.1486369998	0.2471950533	0.5324201148	0.01789363045	ns_to_ns	neither	133	133	0.6956433314	0.7908495721
fwhm_x	smoothness / sharpness	Glaucoma	software_platform	-0.03820117584	0.5004943902	0.8007910243	-0.02859066052	0.5967758428	0.8912416853	0.009610515322	ns_to_ns	neither	133	133	-0.211214447	-0.1580778711
fwhm_x	smoothness / sharpness	Data_ON	software_platform	-0.09565864824	0.2067504256	0.4711090889	-0.1806655097	0.01665953736	0.2651900267	-0.08500686149	ns_to_ns	neither	133	133	-0.5288970312	-0.9989002928
fwhm_x	smoothness / sharpness	Data_TON	software_platform	0.1074407629	0.4209439004	0.6735102406	0.1216377154	0.3387462121	0.5791134991	0.01419695249	ns_to_ns	neither	133	133	0.5940403883	0.6725353928
fwhm_y	smoothness / sharpness	Glaucoma	software_platform	-0.0183652316	0.7785057445	0.9084815876	-0.003837762261	0.948902419	0.9613687013	0.01452746934	ns_to_ns	neither	133	133	-0.0859873216	-0.01796867608
fwhm_y	smoothness / sharpness	Data_ON	software_platform	-0.1633984566	0.06258849123	0.3933403745	-0.2933132939	0.0005770871683	0.03231688143	-0.1299148373	ns_to_sig	cohort association newly apparent	133	133	-0.7650432046	-1.37331372
fwhm_y	smoothness / sharpness	Data_TON	software_platform	0.1969130295	0.200067462	0.4995811746	0.2182989998	0.1210875987	0.4927518392	0.0213859703	ns_to_ns	neither	133	133	0.9219608207	1.022091456
fwhm_z	smoothness / sharpness	Glaucoma	software_platform	-0.05537290508	0.3826053568	0.6492696964	-0.04315224122	0.4634521571	0.7731708787	0.01222066387	ns_to_ns	neither	133	133	-0.2822662515	-0.2199707845
fwhm_z	smoothness / sharpness	Data_ON	software_platform	-0.08140050395	0.3353626189	0.7223194869	-0.1890725701	0.02020142062	0.2651900267	-0.1076720661	ns_to_ns	neither	133	133	-0.4149432848	-0.9638072185
fwhm_z	smoothness / sharpness	Data_TON	software_platform	0.08805821235	0.5554588842	0.7306429527	0.1060892036	0.4437749962	0.6903166607	0.01803099123	ns_to_ns	neither	133	133	0.4488812981	0.5407952098
