	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
icvs_wm	5.402182006e-18	1.802060509e-19	4.717711929e-10	0.0001317917148	0.5546517539	0.5185114775	0.3767156897	0.6152840017	2.325669353e-09	1.679192428e-07		2.487593065e-05	1.748643395e-05		0.0004999340168	5.686479498e-07	1.939925202e-07	1.664983849e-07	0.02618482475	0.0001024705837	0.09943415628	0.3045519092	1.593566096e-05	2.732442419e-05	1.5149415e-05	1.017758716e-05	0.100287802	0.01719865778	6.73187985e-10	0.01719865778		3.488244982e-07	1.781991524e-09	0.01241171597	0.02445476835	0.09881583069	0.4611937386	4.993870915e-06	0.05881460789	0.5766094664	0.2676500512	0.1661757011	3.051403885e-10	3.477171459e-12	0.8293121508	3.179916368e-19	1.656391478e-07	0.4703956336	0.008970544071	0.00142664353	1.682892499e-08	0.6185707264	0.2913899699	0.5651064134	0.0004390356137	0.1171310801	0.0001705384616	2.564659577e-06
inu_med	1.166861063e-11	2.608840598e-11	1.230654475e-11	3.729122397e-19	0.2394057004	0.3488435486	0.07721705784	0.4065331839	0.307543768	0.0002136932058	2.487593065e-05		1.475563292e-48		0.03909131083	0.05177159732	0.03565823043	0.03537051801	0.7597520186	0.000121444302	7.65070232e-09	1.818728204e-09	0.0001996362615	0.000357325948	0.000323021577	0.0003045183681	0.2214819131	0.4403621486	5.514196325e-07	0.4403621486		3.048618522e-10	2.514781505e-05	0.5599837998	0.3671844075	0.2886256036	0.1650019813	0.1393590059	0.1764667611	0.1648631499	0.6891034169	0.8326443752	0.6068963299	0.6947055608	0.007739407506	0.005327948509	0.0001755167716	0.08616416337	1.960509431e-12	2.346194293e-09	2.392707708e-14	9.074572776e-07	0.04976122728	1.303335889e-08	0.4578049579	0.0003532416505	0.5561003586	1.307722962e-17
inu_range	4.241372278e-06	6.372697804e-07	4.330123591e-17	7.394701572e-14	0.1977100869	0.3360386139	0.06718846618	0.2913792588	0.007469015465	0.04630767155	1.748643395e-05	1.475563292e-48			0.0009966301413	5.43008804e-05	4.105887266e-05	4.01677895e-05	0.0782759312	0.03580019166	0.002714200662	0.0009953122726	7.501108049e-07	5.346894255e-07	5.853664606e-07	4.93911062e-07	0.1428689003	0.562814885	1.84237912e-06	0.562814885		1.89603045e-05	5.642934113e-07	0.1989705492	0.2684125484	0.2733925898	0.5363053712	0.003565136665	0.3965278204	0.8320984533	0.04729223011	0.9422113815	0.5254211566	0.5077811947	0.3958459864	0.02582696819	0.0286883045	0.002799178232	5.187983156e-05	0.0009422156023	8.812144054e-07	0.01850088079	0.003915209575	0.002158553367	0.002584794404	0.1004714753	0.5422386496	3.893861629e-18
qi_1																																																										
qi_2	0.1772357861	0.001328894402	3.514783322e-11	0.1044533296	0.5119867921	0.31189918	0.6014004732	0.8138199071	0.01308136092	0.9227997814	0.0004999340168	0.03909131083	0.0009966301413			2.578084426e-05	2.86360117e-05	2.638365548e-05	0.02388907385	0.9811251385	0.5707652107	0.5519551844	2.681784487e-26	8.905778785e-27	1.007730353e-26	8.045612162e-27	1.415504719e-05	0.876343124	6.240180975e-19	0.876343124		0.9445867958	4.887299323e-32	0.1041428171	0.2603495103	0.05220311583	0.09124491269	0.05463574632	0.0833023062	0.407442794	0.004388663401	0.8613084581	0.03251692185	0.03207497015	0.2813064058	0.08443549624	0.626365964	0.6160420596	0.8893713505	0.7366002057	0.3179792916	0.5330145333	0.8398654973	0.4561779119	0.01273095893	0.1418418642	0.03326209369	0.0001122369025
rpve_csf	0.1506182509	0.004406537719	8.870843362e-11	0.6256631077	0.6578272755	0.8723588011	0.5900327961	0.633994713	0.0008270831967	0.07884003463	5.686479498e-07	0.05177159732	5.43008804e-05		2.578084426e-05		5.705144451e-178	4.121197029e-170	0.0006997858392	0.04151696912	0.2560734194	0.05871372496	2.239089407e-06	6.574987174e-07	6.921000781e-07	5.426130359e-07	0.1603937949	0.6777973949	1.987569139e-05	0.6777973949		0.1075105822	3.366872246e-07	0.003063576547	0.00795605503	8.902660092e-05	0.004732035551	9.930252264e-08	0.001367885091	0.5443297479	0.03548203787	0.03417328836	0.01042348402	0.02163444388	0.9025355763	2.253588955e-05	0.005961495655	0.007947228682	0.3794391723	0.1274546745	0.7879496673	0.0173992413	0.009286964422	0.05902446083	4.261746298e-07	0.007825383196	1.717707772e-06	0.0001459087994
rpve_gm	0.08037740369	0.001457749231	7.929413153e-11	0.5903147849	0.6808536773	0.8919047416	0.6095503685	0.6551288324	0.001154499374	0.0405951756	1.939925202e-07	0.03565823043	4.105887266e-05		2.86360117e-05	5.705144451e-178		1.701945015e-222	0.0009312102184	0.02015054014	0.4256776176	0.1195261736	2.32775985e-06	7.788115936e-07	7.934147e-07	6.236806835e-07	0.1589938884	0.7595790803	1.547853908e-05	0.7595790803		0.08436252039	2.834421747e-07	0.002653763786	0.006236041778	0.0002134276956	0.009607484777	7.893967085e-08	0.002925168587	0.7091412129	0.06574009845	0.04154083333	0.01191717521	0.02274416927	0.9220193626	6.38007041e-06	0.00233588438	0.01305885996	0.5881812551	0.2358584709	0.9508807339	0.03928637791	0.01527776625	0.1175461256	8.582900132e-07	0.008189384081	1.834493209e-06	8.825381823e-05
rpve_wm	0.07339151847	0.001262973627	8.048053914e-11	0.5737039753	0.6183652008	0.8231515302	0.560417765	0.5911208048	0.001306767726	0.03534967008	1.664983849e-07	0.03537051801	4.01677895e-05		2.638365548e-05	4.121197029e-170	1.701945015e-222		0.001223700667	0.01881636517	0.4425132714	0.1227306617	1.995189777e-06	7.102899341e-07	7.115186404e-07	5.652802801e-07	0.1584190972	0.7461055985	1.448088302e-05	0.7461055985		0.08359331493	2.661709633e-07	0.003067236839	0.007030359599	0.0003120551561	0.01276897792	9.115567988e-08	0.003720306835	0.7492305028	0.06843948172	0.03975957157	0.01093729037	0.02078117848	0.9222045025	4.982664862e-06	0.00209629106	0.01499102345	0.6021726205	0.2432507777	0.9328781312	0.04014278498	0.01612616076	0.1202012954	1.345127639e-06	0.007724447166	2.45863066e-06	9.586766548e-05
snr_csf	0.9931654508	0.8798468024	0.0003682529548	0.7274302132	5.059473844e-10	3.376125545e-11	1.379806654e-06	3.825862445e-11	0.02135442176	0.5061771476	0.02618482475	0.7597520186	0.0782759312		0.02388907385	0.0006997858392	0.0009312102184	0.001223700667		0.9565028478	0.021114854	0.1171310801	0.04783087959	0.004349392343	0.007931764651	0.004471201311	0.6324575452	0.3109232726	0.07305838747	0.3109232726		0.3065798109	0.01251615183	8.615341032e-26	3.230829336e-19	2.347211235e-26	1.299757133e-21	1.074812408e-26	7.405420319e-09	0.8809730843	0.0001072571824	0.07445615079	0.7564246787	0.4422385459	0.7855599149	0.9166699933	0.9130409483	0.01416187288	0.3671533018	0.1591683752	0.5548682292	0.04062659467	0.001351988991	0.09988465226	1.804475426e-24	0.04780403767	0.02858369168	0.0024549932
snr_gm	2.188882919e-12	6.339591092e-19	0.001265846247	0.003205590987	0.7513756792	0.7844176859	0.4424090639	0.8047398774	6.347770777e-09	6.085557202e-38	0.0001024705837	0.000121444302	0.03580019166		0.9811251385	0.04151696912	0.02015054014	0.01881636517	0.9565028478		1.120454825e-26	1.875522645e-13	0.1782778577	0.4663816708	0.403134711	0.4484409986	0.5562570737	0.08899914259	0.0216065987	0.08899914259		0.002915500721	0.05763279164	1.096303357e-05	2.430799009e-10	2.963976833e-07	2.589298921e-10	0.001818096279	4.297902428e-14	1.353334825e-23	0.001770788318	5.942971775e-06	3.299954026e-05	0.001393327524	5.078553065e-49	2.107264279e-24	1.056529658e-101	2.614371493e-06	3.911659923e-20	1.657622797e-10	5.76864535e-09	7.92262848e-11	0.1718324723	1.634122879e-13	0.2415706869	0.08712969694	0.8229247359	0.006041698038
snr_total	5.256733072e-14	2.496826513e-19	0.5412100454	0.02833221735	0.4765646294	0.6217415842	0.4659167884	0.4184424569	2.778268889e-08	1.447975615e-15	0.09943415628	7.65070232e-09	0.002714200662		0.5707652107	0.2560734194	0.4256776176	0.4425132714	0.021114854	1.120454825e-26		1.629693342e-71	0.4731329622	0.9952111368	0.8961448403	0.9841465453	0.8570055084	0.222148247	0.2224606899	0.222148247		0.0112943051	0.4489661644	0.08474707683	0.0005021544551	3.126099724e-14	2.439678623e-17	0.6524522327	6.780119504e-23	5.167985066e-21	7.210676223e-10	0.278382676	8.795549138e-09	4.871284944e-07	1.390309656e-27	4.995685579e-08	1.325337352e-21	2.492244339e-09	2.311979719e-58	1.841512609e-42	1.157680867e-25	8.246184318e-57	1.343780964e-05	1.760591286e-70	0.001328608578	0.005640593827	0.009412597626	0.0005171109673
snr_wm	8.347134038e-12	3.236637376e-15	0.9312491945	0.07736619381	0.04734298095	0.0924534429	0.04346272165	0.04999826861	5.379955514e-05	6.827351188e-08	0.3045519092	1.818728204e-09	0.0009953122726		0.5519551844	0.05871372496	0.1195261736	0.1227306617	0.1171310801	1.875522645e-13	1.629693342e-71		0.6195172216	0.9525107864	0.9637004996	0.9715980405	0.8795709778	0.2887984446	0.3556947849	0.2887984446		0.0207004926	0.5976274048	0.1286000776	0.002674022435	2.787948062e-09	7.094742998e-11	0.7139089715	8.887210339e-15	1.691838072e-13	1.411519055e-10	0.000854732321	8.310735595e-08	1.007493603e-06	2.395863611e-15	0.0007379105577	1.292515175e-10	2.32231114e-07	1.989066876e-54	3.232344025e-54	9.680748323e-30	4.79156666e-93	2.534742395e-06	4.385183038e-143	0.013217155	1.11012907e-05	0.002459489781	8.517975839e-05
snrd_csf	0.01007991715	1.233678143e-07	1.439489445e-15	0.0007607376556	0.3508659709	0.1268805187	0.5865332094	0.6124552079	0.009464178273	0.2226166862	1.593566096e-05	0.0001996362615	7.501108049e-07		2.681784487e-26	2.239089407e-06	2.32775985e-06	1.995189777e-06	0.04783087959	0.1782778577	0.4731329622	0.6195172216		8.235852738e-124	3.996946216e-135	3.662492566e-125	1.225849041e-07	6.729972741e-05	8.274231933e-25	6.729972741e-05		0.03990525655	2.261069995e-43	0.08738597595	0.1246617591	0.3398779456	0.5617685657	0.02436024001	0.3922068188	0.9131332803	0.02023244012	0.7455425992	0.03870727085	0.02919634942	0.8689119231	0.005583774941	0.06570191265	0.9229614649	0.2142165411	0.1635237837	0.02286384926	0.8275243242	0.9467596336	0.7342712299	0.007933191677	0.3471587937	0.1621566028	1.860700425e-06
