subset	IQM	family_group	in_core_quality	in_tissue_sensitive	n_obs	n_subjects	converged	status	cohort_stat	cohort_p	cohort_q	glaucoma_coef	glaucoma_p	on_coef	ton_coef	acquisition_stat	acquisition_p	acquisition_q	xa30_coef	xa30_p	r2_marginal	r2_conditional	finding_class_cohort	overall_cohort_finding	overall_acquisition_finding	formula
FULL_56	inu_range	homogeneity / bias field	False	False	133	83	True	ok	5.907627376	0.1161918686	0.224370505	0.03329456775	0.01870426978	-0.003219020105	0.003013849591	0.7003933787	0.4026515449	0.9986040026	0.01969060804	0.4026515449	0.1378620751	0.3519118801	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""inu_range"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	qi_2	artifact	False	False	133	83	True	ok	1.457110557	0.692203968	0.7600671021	2.874996907e-05	0.8659162082	-0.0001749368814	0.0003753234264	4.957458858	0.02597835601	0.2424646561	0.0005186493608	0.02597835601	0.1182240708	0.6934393793	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""qi_2"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	rpve_csf	morphology / tissue	False	True	133	83	True	ok	2.218150698	0.528382104	0.6355333276	-0.07354908541	0.6662723807	0.08270036365	-0.5604985596	1.549491848	0.2132104735	0.9986040026	-0.05167059203	0.2132104735	0.264500897	0.9957633478	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""rpve_csf"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	rpve_gm	morphology / tissue	False	True	133	83	True	ok	2.18230144	0.5354428437	0.6355333276	-0.08422134085	0.6229192353	0.06808597634	-0.5620502654	1.482094916	0.2234470407	0.9986040026	-0.05230464574	0.2234470407	0.2658884585	0.995504037	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""rpve_gm"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	rpve_wm	morphology / tissue	False	True	133	83	True	ok	2.135607135	0.5447428522	0.6355333276	-0.08266651937	0.6286833385	0.07039429072	-0.5532711328	1.5698348	0.2102310064	0.9986040026	-0.05467907795	0.2102310064	0.2621239161	0.9953162534	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""rpve_wm"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	snr_csf	signal / SNR	True	False	133	83	True	ok	8.357551435	0.03917223779	0.1659906809	-0.002460016525	0.9517809648	0.01789856464	0.2685640231	1.337121765	0.2475421892	0.9986040026	0.04542167856	0.2475421892	0.2508346091	0.9107972183	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""snr_csf"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	snr_gm	signal / SNR	True	False	133	83	True	ok	4.430905367	0.2185367944	0.3307583915	-0.2854990808	0.0925716173	-0.3626354727	-0.2223825031	0.0164235042	0.8980269281	0.9986040026	0.02274114831	0.8980269281	0.2380505822	0.8863261785	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""snr_gm"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	snr_total	signal / SNR	True	False	133	83	True	ok	6.721388251	0.08132869137	0.1980176833	-0.2668915784	0.1467581809	-0.4808201559	0.4335310649	0.1955445557	0.6583414461	0.9986040026	0.07124455664	0.6583414461	0.09380348509	0.9152446764	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""snr_total"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	snr_wm	signal / SNR	True	False	133	83	True	ok	6.802099826	0.07848028927	0.1980176833	-0.5165135402	0.2227344474	-1.086339956	1.252384953	0.1312969883	0.7170910493	0.9986040026	0.1173602738	0.7170910493	0.06915457199	0.9376650413	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""snr_wm"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	snrd_csf	signal / SNR	True	False	133	83	True	ok	0.4351667951	0.9328857773	0.9328857773	-1.403665104	0.7619443011	-0.2854266531	-6.900372256	0.2670310936	0.6053303288	0.9986040026	-3.42127342	0.6053303288	0.1677995042	0.6527443678	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""snrd_csf"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
