	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
summary_bg_mad	0.1118673867	0.4635870814	0.007220621565	0.001420383297	0.1720652135	0.08886488796	0.1210992709	0.6074151673	0.7892828672	0.274968518	0.1265440242	0.2981199474	0.5261821523		0.7193367029	0.2720743025	0.2476279308	0.2378273789	0.2126291417	0.003193881559	0.007037191192	0.01609964924	0.07517467188	0.09321791786	0.05281465079	0.009876568711	0.5366076154		3.437411789e-25	0		1.173440654e-19	8.020359799e-09	0.05112572094	1.858846398e-07	1.409727177e-08	1.159383121e-08	0.02228179997	1.591381597e-08	1.83204637e-08	0.004848212601	5.040362623e-09	1.216690738e-09	8.953632061e-10	0.2400753212	6.953023116e-10	3.228638405e-10	0.0245640086	1.132332735e-05	2.175328337e-08	0.0006656166041		4.465447736e-10	6.560885202e-10	0.58127511	0.1156443101	0.1746055521	0.0484926342
summary_bg_mean	0.001992711075	0.5263650575	0.0008382983616	0.005556042066	0.07477728769	0.02388602724	0.04190275994	0.3707120668	0.8842673561	0.00881113786	0.004417675176	0.9920921576	0.009098614937		0.2291695115	0.004275841479	0.003905500043	0.003652198764	0.07048646636	5.673186733e-07	9.62527953e-07	3.793367187e-06	0.102623015	0.07013592492	0.04523015088	2.018533733e-05	0.2792350905	3.437411789e-25		3.437411789e-25		4.328770556e-82	9.139735438e-29	0.07909700939	3.752434882e-24	4.618917385e-30	5.916282391e-30	1.863943302e-06	8.341559037e-31	1.328465945e-30	0.04728741058	7.289412876e-31	1.604922875e-30	1.853855018e-30	0.005680595077	7.921869137e-32	1.272851124e-33	0.0004721834365	4.80902675e-10	2.008618241e-20	2.602355665e-06		6.454946215e-26	2.738707371e-26	0.8172396551	0.009243117808	0.0240820066	0.0001285425337
summary_bg_median	0.1118673867	0.4635870814	0.007220621565	0.001420383297	0.1720652135	0.08886488796	0.1210992709	0.6074151673	0.7892828672	0.274968518	0.1265440242	0.2981199474	0.5261821523		0.7193367029	0.2720743025	0.2476279308	0.2378273789	0.2126291417	0.003193881559	0.007037191192	0.01609964924	0.07517467188	0.09321791786	0.05281465079	0.009876568711	0.5366076154	0	3.437411789e-25			1.173440654e-19	8.020359799e-09	0.05112572094	1.858846398e-07	1.409727177e-08	1.159383121e-08	0.02228179997	1.591381597e-08	1.83204637e-08	0.004848212601	5.040362623e-09	1.216690738e-09	8.953632061e-10	0.2400753212	6.953023116e-10	3.228638405e-10	0.0245640086	1.132332735e-05	2.175328337e-08	0.0006656166041		4.465447736e-10	6.560885202e-10	0.58127511	0.1156443101	0.1746055521	0.0484926342
summary_bg_p05																																																										
summary_bg_p95	0.0006041916327	0.700979125	0.0006223996853	0.008979583876	0.113938214	0.04007490322	0.04987620636	0.482910423	0.9890206597	0.003415101413	0.001803914908	0.9076613115	0.004228824481		0.7662911125	0.0007875303173	0.0007433277225	0.0007278580131	0.05882449116	1.676005206e-07	1.896939967e-07	6.053253078e-07	0.18150844	0.1122808904	0.07617208969	1.444251136e-05	0.3345236453	1.173440654e-19	4.328770556e-82	1.173440654e-19			7.200713565e-26	0.07708653487	1.007625133e-27	5.972288121e-35	8.788005346e-35	1.431384045e-07	3.646671487e-36	1.948805753e-35	0.06091397007	8.535365372e-36	2.553331925e-34	4.009305945e-34	0.003429695682	4.228087596e-36	2.657878651e-38	0.0002523832867	5.53332663e-10	2.280861107e-21	3.672580351e-06		1.687369153e-27	4.703598384e-28	0.5771037669	0.00515520789	0.0281539087	2.416082502e-05
summary_bg_stdv	0.01138588542	0.1869582795	0.001138468393	0.05923595787	0.5964802441	0.2674665294	0.8676076136	0.9236498492	0.8840733332	0.003758745572	0.007775344657	0.9351729035	0.05256627858		1.252261738e-07	0.0002436717822	0.0002396907326	0.0002203619718	0.1500111138	4.226127326e-06	1.007207782e-05	4.016969576e-05	0.3736239301	0.6408875544	0.6494815889	0.01720532242	7.286766901e-10	8.020359799e-09	9.139735438e-29	8.020359799e-09		7.200713565e-26		0.733844577	6.352467064e-19	1.057559435e-24	1.834342633e-24	2.131785362e-06	2.360912308e-24	2.056721934e-24	0.7899510575	2.180732768e-23	1.014859127e-22	1.189146541e-22	0.007132564692	8.327027944e-24	4.682734486e-25	0.004095312805	8.04273808e-09	6.990652658e-16	7.968248917e-06		2.537614428e-19	1.157768298e-19	0.5430617555	0.00485569411	0.031501638	0.0003941190189
summary_csf_k	0.004240949691	0.0006102330201	0.08799175953	0.2480859286	0.405173468	0.555076858	0.3942348998	0.08545973646	0.0002111302659	3.508519701e-06	0.1069672213	0.001719080729	0.001149882558		0.4400430678	0.001014228271	0.0007521989385	0.0005695487235	0.3828234709	0.42289993	0.2493911227	0.003106119468	0.9852958899	0.05558262122	0.3572425792	0.1723257931	0.8761564808	0.05112572094	0.07909700939	0.05112572094		0.07708653487	0.733844577		0.01200900745	0.06417797618	0.04685767338	0.3528666633	0.04098655636	0.02143197461	4.50830526e-08	0.000942506898	0.0008515175037	0.0009865364538	0.004218803866	0.0008605196054	0.001457376762	0.001310474425	0.5679140962	0.05728625097	0.8201355071		0.01323927093	0.01491526754	0.005498092962	0.0001569355289	0.001469770446	0.2858513336
summary_csf_mad	5.917251044e-07	0.03926969853	0.8942649028	0.9231293884	0.121008193	0.1113142428	0.09351476392	0.1879010637	0.3394388309	0.9967976073	0.2825861732	0.08851773477	0.0001613680389		0.4550389464	0.5256147477	0.5450237944	0.567555471	0.02229944733	0.003203712025	9.147429231e-07	1.226733559e-10	0.5315245424	0.3218638531	0.5768242315	0.0003126149691	0.009870862905	1.858846398e-07	3.752434882e-24	1.858846398e-07		1.007625133e-27	6.352467064e-19	0.01200900745		1.871117652e-46	2.16309845e-47	7.840641558e-08	5.298723441e-51	1.324469782e-57	0.6601696602	2.232273733e-55	1.032040925e-51	2.985318028e-51	1.013770881e-08	1.561086444e-51	5.548336386e-50	3.621035362e-06	3.502357287e-11	2.391015244e-25	1.451298663e-06		2.066885918e-33	1.736203377e-34	0.4322909745	0.7897936893	0.009291732512	1.40774744e-06
summary_csf_mean	3.9309097e-08	0.06693182258	0.8206089563	0.8597494503	0.4103474909	0.4638435761	0.3341325777	0.4593676737	0.1904414219	0.2059120074	0.4517208391	0.002634734541	5.453914155e-05		0.9194870838	0.01515053397	0.01604457276	0.01901094232	0.782797687	0.002049061501	9.149381264e-05	9.235081016e-12	0.02693996985	0.06602619433	0.08922281565	0.001171410884	0.005591459066	1.409727177e-08	4.618917385e-30	1.409727177e-08		5.972288121e-35	1.057559435e-24	0.06417797618	1.871117652e-46		6.5969028e-158	1.973789785e-17	3.176236692e-108	1.412589809e-73	0.6889238619	3.143351131e-70	1.796542986e-78	1.778568636e-76	9.537264701e-09	3.017048547e-79	2.383366688e-73	2.328584614e-06	4.121557674e-12	3.116902465e-30	3.245091969e-07		4.913041781e-43	1.327071174e-44	0.2402057976	0.2090152629	0.05163152978	1.938030893e-06
summary_csf_median	5.853968821e-08	0.07322130616	0.8612573199	0.7843088892	0.4652750152	0.5066651359	0.3843747573	0.5181946419	0.2622122027	0.2724688722	0.4759412419	0.002145983099	6.96965026e-05		0.8613586396	0.02019834157	0.02127185159	0.02502632325	0.7947830663	0.002725059313	0.0001238158033	1.730530887e-11	0.02577624684	0.05277132111	0.07507796887	0.001902092367	0.006799248709	1.159383121e-08	5.916282391e-30	1.159383121e-08		8.788005346e-35	1.834342633e-24	0.04685767338	2.16309845e-47	6.5969028e-158		1.073445815e-16	1.214289109e-105	1.200335918e-74	0.5473437805	6.370355923e-71	9.887132826e-84	1.172641693e-81	7.007724502e-09	7.06548661e-84	1.051635863e-76	3.371725734e-06	1.192857228e-12	1.242703961e-31	1.400071818e-07		2.874702943e-45	5.652435703e-47	0.3140329605	0.2533188403	0.04813334104	4.336489507e-06
