iqm	family_group	model	n_obs	n_subjects	r2	r2_adj	term	beta	se	p	ci_low	ci_high	vif	anatomy_sensitive_by_construction	selected_anatomy	fdr_q
cjv	contrast	A_acquisition_age_sex	132	83	0.1866123490924002	0.16754857602425333	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.015082311927590429	0.028186969403176595	0.5935222075125263	-0.07085504663032166	0.0406904227751408	1.054672241057326	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.7973352210726662
cjv	contrast	A_acquisition_age_sex	132	83	0.1866123490924002	0.16754857602425333	C(sex)[T.M]	0.01637641630097872	0.011676378002283945	0.16317915523828994	-0.0067272924835775315	0.03948012508553497	1.0341868013958861	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.2610866483812639
cjv	contrast	A_acquisition_age_sex	132	83	0.1866123490924002	0.16754857602425333	age	0.003049333530823201	0.0006233544926201232	2.942902804746628e-06	0.0018159201671736945	0.004282746894472707	1.0789157431589922	TRUE	icv_etiv+total_wm+mean_cortical_thickness	5.493418568860373e-05
cjv	contrast	B_acquisition_age_sex_anatomy	132	83	0.2800247145694188	0.24546590086875086	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.0027070124203246873	0.027460159964335477	0.9216299522646679	-0.057054077053711155	0.05164005221306178	1.1043504240334137	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.9420839472194914
cjv	contrast	B_acquisition_age_sex_anatomy	132	83	0.2800247145694188	0.24546590086875086	C(sex)[T.M]	0.017580204377735265	0.012397503028633093	0.15866609309719382	-0.006955992762587258	0.04211640151805779	1.2862671374116312	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.22546188046741233
cjv	contrast	B_acquisition_age_sex_anatomy	132	83	0.2800247145694188	0.24546590086875086	age	0.0021683946919733074	0.0006340350724080709	0.0008463491120313115	0.0009135605939655624	0.0034232287899810523	1.2314702819886814	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.011848887568438361
cjv	contrast	B_acquisition_age_sex_anatomy	132	83	0.2800247145694188	0.24546590086875086	icv_etiv	1.9856611378012714e-08	5.334108478080621e-08	0.7103316109732061	-8.571201553320983e-08	1.2542523828923527e-07	2.7808277107323653	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.8287202128020738
cjv	contrast	B_acquisition_age_sex_anatomy	132	83	0.2800247145694188	0.24546590086875086	total_wm	-8.100287964674416e-08	1.4942813245306996e-07	0.5887244034275312	-3.7673969920717424e-07	2.1473393991368596e-07	2.7625549912036185	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.6464424821949362
cjv	contrast	B_acquisition_age_sex_anatomy	132	83	0.2800247145694188	0.24546590086875086	mean_cortical_thickness	-0.2753289366172795	0.07103397393685382	0.0001705123556009262	-0.41591398702217086	-0.13474388621238806	1.1686380010010804	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.0013640988448074096
cnr	contrast	A_acquisition_age_sex	132	83	0.18117811946969842	0.16198698164476943	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.014286376576754653	0.08623852884714975	0.8686849648599817	-0.1849240397376573	0.15635128658414799	1.054672241057326	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.9170116298149038
cnr	contrast	A_acquisition_age_sex	132	83	0.18117811946969842	0.16198698164476943	C(sex)[T.M]	-0.0997155453807105	0.03572408394734014	0.006054773678748896	-0.17040174892370508	-0.029029341837715925	1.0341868013958861	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.013562693040397526
cnr	contrast	A_acquisition_age_sex	132	83	0.18117811946969842	0.16198698164476943	age	-0.007424598185031088	0.0019071640382794255	0.00015853575787860212	-0.011198248073392644	-0.003650948296669532	1.0789157431589922	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.0011097503051502148
cnr	contrast	B_acquisition_age_sex_anatomy	132	83	0.26134786159360657	0.22589255895009963	"C(software_platform, Treatment(""E11""))[T.XA30]"	-0.061081534359012465	0.08481472747644114	0.47276113587272284	-0.2289404063397953	0.10677733762177034	1.1043504240334137	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.678836502791602
cnr	contrast	B_acquisition_age_sex_anatomy	132	83	0.26134786159360657	0.22589255895009963	C(sex)[T.M]	-0.09611885874787508	0.038291504569802855	0.013343923370404118	-0.1719024986271575	-0.020335218868592644	1.2862671374116312	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.04395645345544886
cnr	contrast	B_acquisition_age_sex_anatomy	132	83	0.26134786159360657	0.22589255895009963	age	-0.004892821821266831	0.001958310219118838	0.013770172618741392	-0.008768560789608571	-0.0010170828529250915	1.2314702819886814	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.06787723962181998
cnr	contrast	B_acquisition_age_sex_anatomy	132	83	0.26134786159360657	0.22589255895009963	icv_etiv	-1.9030697061043323e-07	1.647517558112412e-07	0.25024729845275	-5.163711426023791e-07	1.357572013815127e-07	2.7808277107323653	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.5839103630564167
cnr	contrast	B_acquisition_age_sex_anatomy	132	83	0.26134786159360657	0.22589255895009963	total_wm	4.5917080624292425e-07	4.6153068109511927e-07	0.3217132975405642	-4.5425569194005234e-07	1.3725973044259008e-06	2.7625549912036185	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.46194729903260506
cnr	contrast	B_acquisition_age_sex_anatomy	132	83	0.26134786159360657	0.22589255895009963	mean_cortical_thickness	0.7521230006093422	0.21939883630858795	0.0008235692825678167	0.31790547409679576	1.1863405271218888	1.1686380010010804	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.005124431091533081
