IQM	N_subjects	N_observations	N_longitudinal_subjects	cohort_effect	cohort_p	cohort_q	session_effect	session_se	session_ci_low	session_ci_high	session_p	session_q	interaction	interaction_p	interaction_q	convergence	warnings	status	interaction_coefficients	change_Control	change_Glaucoma	change_Data_ON	change_Data_TON
summary_csf_mad	83	264	49	4.338459718	0.2271598844	0.6482644799	-0.9319452846	1.798828172	-4.457583717	2.593693148	0.6043992016	0.9729486129	0.1958552407	0.9782556141	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.71902 SE=10.6717 CI=[-21.6351,20.197] p=0.9463 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-4.26187 SE=11.1416 CI=[-26.0991,17.5754] p=0.7021 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.795951 SE=4.30963 CI=[-7.65076,9.24266] p=0.8535"	-0.9319452846	-0.1359947219	-1.650965455	-5.19381192
summary_csf_mean	83	264	49	3.414580264	0.3320109246	0.6640218493	0.2809876078	5.043948221	-9.604969244	10.16694446	0.9555745305	0.9729486129	0.9963885245	0.8021258273	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-16.5787 SE=29.7315 CI=[-74.8514,41.694] p=0.5771 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=19.7084 SE=31.2361 CI=[-41.5131,80.93] p=0.5281 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-6.14971 SE=12.0085 CI=[-29.6859,17.3865] p=0.6086"	0.2809876078	-5.868718496	-16.29769495	19.98943611
summary_csf_median	83	264	49	4.66451579	0.1980769547	0.6482644799	0.5344013929	4.671804695	-8.622167553	9.690970339	0.9089297176	0.9729486129	1.215756666	0.7492277461	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-19.5863 SE=28.2818 CI=[-75.0177,35.845] p=0.4886 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=18.8413 SE=29.1696 CI=[-38.3301,76.0127] p=0.5183 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-6.13733 SE=11.2612 CI=[-28.2089,15.9342] p=0.5858"	0.5344013929	-5.602924908	-19.05192961	19.37568085
summary_csf_p05	83	264	49	3.767918751	0.2876398354	0.6611587716	2.206457725	0.9973153872	0.2517554851	4.161159965	0.0269392353	0.7542985884	16.79701223	0.0007780283194	0.02178479294	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-18.2846 SE=6.27867 CI=[-30.5905,-5.97861] p=0.003589 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=17.6282 SE=6.29722 CI=[5.28584,29.9705] p=0.00512 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.604544 SE=2.45477 CI=[-5.41581,4.20672] p=0.8055"	2.206457725	1.601914097	-16.07811293	19.83461315
summary_csf_p95	83	264	49	2.257723964	0.5206682158	0.7216778625	-2.119650246	9.85141001	-21.42805906	17.18875857	0.8296409244	0.9729486129	0.580495305	0.9008826464	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-9.0455 SE=53.0657 CI=[-113.052,94.9613] p=0.8646 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=40.5435 SE=59.5186 CI=[-76.1109,157.198] p=0.4958 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-5.53672 SE=22.6474 CI=[-49.9248,38.8514] p=0.8069"	-2.119650246	-7.656370509	-11.1651494	38.4238387
summary_csf_stdv	83	264	49	2.843228642	0.4164330631	0.7066742889	-2.15820756	3.199161809	-8.428449486	4.112034365	0.4999194039	0.9729486129	0.1722270411	0.9819431356	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.441802 SE=17.5871 CI=[-34.9119,34.0283] p=0.98 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=7.90925 SE=19.4268 CI=[-30.1666,45.9851] p=0.6839 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.313173 SE=7.41721 CI=[-14.8506,14.2243] p=0.9663"	-2.15820756	-2.471380399	-2.60000991	5.751039632
summary_gm_k	83	264	49	0.6192698858	0.8920071496	0.8920071496	0.02314711735	0.3859176631	-0.7332376034	0.7795318381	0.9521720262	0.9729486129	1.229319447	0.7459812254	0.9930506376	True	Gradient optimization failed, |grad| = 2.288089 | Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Retrying MixedLM optimization with cg | Retrying MixedLM optimization with lbfgs | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=2.10323 SE=2.02582 CI=[-1.8673,6.07376] p=0.2992 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.62589 SE=2.31993 CI=[-5.17287,3.92109] p=0.7873 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.150544 SE=0.878117 CI=[-1.87162,1.57053] p=0.8639"	0.02314711735	-0.1273969344	2.126374927	-0.6027431294
summary_gm_mad	83	264	49	8.134585242	0.04331060084	0.3575425972	-0.5994017515	0.7986927003	-2.164810679	0.9660071758	0.4529665289	0.9729486129	1.810710507	0.6126069876	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3.24071 SE=4.28585 CI=[-11.6408,5.15941] p=0.4496 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=4.80356 SE=4.79635 CI=[-4.59712,14.2042] p=0.3166 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.761177 SE=1.82889 CI=[-4.34574,2.82339] p=0.6773"	-0.5994017515	-1.360578332	-3.840110412	4.204156721
summary_gm_mean	83	264	49	2.457966717	0.4829353535	0.7216778625	1.161587681	6.139850987	-10.87229912	13.19547449	0.8499452743	0.9729486129	0.4966941692	0.9196170857	0.9930506376	True	Maximum Likelihood optimization failed to converge. Check mle_retvals | Retrying MixedLM optimization with lbfgs | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=13.8253 SE=32.9316 CI=[-50.7195,78.3701] p=0.6746 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=19.815 SE=37.9635 CI=[-54.5921,94.222] p=0.6017 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=1.50761 SE=14.5843 CI=[-27.0771,30.0924] p=0.9177"	1.161587681	2.669201862	14.98686188	20.97654445
summary_gm_median	83	264	49	2.381516273	0.4970846369	0.7216778625	1.197523211	6.128871973	-10.81484512	13.20989154	0.8450872722	0.9729486129	0.5214235535	0.9141601623	0.9930506376	True	Maximum Likelihood optimization failed to converge. Check mle_retvals | Retrying MixedLM optimization with lbfgs | The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=15.3236 SE=32.1623 CI=[-47.7134,78.3605] p=0.6338 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=20.0546 SE=36.9278 CI=[-52.3225,92.4317] p=0.5871 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.910999 SE=14.1643 CI=[-26.8504,28.6724] p=0.9487"	1.197523211	2.108522397	16.52107483	21.2521127
