IQM	IQM_family	model	predictor	term	coefficient	SE	statistic	p_value	q_value	CI_low	CI_high	std_coefficient	n_observations	n_subjects	converged	status	exclusion_reason	fdr_family	exploratory	acquisition_variable
snrd_gm	signal / SNR	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-2.520869742	11.91482449	-0.2115742236	0.8324392206	0.9169726886	-25.87349663	20.83175715	-0.07976718367	133	83	True	ok		model_A_Data_ON	False	
snrd_total	signal / SNR	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-2.63530654	11.36026957	-0.2319757048	0.8165568839	0.9169726886	-24.90102574	19.63041266	-0.08769091993	133	83	True	ok		model_A_Data_ON	False	
snrd_wm	signal / SNR	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-3.836870921	15.92979223	-0.2408613286	0.8096625952	0.9169726886	-35.05868997	27.38494813	-0.09075851182	133	83	True	ok		model_A_Data_ON	False	
summary_bg_k	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-130.1127746	625.0463217	-0.2081650113	0.8351001271	0.9169726886	-1355.181054	1094.955505	-0.0840076774	133	83	True	ok		model_A_Data_ON	False	
summary_bg_mad	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.3526273186	0.9938831085	-0.3547975769	0.7227412438	0.9169726886	-2.300602416	1.595347779	-0.1349395369	133	83	True	ok		model_A_Data_ON	False	
summary_bg_mean	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.6446279843	1.890821257	-0.3409248664	0.7331601444	0.9169726886	-4.350569548	3.06131358	-0.1265415593	133	83	True	ok		model_A_Data_ON	False	
summary_bg_median	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.2378438679	0.6703649727	-0.3547975769	0.7227412438	0.9169726886	-1.551735071	1.076047335	-0.1349395369	133	83	True	ok		model_A_Data_ON	False	
summary_bg_p95	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.8397751849	5.789925275	-0.1450407639	0.8846786871	0.9347548392	-12.1878202	10.50826983	-0.05461002316	133	83	True	ok		model_A_Data_ON	False	
summary_bg_stdv	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-3.702147968	8.767096743	-0.4222775311	0.6728224564	0.9169726886	-20.88534183	13.4810459	-0.1559292557	133	83	True	ok		model_A_Data_ON	False	
summary_csf_k	intensity	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.1319441352	0.05954336413	2.215933498	0.02669605694	0.3737447971	0.01524128597	0.2486469844	0.879556491	133	83	True	ok		model_A_Data_ON	False	
