PC	variance_explained	rank	IQM	loading	abs_loading	family
PC7	0.03677002815	8	summary_bg_k	-0.2195257052	0.2195257052	intensity_summary
PC7	0.03677002815	9	snr_wm	0.2103972909	0.2103972909	snr
PC7	0.03677002815	10	fwhm_z	-0.1997080982	0.1997080982	smoothness
PC8	0.02601507964	1	rpve_wm	0.390264182	0.390264182	partial_volume
PC8	0.02601507964	2	rpve_gm	0.3860702314	0.3860702314	partial_volume
PC8	0.02601507964	3	rpve_csf	0.3842889492	0.3842889492	partial_volume
PC8	0.02601507964	4	tpm_overlap_gm	-0.315663753	0.315663753	template_overlap
PC8	0.02601507964	5	snr_csf	0.2409064603	0.2409064603	snr
PC8	0.02601507964	6	summary_csf_mad	-0.2191707927	0.2191707927	intensity_summary
PC8	0.02601507964	7	snr_wm	0.1938038571	0.1938038571	snr
PC8	0.02601507964	8	summary_wm_stdv	-0.188638634	0.188638634	intensity_summary
PC8	0.02601507964	9	summary_wm_p05	0.1789425706	0.1789425706	intensity_summary
PC8	0.02601507964	10	fber	-0.1606474381	0.1606474381	energy
PC9	0.02046336668	1	summary_csf_k	0.5200007757	0.5200007757	intensity_summary
PC9	0.02046336668	2	summary_bg_k	-0.4937201908	0.4937201908	intensity_summary
PC9	0.02046336668	3	tpm_overlap_wm	-0.3727853806	0.3727853806	template_overlap
PC9	0.02046336668	4	fber	0.2488698078	0.2488698078	energy
PC9	0.02046336668	5	tpm_overlap_gm	-0.2351818786	0.2351818786	template_overlap
PC9	0.02046336668	6	efc	-0.1830263351	0.1830263351	entropy
PC9	0.02046336668	7	qi_2	0.1777985375	0.1777985375	artifact
PC9	0.02046336668	8	summary_wm_median	-0.1393035597	0.1393035597	intensity_summary
PC9	0.02046336668	9	summary_wm_mean	-0.1106398176	0.1106398176	intensity_summary
PC9	0.02046336668	10	summary_csf_p05	-0.1062605166	0.1062605166	intensity_summary
PC10	0.01712710198	1	summary_bg_k	0.4570359158	0.4570359158	intensity_summary
PC10	0.01712710198	2	tpm_overlap_wm	-0.3316471528	0.3316471528	template_overlap
PC10	0.01712710198	3	tpm_overlap_gm	-0.3127854524	0.3127854524	template_overlap
PC10	0.01712710198	4	qi_2	-0.2714800598	0.2714800598	artifact
PC10	0.01712710198	5	icvs_csf	-0.2510270638	0.2510270638	tissue_fraction
PC10	0.01712710198	6	summary_wm_median	-0.2067166212	0.2067166212	intensity_summary
PC10	0.01712710198	7	summary_bg_p95	0.1860524039	0.1860524039	intensity_summary
PC10	0.01712710198	8	summary_bg_median	0.1750191024	0.1750191024	intensity_summary
PC10	0.01712710198	9	summary_bg_mad	0.1750191024	0.1750191024	intensity_summary
PC10	0.01712710198	10	summary_gm_mad	-0.1496177779	0.1496177779	intensity_summary
