subject	session	n_t1w	run	acq	ProtocolName	SeriesDescription	ImageType	NORM_status	SeriesInstanceUID	AcquisitionNumber	SeriesNumber	RepetitionTime	EchoTime	FlipAngle	SliceThickness	voxel_size	size_x	size_y	size_z	SAR	ShimSetting	series_time	n_dicom_files	dicom_match	n_acquisition_clusters	session_pattern	has_norm_non_norm_pair	consecutive_series	same_acquisition_parameters	same_SeriesInstanceUID	series_time_delta_s	json_differing_keys	bids_name
sub-054	ses-02	2	1		T1w_MPR	T1w_MPR_ND	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081409095199752700748.0.0.0	1	3	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			90952.72	2	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.015	SeriesDescription,SeriesNumber	sub-054_ses-02_run-01_T1w
sub-054	ses-02	2	3		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081409025497007100620.0.0.0	1	4	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			90952.735	2	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.015	SeriesDescription,SeriesNumber	sub-054_ses-02_run-03_T1w
sub-056	ses-01	2	1		T1w_MPR	T1w_MPR_ND	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081115523173260500748.0.0.0	1	3	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			155232.176	1	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.047	SeriesDescription,SeriesNumber	sub-056_ses-01_run-01_T1w
sub-056	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,NONE	non-NORM	1.3.12.2.1107.5.2.43.166092.2025081115453014046300620.0.0.0	1	4	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0			155232.223	1	unique	1	PAIRED_RECONSTRUCTIONS_OTHER	False	True	True	False	0.047	SeriesDescription,SeriesNumber	sub-056_ses-01_run-02_T1w
sub-057	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2024052817512558628051679.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0373254	-1596,1251,-11224,372,81,-147,15,32	175140.5	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.383	ImageType,SeriesNumber	sub-057_ses-01_run-01_T1w
sub-057	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2024052817442480082551456.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0373254	-1596,1251,-11224,372,81,-147,15,32	175140.883	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.383	ImageType,SeriesNumber	sub-057_ses-01_run-02_T1w
sub-057	ses-02	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2024121315370839828863877.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0333311	-1582,1253,-11235,471,11,-101,-6,42	153725.678	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.484	ImageType,SeriesNumber	sub-057_ses-02_run-01_T1w
sub-057	ses-02	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2024121315300560798663658.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0333311	-1582,1253,-11235,471,11,-101,-6,42	153726.162	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.484	ImageType,SeriesNumber	sub-057_ses-02_run-02_T1w
sub-058	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2025022610350038257147711.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.038161	-1551,1256,-11303,332,85,-276,16,24	103506.812	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.217	ImageType,SeriesNumber	sub-058_ses-01_run-01_T1w
sub-058	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2025022610275564172247486.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.038161	-1551,1256,-11303,332,85,-276,16,24	103507.029	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.217	ImageType,SeriesNumber	sub-058_ses-01_run-02_T1w
sub-059	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2025050310552075887147712.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0359415	-1529,1313,-11261,410,103,78,12,54	105533.925	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.343	ImageType,SeriesNumber	sub-059_ses-01_run-01_T1w
sub-059	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2025050310480451080347487.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0359415	-1529,1313,-11261,410,103,78,12,54	105534.268	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.343	ImageType,SeriesNumber	sub-059_ses-01_run-02_T1w
sub-060	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.20250517124158439922839.0.0.0	1	52	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.038303	-1571,1215,-11240,676,16,-287,32,81	124203.801	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.209	ImageType,SeriesNumber	sub-060_ses-01_run-01_T1w
