IQM	N_subjects	N_observations	N_longitudinal_subjects	cohort_effect	cohort_se	cohort_ci_low	cohort_ci_high	cohort_p	cohort_q	cohort_wald	session_effect	session_se	session_ci_low	session_ci_high	session_p	session_q	interaction	interaction_se	interaction_ci_low	interaction_ci_high	interaction_p	interaction_q	glaucoma_cohort_estimate	glaucoma_interaction	convergence	warnings	status	interaction_coefficients	change_Control	change_Glaucoma	change_Data_ON	change_Data_TON
icvs_wm	83	132	49	0.001125725302	0.001798463497	-0.00239919838	0.004650648984	0.003835879858	0.0429618544	13.40608027	-0.0005898891065	0.0009174559929	-0.00238806981	0.001208291597	0.5202489227	0.9321049595	4.345312414	0.002137690481	-0.00575976372	0.002619828986	0.2265100806	0.9446676846	0.001125725302	-0.001569967367	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0105457 SE=0.00561346 CI=[-0.000456502,0.0215478] p=0.06029 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00191541 SE=0.00560151 CI=[-0.00906334,0.0128942] p=0.7324 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00156997 SE=0.00213769 CI=[-0.00575976,0.00261983] p=0.4627"	-0.0005898891065	-0.002159856474	0.009955784629	0.001325523001
inu_med	83	132	49	0.01121926328	0.03023111713	-0.04803263751	0.07047116407	2.668036687e-06	0.0001494100545	28.63798672	-0.007823198267	0.02119815472	-0.04937081805	0.03372442152	0.712089779	0.9722204101	2.392485341	0.04745917406	-0.1094115929	0.07662495089	0.4950350071	0.9611864791	0.01121926328	-0.016393321	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.189901 SE=0.130633 CI=[-0.0661344,0.445937] p=0.146 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0208361 SE=0.125387 CI=[-0.224917,0.26659] p=0.868 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0163933 SE=0.0474592 CI=[-0.109412,0.076625] p=0.7298"	-0.007823198267	-0.02421651927	0.182078277	0.01301292874
inu_range	83	132	49	0.02318837538	0.0563880708	-0.08733021256	0.1337069633	0.04636098431	0.172407776	7.983161849	-0.04133975571	0.02537736248	-0.0910784722	0.008398960775	0.1033127501	0.5667909205	4.336144405	0.05986062054	-0.121588404	0.1130609167	0.2273798205	0.9446676846	0.02318837538	-0.004263743623	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.294378 SE=0.150904 CI=[-0.00138864,0.590145] p=0.05109 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.115177 SE=0.156757 CI=[-0.192062,0.422415] p=0.4625 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00426374 SE=0.0598606 CI=[-0.121588,0.113061] p=0.9432"	-0.04133975571	-0.04560349934	0.2530382318	0.07383686053
qi_2	83	132	49	6.226431928e-05	0.0001644307607	-0.0002600140497	0.0003845426882	0.641077317	0.6527332683	1.681398077	-4.806730651e-05	7.982118558e-05	-0.0002045139555	0.0001083793424	0.5470494494	0.9321049595	1.223507244	0.0001879990041	-0.000268425843	0.0004685167114	0.7473720001	0.9674290517	6.226431928e-05	0.0001000454342	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.000225636 SE=0.000469395 CI=[-0.00114563,0.000694362] p=0.6307 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00041421 SE=0.000493216 CI=[-0.000552477,0.0013809] p=0.401 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.000100045 SE=0.000187999 CI=[-0.000268426,0.000468517] p=0.5946"	-4.806730651e-05	5.197812771e-05	-0.0002737031814	0.0003661426771
rpve_csf	83	132	49	-0.06060157727	0.1703690603	-0.3945187995	0.273315645	0.544800654	0.5779273237	2.135318735	0.01667762368	0.008538481275	-5.749210534e-05	0.03341273946	0.05079226599	0.4247353775	14.16402257	0.02069038324	-0.07386142258	0.007243389376	0.002690181754	0.05021672607	-0.06060157727	-0.0333090166	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.187541 SE=0.0539718 CI=[-0.293324,-0.0817583] p=0.0005112 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.03157 SE=0.053991 CI=[-0.13739,0.0742503] p=0.5587 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.033309 SE=0.0206904 CI=[-0.0738614,0.00724339] p=0.1074"	0.01667762368	-0.01663139292	-0.1708634125	-0.0148923832
rpve_gm	83	132	49	-0.06294991155	0.1706297419	-0.3973780604	0.2714782373	0.546989683	0.5779273237	2.124412876	0.01891257604	0.008578268436	0.002099478857	0.03572567322	0.02747459963	0.4247353775	15.93300208	0.02078674407	-0.07391510927	0.007567430193	0.001170418747	0.03277172492	-0.06294991155	-0.03317383954	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.20166 SE=0.0542226 CI=[-0.307934,-0.0953855] p=0.0001999 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0374378 SE=0.0542424 CI=[-0.143751,0.0688753] p=0.4901 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0331738 SE=0.0207867 CI=[-0.0739151,0.00756743] p=0.1105"	0.01891257604	-0.0142612635	-0.1827472614	-0.01852517794
rpve_wm	83	132	49	-0.06023340193	0.1703818419	-0.3941756757	0.2737088718	0.5572870622	0.5779273237	2.073526544	0.01896440073	0.00859101948	0.002126311962	0.0358024895	0.02728137907	0.4247353775	16.80643643	0.02081761066	-0.07785326987	0.003750264422	0.0007745658639	0.03277172492	-0.06023340193	-0.03705150272	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.205019 SE=0.054303 CI=[-0.311451,-0.098587] p=0.0001597 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0341188 SE=0.0543229 CI=[-0.14059,0.0723521] p=0.53 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0370515 SE=0.0208176 CI=[-0.0778533,0.00375026] p=0.07511"	0.01896440073	-0.01808710199	-0.1860544593	-0.01515443585
snr_csf	83	132	49	-0.01801335644	0.04086392629	-0.09810518024	0.06207846736	0.05213422942	0.172407776	7.721410912	0.01518751017	0.01259161531	-0.009491602335	0.03986662268	0.2277555755	0.8027424324	3.171017418	0.03023310953	-0.04792478484	0.07058682679	0.366001778	0.9611864791	-0.01801335644	0.01133102098	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.105504 SE=0.0776501 CI=[-0.257696,0.046687] p=0.1742 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0823471 SE=0.0789403 CI=[-0.072373,0.237067] p=0.2969 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.011331 SE=0.0302331 CI=[-0.0479248,0.0705868] p=0.7078"	0.01518751017	0.02651853115	-0.09031694882	0.09753462841
snr_gm	83	132	49	-0.2152465581	0.145196086	-0.4998256573	0.06933254109	0.4372004779	0.499657689	2.717861327	0.03515837345	0.04560477979	-0.05422535246	0.1245420994	0.4407447772	0.9321049595	2.409969474	0.1092671631	-0.1051974686	0.3231219401	0.4917815065	0.9611864791	-0.2152465581	0.1089622358	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.26793 SE=0.281089 CI=[-0.818855,0.282995] p=0.3405 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.159856 SE=0.286415 CI=[-0.721218,0.401506] p=0.5768 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.108962 SE=0.109267 CI=[-0.105197,0.323122] p=0.3187"	0.03515837345	0.1441206092	-0.2327718251	-0.1246975834
snr_total	83	132	49	-0.1588818299	0.1138715701	-0.3820660062	0.06430234636	0.0632001455	0.172407776	7.290243472	0.05036614589	0.0409303248	-0.02985581659	0.1305881084	0.2184972982	0.8027424324	2.92648582	0.09767310243	-0.1093526844	0.2735188416	0.403099047	0.9611864791	-0.1588818299	0.08208307859	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.352267 SE=0.251074 CI=[-0.844363,0.139828] p=0.1606 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.062266 SE=0.256555 CI=[-0.565105,0.440573] p=0.8082 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0820831 SE=0.0976731 CI=[-0.109353,0.273519] p=0.4007"	0.05036614589	0.1324492245	-0.3019012665	-0.01189986994
