bold_stem	subject	session	has_physio	channels	in_release
sub-019_ses-02_task-rest_run-01	sub-019	ses-02	True	pulse;respiratory;trigger	True
sub-020_ses-01_task-rest_run-01	sub-020	ses-01	True	pulse;respiratory;trigger	True
sub-021_ses-01_task-rest_run-01	sub-021	ses-01	True	pulse;respiratory;trigger	True
sub-021_ses-02_task-rest_run-01	sub-021	ses-02	True	pulse;respiratory;trigger	True
sub-021_ses-02_task-rest_run-03	sub-021	ses-02	False		True
sub-022_ses-01_task-rest_run-01	sub-022	ses-01	True	pulse;respiratory;trigger	True
sub-022_ses-02_task-rest_run-01	sub-022	ses-02	True	pulse;respiratory;trigger	True
sub-023_ses-01_task-rest_run-01	sub-023	ses-01	True	pulse;respiratory;trigger	True
sub-023_ses-02_task-rest_run-01	sub-023	ses-02	True	pulse;respiratory;trigger	True
sub-024_ses-01_task-rest_run-01	sub-024	ses-01	True	pulse;respiratory;trigger	True
sub-024_ses-02_task-rest_run-01	sub-024	ses-02	True	pulse;respiratory;trigger	True
sub-025_ses-01_task-rest_run-01	sub-025	ses-01	True	pulse;respiratory;trigger	True
sub-025_ses-02_task-rest_run-01	sub-025	ses-02	True	pulse;respiratory;trigger	True
sub-026_ses-01_task-rest_run-01	sub-026	ses-01	True	pulse;respiratory;trigger	True
sub-026_ses-02_task-rest_run-01	sub-026	ses-02	True	pulse;respiratory;trigger	True
sub-027_ses-01_task-rest_run-01	sub-027	ses-01	True	pulse;respiratory	True
sub-027_ses-02_task-rest_run-01	sub-027	ses-02	True	pulse;respiratory;trigger	True
sub-028_ses-01_task-rest_run-01	sub-028	ses-01	True	pulse;respiratory	True
sub-028_ses-02_task-rest_run-01	sub-028	ses-02	True	pulse;respiratory;trigger	True
sub-029_ses-01_task-rest_run-01	sub-029	ses-01	True	respiratory;trigger	True
sub-029_ses-02_task-rest_run-01	sub-029	ses-02	True	pulse;respiratory;trigger	True
sub-030_ses-01_task-rest_run-01	sub-030	ses-01	True	pulse;respiratory;trigger	True
sub-030_ses-02_task-rest_run-01	sub-030	ses-02	True	pulse;respiratory;trigger	True
sub-031_ses-01_task-rest_run-01	sub-031	ses-01	True	respiratory;trigger	True
sub-031_ses-02_task-rest_run-01	sub-031	ses-02	True	pulse;respiratory;trigger	True
sub-032_ses-01_task-rest_run-01	sub-032	ses-01	True	pulse;respiratory;trigger	True
sub-033_ses-01_task-rest_run-01	sub-033	ses-01	True	pulse;respiratory;trigger	True
