path_original	path_resolved	exists	subject_source	session_source	extension	inventory_category	paradigm	role	size_bytes	contents_summary	potential_bids_destination
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/CheckerFlickerSine.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/CheckerFlickerSine.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	6004	Psychtoolbox presentation / timing definition	bids/stimuli/CheckerFlickerSine.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/CheckerFlickerSquare.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/CheckerFlickerSquare.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	6062	Psychtoolbox presentation / timing definition	bids/stimuli/CheckerFlickerSquare.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/CheckerMoveSine.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/CheckerMoveSine.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	4276	Psychtoolbox presentation / timing definition	bids/stimuli/CheckerMoveSine.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/CheckerMoveSquare.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/CheckerMoveSquare.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	4301	Psychtoolbox presentation / timing definition	bids/stimuli/CheckerMoveSquare.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus1.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus1.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	489	Psychtoolbox presentation / timing definition	bids/stimuli/GratingStimulus1.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus2.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus2.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	485	Psychtoolbox presentation / timing definition	bids/stimuli/GratingStimulus2.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus3.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus3.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	483	Psychtoolbox presentation / timing definition	bids/stimuli/GratingStimulus3.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus4.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus4.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	499	Psychtoolbox presentation / timing definition	bids/stimuli/GratingStimulus4.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus5.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GratingStimulus5.m	True	SUBC001	ses-01	.m	stimulus	task-fmri	stimulus_script	497	Psychtoolbox presentation / timing definition	bids/stimuli/GratingStimulus5.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GreenLevel.mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/2-Grating/GreenLevel.mat	True	SUBC001	ses-01	.mat	stimulus	task-fmri	display_calibration	1936	RGB gun levels	bids/stimuli/GreenLevel.mat
