participant_id	session_id	fmri_number	destination	status	method	reason	n_events	scan_info	stim_order	already_existed
sub-050	ses-01	4	sub-050/ses-01/func/sub-050_ses-01_task-fmri_run-03_events.tsv	skipped_existing	strict_runs_random	actual triggerTimes + recorded paradigm + matching stimulus order; no default TR or synthesized timing; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC51_Session01_2024OCT15/SUBC051_Session01_2024OCT15_matlab/2-Grating/Results/October-15-2024_ 1-52-16_PM__scan_info_for_subject_SUBC051_Session01__selected_run_is_5__fmri_number_is4.mat	/project/def-amirs/raw_original/Control/SUBC51_Session01_2024OCT15/SUBC051_Session01_2024OCT15_matlab/2-Grating/Results/fMRI_4.mat	True
sub-052	ses-01	1	sub-052/ses-01/func/sub-052_ses-01_task-fmri_run-05_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC53_Session01_2024NOV08/SUBC053_Session01_2024NOV08_MATLAB/2-Grating/Results/November-08-2024_ 8-34-17_AM__scan_info_for_subject_SUBC053__selected_run_is_1__fmri_number_is1.mat	/project/def-amirs/raw_original/Control/SUBC53_Session01_2024NOV08/SUBC053_Session01_2024NOV08_MATLAB/2-Grating/Results/fMRI_1.mat	False
sub-052	ses-01	2	sub-052/ses-01/func/sub-052_ses-01_task-fmri_run-07_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC53_Session01_2024NOV08/SUBC053_Session01_2024NOV08_MATLAB/2-Grating/Results/November-08-2024_ 8-38-23_AM__scan_info_for_subject_SUBC053__selected_run_is_4__fmri_number_is2.mat	/project/def-amirs/raw_original/Control/SUBC53_Session01_2024NOV08/SUBC053_Session01_2024NOV08_MATLAB/2-Grating/Results/fMRI_2.mat	False
sub-052	ses-01	3	sub-052/ses-01/func/sub-052_ses-01_task-fmri_run-01_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC53_Session01_2024NOV08/SUBC053_Session01_2024NOV08_MATLAB/2-Grating/Results/November-08-2024_ 8-44-17_AM__scan_info_for_subject_SUBC053__selected_run_is_2__fmri_number_is3.mat	/project/def-amirs/raw_original/Control/SUBC53_Session01_2024NOV08/SUBC053_Session01_2024NOV08_MATLAB/2-Grating/Results/fMRI_3.mat	False
sub-052	ses-01	4	sub-052/ses-01/func/sub-052_ses-01_task-fmri_run-03_events.tsv	skipped_existing	strict_runs_random	actual triggerTimes + recorded paradigm + matching stimulus order; no default TR or synthesized timing; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC53_Session01_2024NOV08/SUBC053_Session01_2024NOV08_MATLAB/2-Grating/Results/November-08-2024_ 8-48-22_AM__scan_info_for_subject_SUBC053__selected_run_is_5__fmri_number_is4.mat	/project/def-amirs/raw_original/Control/SUBC53_Session01_2024NOV08/SUBC053_Session01_2024NOV08_MATLAB/2-Grating/Results/fMRI_4.mat	True
sub-052	ses-02	1	sub-052/ses-02/func/sub-052_ses-02_task-fmri_run-05_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC53_Session02_2025MAY05/SUBC053_Session02_2025MAY05_matlab/2-Grating/Results/May-05-2025_ 8-21-04_AM__scan_info_for_subject_SUBC53-Session2-2025May05__selected_run_is_1__fmri_number_is1.mat	/project/def-amirs/raw_original/Control/SUBC53_Session02_2025MAY05/SUBC053_Session02_2025MAY05_matlab/2-Grating/Results/fMRI_1.mat	False
sub-052	ses-02	2	sub-052/ses-02/func/sub-052_ses-02_task-fmri_run-07_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC53_Session02_2025MAY05/SUBC053_Session02_2025MAY05_matlab/2-Grating/Results/May-05-2025_ 8-25-28_AM__scan_info_for_subject_SUBC53-Session2-2025May05__selected_run_is_4__fmri_number_is2.mat	/project/def-amirs/raw_original/Control/SUBC53_Session02_2025MAY05/SUBC053_Session02_2025MAY05_matlab/2-Grating/Results/fMRI_2.mat	False
sub-052	ses-02	3	sub-052/ses-02/func/sub-052_ses-02_task-fmri_run-01_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC53_Session02_2025MAY05/SUBC053_Session02_2025MAY05_matlab/2-Grating/Results/May-05-2025_ 8-30-34_AM__scan_info_for_subject_SUBC53-Session2-2025May05__selected_run_is_2__fmri_number_is3.mat	/project/def-amirs/raw_original/Control/SUBC53_Session02_2025MAY05/SUBC053_Session02_2025MAY05_matlab/2-Grating/Results/fMRI_3.mat	False
sub-052	ses-02	4	sub-052/ses-02/func/sub-052_ses-02_task-fmri_run-03_events.tsv	written	strict_runs_random	actual triggerTimes + recorded paradigm + matching stimulus order; no default TR or synthesized timing; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC53_Session02_2025MAY05/SUBC053_Session02_2025MAY05_matlab/2-Grating/Results/May-05-2025_ 8-34-36_AM__scan_info_for_subject_SUBC53-Session2-2025May05__selected_run_is_5__fmri_number_is4.mat	/project/def-amirs/raw_original/Control/SUBC53_Session02_2025MAY05/SUBC053_Session02_2025MAY05_matlab/2-Grating/Results/fMRI_4.mat	False
sub-053	ses-01	1	sub-053/ses-01/func/sub-053_ses-01_task-fmri_run-05_events.tsv	written	canonical_paradigm	actual triggerTimes + canonical presentStimParams paradigm + Stim_order_selected; runs_random not required; terminal boundary derived as final trigger + measured median TR; matched by recorded BOLD protocol metadata	25	/project/def-amirs/raw_original/Control/SUBC54_Session01_2024NOV29/SUBC054_Session01_2024NOV29_matlab/2-Grating/Results/November-29-2024_ 3-00-22_PM__scan_info_for_subject_SUBC054_Session01_2024NOV29__selected_run_is_1__fmri_number_is1.mat	/project/def-amirs/raw_original/Control/SUBC54_Session01_2024NOV29/SUBC054_Session01_2024NOV29_matlab/2-Grating/Results/fMRI_1.mat	False
