participant_id	session_id	bids_run	has_events_tsv	reconstruction_status	in_level1_session	can_reconstruct_complete_events	blockers
sub-054	ses-01	03	True	already_released	True	YES	
sub-059	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-059	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-059	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-059	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-053	ses-01	03	True	already_released	True	YES	
sub-053	ses-01	01	True	already_released	True	YES	
sub-053	ses-01	07	True	already_released	True	YES	
sub-053	ses-01	05	True	already_released	True	YES	
sub-024	ses-02	11	False	reconstructable_with_mapping_fix	True	YES	
sub-024	ses-02	08	True	already_released	True	YES	
sub-024	ses-02	03	False	reconstructable_with_mapping_fix	True	YES	
sub-024	ses-02	01	False	reconstructable_with_mapping_fix	True	YES	
sub-024	ses-02	07	False	reconstructable_with_mapping_fix	True	YES	
sub-024	ses-02	05	True	already_released	True	YES	
sub-024	ses-01	03	True	already_released	True	YES	
sub-024	ses-01	01	True	already_released	True	YES	
sub-024	ses-01	05	True	already_released	True	YES	
sub-016	ses-02	09	False	reconstructable_with_mapping_fix	True	YES	
sub-016	ses-02	01	True	already_released	True	YES	
sub-016	ses-02	03	True	already_released	True	YES	
sub-016	ses-02	05	True	already_released	True	YES	
sub-016	ses-02	07	False	reconstructable_with_mapping_fix	True	YES	
sub-016	ses-01	01	True	already_released	True	YES	
sub-016	ses-01	03	True	already_released	True	YES	
sub-016	ses-01	05	True	already_released	True	YES	
sub-016	ses-01	07	True	already_released	True	YES	
sub-061	ses-01	09	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-061	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-061	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-061	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-061	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-040	ses-02	01	True	already_released	True	YES	
sub-040	ses-02	03	True	already_released	True	YES	
sub-040	ses-02	05	True	already_released	True	YES	
sub-040	ses-02	07	True	already_released	True	YES	
sub-040	ses-01	09	False	reconstructable_with_mapping_fix	True	YES	
sub-040	ses-01	05	True	already_released	True	YES	
sub-040	ses-01	07	False	reconstructable_with_mapping_fix	True	YES	
sub-040	ses-01	01	True	already_released	True	YES	
sub-040	ses-01	03	True	already_released	True	YES	
sub-037	ses-01	05	True	already_released	True	YES	
sub-037	ses-01	07	True	already_released	True	YES	
sub-037	ses-01	01	True	already_released	True	YES	
sub-037	ses-01	03	True	already_released	True	YES	
sub-005	ses-01	07	True	already_released	True	YES	
sub-005	ses-01	05	True	already_released	True	YES	
sub-005	ses-01	03	True	already_released	True	YES	
sub-005	ses-01	01	True	already_released	True	YES	
sub-005	ses-02	07	True	already_released	True	YES	
sub-005	ses-02	05	True	already_released	True	YES	
sub-005	ses-02	03	True	already_released	True	YES	
sub-005	ses-02	01	True	already_released	True	YES	
sub-072	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-072	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-072	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-072	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-078	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-078	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-078	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-078	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
