protocol	metric	n	median	p95
T1w_MPR	cnr	250	1.3377429144765267	1.8745105947133018
T1w_MPR	cjv	250	0.7080549528301887	0.9590765872329916
T1w_MPR	efc	250	0.5607	0.6192
T1w_MPR	inu_med	250	0.8702973872423172	1.056049168109894
WMn_MPRAGE_sagittal	cnr	104	1.713063162682411	1.9580709761935158
WMn_MPRAGE_sagittal	cjv	104	0.5433689959759656	0.8043039269205535
WMn_MPRAGE_sagittal	efc	104	0.51005	0.5737199999999999
WMn_MPRAGE_sagittal	inu_med	104	1.0598393380641937	1.1730414569377898
