subject	session	release_relative_path	original_release_size	replacement_file	status	json_source	notes
sub-046	ses-01	sub-046/ses-01/anat/sub-046_ses-01_run-02_TB1TFL.nii.gz	80237	/home/alexrees/scratch/derivatives/defacing/sub-046/ses-01/anat/sub-046_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 80237 -> 14905
sub-046	ses-02	sub-046/ses-02/anat/sub-046_ses-02_run-01_TB1TFL.nii.gz	81443	/home/alexrees/scratch/derivatives/defacing/sub-046/ses-02/anat/sub-046_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 81443 -> 79039
sub-046	ses-02	sub-046/ses-02/anat/sub-046_ses-02_run-02_TB1TFL.nii.gz	78813	/home/alexrees/scratch/derivatives/defacing/sub-046/ses-02/anat/sub-046_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78813 -> 20207
sub-047	ses-01	sub-047/ses-01/anat/sub-047_ses-01_run-01_TB1TFL.nii.gz	84233	/home/alexrees/scratch/derivatives/defacing/sub-047/ses-01/anat/sub-047_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84233 -> 82611
sub-047	ses-01	sub-047/ses-01/anat/sub-047_ses-01_run-02_TB1TFL.nii.gz	79566	/home/alexrees/scratch/derivatives/defacing/sub-047/ses-01/anat/sub-047_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79566 -> 16996
sub-047	ses-02	sub-047/ses-02/anat/sub-047_ses-02_run-01_TB1TFL.nii.gz	84729	/home/alexrees/scratch/derivatives/defacing/sub-047/ses-02/anat/sub-047_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84729 -> 84889
sub-047	ses-02	sub-047/ses-02/anat/sub-047_ses-02_run-02_TB1TFL.nii.gz	79367	/home/alexrees/scratch/derivatives/defacing/sub-047/ses-02/anat/sub-047_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 79367 -> 16415
sub-048	ses-01	sub-048/ses-01/anat/sub-048_ses-01_run-01_TB1TFL.nii.gz	85963	/home/alexrees/scratch/derivatives/defacing/sub-048/ses-01/anat/sub-048_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 85963 -> 87893
sub-048	ses-01	sub-048/ses-01/anat/sub-048_ses-01_run-02_TB1TFL.nii.gz	80643	/home/alexrees/scratch/derivatives/defacing/sub-048/ses-01/anat/sub-048_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 80643 -> 14823
sub-048	ses-02	sub-048/ses-02/anat/sub-048_ses-02_run-01_TB1TFL.nii.gz	84910	/home/alexrees/scratch/derivatives/defacing/sub-048/ses-02/anat/sub-048_ses-02_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 84910 -> 86490
sub-048	ses-02	sub-048/ses-02/anat/sub-048_ses-02_run-02_TB1TFL.nii.gz	81528	/home/alexrees/scratch/derivatives/defacing/sub-048/ses-02/anat/sub-048_ses-02_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 81528 -> 22390
sub-049	ses-01	sub-049/ses-01/anat/sub-049_ses-01_run-01_TB1TFL.nii.gz	81394	/home/alexrees/scratch/derivatives/defacing/sub-049/ses-01/anat/sub-049_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 81394 -> 78259
sub-049	ses-01	sub-049/ses-01/anat/sub-049_ses-01_run-02_TB1TFL.nii.gz	78413	/home/alexrees/scratch/derivatives/defacing/sub-049/ses-01/anat/sub-049_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 78413 -> 19207
sub-050	ses-01	sub-050/ses-01/anat/sub-050_ses-01_run-01_TB1TFL.nii.gz	87900	/home/alexrees/scratch/derivatives/defacing/sub-050/ses-01/anat/sub-050_ses-01_run-01_TB1TFL.nii.gz	REPLACED	defacing	size 87900 -> 91697
sub-050	ses-01	sub-050/ses-01/anat/sub-050_ses-01_run-02_TB1TFL.nii.gz	80615	/home/alexrees/scratch/derivatives/defacing/sub-050/ses-01/anat/sub-050_ses-01_run-02_TB1TFL.nii.gz	REPLACED	defacing	size 80615 -> 18721
