priority_basis	rank	image_identifier	subject	session	run	filename	model_estimated_artifact_probability	model_uncertainty	model_confidence	image_path
high_model_estimated_artifact_probability	22	sub-071_ses-01_run-02_T1w.nii.gz	sub-071	ses-01	02	sub-071_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-071/ses-01/anat/sub-071_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	23	sub-071_ses-01_run-01_T1w.nii.gz	sub-071	ses-01	01	sub-071_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-071/ses-01/anat/sub-071_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	24	sub-070_ses-01_run-02_T1w.nii.gz	sub-070	ses-01	02	sub-070_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-070/ses-01/anat/sub-070_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	25	sub-070_ses-01_run-01_T1w.nii.gz	sub-070	ses-01	01	sub-070_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-070/ses-01/anat/sub-070_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	26	sub-069_ses-01_run-03_T1w.nii.gz	sub-069	ses-01	03	sub-069_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-069/ses-01/anat/sub-069_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	27	sub-068_ses-02_run-01_T1w.nii.gz	sub-068	ses-02	01	sub-068_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-068/ses-02/anat/sub-068_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	28	sub-068_ses-01_run-03_T1w.nii.gz	sub-068	ses-01	03	sub-068_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-068/ses-01/anat/sub-068_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	29	sub-067_ses-01_run-03_T1w.nii.gz	sub-067	ses-01	03	sub-067_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-067/ses-01/anat/sub-067_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	30	sub-066_ses-02_run-03_T1w.nii.gz	sub-066	ses-02	03	sub-066_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-066/ses-02/anat/sub-066_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	31	sub-066_ses-02_run-01_T1w.nii.gz	sub-066	ses-02	01	sub-066_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-066/ses-02/anat/sub-066_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	32	sub-066_ses-01_run-03_T1w.nii.gz	sub-066	ses-01	03	sub-066_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-066/ses-01/anat/sub-066_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	33	sub-066_ses-01_run-02_T1w.nii.gz	sub-066	ses-01	02	sub-066_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-066/ses-01/anat/sub-066_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	34	sub-066_ses-01_run-01_T1w.nii.gz	sub-066	ses-01	01	sub-066_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-066/ses-01/anat/sub-066_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	35	sub-065_ses-01_run-03_T1w.nii.gz	sub-065	ses-01	03	sub-065_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-065/ses-01/anat/sub-065_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	36	sub-064_ses-02_run-02_T1w.nii.gz	sub-064	ses-02	02	sub-064_ses-02_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-064/ses-02/anat/sub-064_ses-02_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	37	sub-064_ses-01_run-03_T1w.nii.gz	sub-064	ses-01	03	sub-064_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-064/ses-01/anat/sub-064_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	38	sub-064_ses-01_run-02_T1w.nii.gz	sub-064	ses-01	02	sub-064_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-064/ses-01/anat/sub-064_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	39	sub-064_ses-01_run-01_T1w.nii.gz	sub-064	ses-01	01	sub-064_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-064/ses-01/anat/sub-064_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	40	sub-062_ses-01_run-01_T1w.nii.gz	sub-062	ses-01	01	sub-062_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.nii.gz
