subject	session	run	task	series_description	bids_target	timing_source	timing_variables	status	confidence
sub-019	ses-02	01	fmri	fMRI3_AP	sub-019_ses-02_task-fmri_run-01_bold	March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-019	ses-02	02	fmri	fMRI3_AP	sub-019_ses-02_task-fmri_run-02_bold	March-05-2024_10-04-30_AM__scan_info_for_subject_SUBC20__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-019	ses-02	03	fmri	fMRI4_AP	sub-019_ses-02_task-fmri_run-03_bold	March-05-2024_10-09-34_AM__scan_info_for_subject_subc20__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-019	ses-02	04	fmri	fMRI4_AP	sub-019_ses-02_task-fmri_run-04_bold	March-05-2024_10-13-56_AM__scan_info_for_subject_SUBC20__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-019	ses-02	01	movie	Movie1_AP	sub-019_ses-02_task-movie_run-01_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	02	movie	Movie1_AP	sub-019_ses-02_task-movie_run-02_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	05	fmri	fMRI1_AP	sub-019_ses-02_task-fmri_run-05_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-019	ses-02	03	movie	Movie2_AP	sub-019_ses-02_task-movie_run-03_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	04	movie	Movie2_AP	sub-019_ses-02_task-movie_run-04_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	05	movie	Movie3_AP	sub-019_ses-02_task-movie_run-05_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	06	movie	Movie3_AP	sub-019_ses-02_task-movie_run-06_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	07	movie	Movie4_AP	sub-019_ses-02_task-movie_run-07_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	06	fmri	fMRI1_AP	sub-019_ses-02_task-fmri_run-06_bold	runs_random.mat	paradigm;vbl	MISSING_TIMING	low
sub-019	ses-02	08	movie	Movie4_AP	sub-019_ses-02_task-movie_run-08_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	01	rest	REST1_AP	sub-019_ses-02_task-rest_run-01_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	02	rest	REST1_AP	sub-019_ses-02_task-rest_run-02_bold	March-05-2024_ 9-54-30_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-05-2024_10-00-08_AM__scan_info_for_subject_SUBC20__selected_run_is_1__fmri_number_is1.mat;March-05-2024_10-00-28_AM__Subject_is_SUBC20__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	grating_timing_present_but_not_matched	NOT_APPLICABLE	n/a
sub-019	ses-02	03	control	Control2_AP	sub-019_ses-02_task-control_run-03_bold	March-05-2024_10-09-34_AM__scan_info_for_subject_subc20__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
sub-019	ses-02	04	control	Control2_AP	sub-019_ses-02_task-control_run-04_bold	March-05-2024_10-13-56_AM__scan_info_for_subject_SUBC20__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	triggerTimes;vbl;Stim_order_selected;paradigm;vbl	READY	high
