metric,modality,n,mean,median,std,min,max,q1,q3,mean_sd,median_iqr
cjv,T1w,2,0.786179526355997,0.786179526355997,0.17737587241022906,0.6607558441558441,0.9116032085561497,0.7234676852559205,0.8488913674560733,0.7862 ± 0.1774,"0.7862 [0.7235, 0.8489]"
cnr,T1w,2,1.27049863109638,1.27049863109638,0.4181316063306126,0.9748349368315798,1.56616232536118,1.12266678396398,1.41833047822878,1.27 ± 0.4181,"1.27 [1.123, 1.418]"
efc,bold,4,0.475525,0.47635,0.021806325534884,0.4526,0.4968,0.4592,0.49267500000000003,0.4755 ± 0.02181,"0.4763 [0.4592, 0.4927]"
fber,bold,4,454.941725,450.0104,66.13766775362713,387.0542,532.6919,408.18185,496.770275,454.9 ± 66.14,"450 [408.2, 496.8]"
fwhm_avg,T1w,2,4.656206294852533,4.656206294852533,0.2938058174458995,4.44845420898448,4.863958380720585,4.552330251918507,4.760082337786558,4.656 ± 0.2938,"4.656 [4.552, 4.76]"
fwhm_x,T1w,2,4.5997252741649906,4.5997252741649906,0.32061991136994605,4.373012760651872,4.82643778767811,4.486369017408432,4.71308153092155,4.6 ± 0.3206,"4.6 [4.486, 4.713]"
fwhm_y,T1w,2,4.624937431083062,4.624937431083062,0.3320750171664288,4.390124934582041,4.859749927584083,4.507531182832552,4.7423436793335725,4.625 ± 0.3321,"4.625 [4.508, 4.742]"
fwhm_z,T1w,2,4.743956179309544,4.743956179309544,0.22872252380132235,4.582224931719527,4.9056874268995605,4.663090555514536,4.824821803104552,4.744 ± 0.2287,"4.744 [4.663, 4.825]"
qi_1,T1w,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 ± 0,"0 [0, 0]"
qi_2,T1w,2,0.0005133933069184424,0.0005133933069184424,0.00014452227255440343,0.00041120062796273327,0.0006155859858741515,0.0004622969674405878,0.000564489646396297,0.0005134 ± 0.0001445,"0.0005134 [0.0004623, 0.0005645]"
snr_total,T1w,2,5.942328419126202,5.942328419126202,0.5589772623333594,5.547071806401192,6.337585031851212,5.744700112763697,6.139956725488707,5.942 ± 0.559,"5.942 [5.745, 6.14]"
