onset	duration	trial_type
0.000000	9.369663	baseline
9.369663	7.496917	stim-11
16.866581	9.369984	baseline
26.236564	7.496009	stim-06
33.732573	9.370900	baseline
43.103473	7.496114	stim-10
50.599588	9.370887	baseline
59.970475	7.496034	stim-12
67.466509	9.369964	baseline
76.836473	7.496929	stim-01
84.333402	9.369967	baseline
93.703369	7.495984	stim-05
101.199353	9.371052	baseline
110.570405	7.495898	stim-09
118.066304	9.370061	baseline
127.436364	7.496954	stim-02
134.933318	9.369977	baseline
144.303295	7.496072	stim-04
151.799367	9.370912	baseline
161.170279	7.496033	stim-07
168.666312	9.369964	baseline
178.036276	7.496910	stim-03
185.533186	9.370005	baseline
194.903191	7.496078	stim-08
202.399270	9.364990	baseline
