onset	duration	trial_type
0.000000	9.370656	baseline
9.370656	7.496080	stim-11
16.866736	9.369975	baseline
26.236711	7.497017	stim-06
33.733728	9.369993	baseline
43.103721	7.495955	stim-10
50.599676	9.371000	baseline
59.970677	7.495999	stim-12
67.466675	9.371074	baseline
76.837750	7.496078	stim-01
84.333828	9.369945	baseline
93.703773	7.496928	stim-05
101.200700	9.370115	baseline
110.570815	7.496029	stim-09
118.066844	9.371003	baseline
127.437847	7.495998	stim-02
134.933846	9.370119	baseline
144.303965	7.496884	stim-04
151.800849	9.369985	baseline
161.170834	7.495993	stim-07
168.666827	9.371353	baseline
178.038180	7.495809	stim-03
185.533989	9.370025	baseline
194.904014	7.496924	stim-08
202.400938	9.362576	baseline
