onset	duration	trial_type
0.000000	9.370616	baseline
9.370616	7.496048	stim-12
16.866664	9.370041	baseline
26.236706	7.496948	stim-03
33.733653	9.370034	baseline
43.103688	7.495972	stim-10
50.599660	9.370904	baseline
59.970564	7.496088	stim-06
67.466652	9.371007	baseline
76.837659	7.495941	stim-11
84.333600	9.370151	baseline
93.703751	7.496979	stim-07
101.200730	9.369943	baseline
110.570673	7.496024	stim-01
118.066697	9.371036	baseline
127.437733	7.495879	stim-02
134.933612	9.370073	baseline
144.303685	7.497057	stim-05
151.800742	9.370028	baseline
161.170770	7.496206	stim-08
168.666976	9.370793	baseline
178.037769	7.495895	stim-09
185.533663	9.369988	baseline
194.903652	7.497161	stim-04
202.400813	9.362566	baseline
