onset	duration	trial_type
0.000000	9.369896	baseline
9.369896	7.496752	stim-11
16.866648	9.369997	baseline
26.236645	7.495943	stim-06
33.732588	9.371034	baseline
43.103622	7.495903	stim-10
50.599525	9.370500	baseline
59.970025	7.496587	stim-12
67.466612	9.370058	baseline
76.836670	7.495995	stim-01
84.332665	9.371353	baseline
93.704017	7.495730	stim-05
101.199747	9.369910	baseline
110.569657	7.497321	stim-09
118.066978	9.369779	baseline
127.436757	7.496346	stim-02
134.933103	9.370641	baseline
144.303744	7.496045	stim-04
151.799789	9.371542	baseline
161.171332	7.495424	stim-07
168.666756	9.370030	baseline
178.036786	7.496104	stim-03
185.532890	9.371000	baseline
194.903890	7.495962	stim-08
202.399852	9.366035	baseline
