onset	duration	trial_type
0.000000	9.370679	baseline
9.370679	7.495953	stim-06
16.866632	9.369999	baseline
26.236631	7.497067	stim-09
33.733698	9.369904	baseline
43.103602	7.495975	stim-10
50.599577	9.371057	baseline
59.970633	7.495960	stim-03
67.466594	9.370983	baseline
76.837576	7.495957	stim-07
84.333533	9.370005	baseline
93.703538	7.497123	stim-05
101.200661	9.370048	baseline
110.570709	7.496050	stim-01
118.066759	9.370803	baseline
127.437561	7.496024	stim-12
134.933585	9.370085	baseline
144.303670	7.496986	stim-08
151.800656	9.369870	baseline
161.170527	7.496071	stim-04
168.666598	9.370998	baseline
178.037596	7.495968	stim-02
185.533564	9.370013	baseline
194.903577	7.496976	stim-11
202.400553	9.361221	baseline
