onset	duration	trial_type
0.000000	9.370551	baseline
9.370551	7.496110	stim-03
16.866661	9.370951	baseline
26.237612	7.496034	stim-01
33.733646	9.369971	baseline
43.103617	7.496978	stim-07
50.600594	9.369930	baseline
59.970524	7.496090	stim-08
67.466615	9.370982	baseline
76.837597	7.496078	stim-09
84.333675	9.369994	baseline
93.703669	7.496955	stim-04
101.200624	9.369971	baseline
110.570595	7.495900	stim-12
118.066495	9.371173	baseline
127.437669	7.495918	stim-11
134.933586	9.370063	baseline
144.303649	7.497000	stim-06
151.800649	9.369998	baseline
161.170647	7.495908	stim-02
168.666555	9.370917	baseline
178.037472	7.496006	stim-10
185.533479	9.371166	baseline
194.904645	7.496023	stim-05
202.400668	9.360496	baseline
