onset	duration	trial_type
0.000000	9.369909	baseline
9.369909	7.495736	stim-11
16.865645	9.371079	baseline
26.236724	7.495939	stim-06
33.732663	9.370018	baseline
43.102681	7.496958	stim-10
50.599639	9.370078	baseline
59.969717	7.495996	stim-12
67.465713	9.370996	baseline
76.836709	7.495988	stim-01
84.332698	9.369995	baseline
93.702693	7.497007	stim-05
101.199700	9.369933	baseline
110.569632	7.496004	stim-09
118.065637	9.371075	baseline
127.436712	7.496128	stim-02
134.932840	9.370903	baseline
144.303743	7.496053	stim-04
151.799796	9.369941	baseline
161.169736	7.496045	stim-07
168.665782	9.371012	baseline
178.036794	7.496022	stim-03
185.532815	9.370983	baseline
194.903799	7.495967	stim-08
202.399766	9.363523	baseline
