onset	duration	trial_type
0.000000	9.369701	baseline
9.369701	7.496980	stim-11
16.866681	9.370016	baseline
26.236698	7.496004	stim-06
33.732702	9.370991	baseline
43.103693	7.495950	stim-10
50.599643	9.370967	baseline
59.970610	7.496003	stim-12
67.466613	9.370150	baseline
76.836763	7.497079	stim-01
84.333843	9.369951	baseline
93.703794	7.495901	stim-05
101.199695	9.371047	baseline
110.570742	7.495908	stim-09
118.066650	9.370037	baseline
127.436687	7.497109	stim-02
134.933795	9.369975	baseline
144.303770	7.496043	stim-04
151.799814	9.370927	baseline
161.170741	7.496035	stim-07
168.666776	9.370006	baseline
178.036782	7.497345	stim-03
185.534126	9.369694	baseline
194.903820	7.496035	stim-08
202.399855	9.362394	baseline
